Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 4.636E+01, 1.062E+03, 5.722E+02, 8.646E+02, 3.045E+02, 4.512E+02, 1.597E+02, 3.523E-02, 4.456E+02, 2.235E+01, 3.784E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    1, 4.861E+01, 9.571E+02, 5.264E+02, 7.991E+02, 3.068E+02, 3.880E+02, 1.577E+02, 2.459E-02, 3.358E+02, 5.428E+01, 7.329E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    2, 3.686E+01, 1.000E+03, 5.619E+02, 9.214E+02, 2.817E+02, 4.214E+02, 1.376E+02, 2.513E-02, 3.631E+02, 2.396E+01, 5.583E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    3, 5.329E+01, 8.540E+02, 4.501E+02, 7.739E+02, 3.012E+02, 2.745E+02, 1.545E+02, 2.843E-02, 3.152E+02, 2.164E+01, 1.108E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    4, 4.867E+01, 9.435E+02, 5.302E+02, 8.807E+02, 2.783E+02, 3.530E+02, 1.508E+02, 2.502E-02, 3.339E+02, 2.156E+01, 7.660E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    5, 6.700E+01, 8.602E+02, 4.748E+02, 8.304E+02, 2.760E+02, 2.542E+02, 1.691E+02, 3.527E-02, 2.623E+02, 1.995E+01, 1.093E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    6, 7.362E+01, 7.747E+02, 3.838E+02, 6.592E+02, 2.633E+02, 2.809E+02, 1.726E+02, 2.578E-02, 2.697E+02, 1.718E+01, 1.412E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    7, 8.208E+01, 7.213E+02, 3.379E+02, 5.760E+02, 2.641E+02, 2.297E+02, 1.813E+02, 3.433E-02, 2.584E+02, 4.301E+01, 1.613E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    8, 1.157E+01, 8.615E+02, 4.992E+02, 8.946E+02, 2.839E+02, 4.224E+02, 1.144E+02, 2.385E-02, 3.513E+02, 2.723E+01, 8.406E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
    9, 3.937E+01, 7.890E+02, 4.168E+02, 7.665E+02, 2.906E+02, 2.273E+02, 1.453E+02, 2.867E-02, 2.687E+02, 2.190E+01, 1.341E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
   10, 1.966E+01, 8.487E+02, 4.769E+02, 9.056E+02, 2.622E+02, 3.377E+02, 1.232E+02, 2.551E-02, 3.002E+02, 2.331E+01, 1.009E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
   11, 4.186E+01, 7.942E+02, 4.289E+02, 8.345E+02, 2.482E+02, 2.155E+02, 1.449E+02, 2.913E-02, 2.266E+02, 2.144E+01, 1.350E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.307E+03
