C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 8.1541954E+002, 6.3737041E+002, 4.3971644E+002, 2.5433674E+002, 1.0996195E+002, 4.6701583E+001, 4.2800068E+001, 4.0663679E+001, 4.0129244E+001, 3.9858145E+001, 3.9780509E+001, 3.9810848E+001, 3.9801614E+001, 3.9277497E+001, 3.8191308E+001
 3.8732610E+002, 2.7251088E+002, 1.7621414E+002, 1.0646857E+002, 6.4743740E+001, 4.8669141E+001, 4.5607605E+001, 4.2542403E+001, 4.1940754E+001, 4.1515688E+001, 4.1250382E+001, 4.1183115E+001, 4.1129462E+001, 4.0060252E+001, 3.8300991E+001
 1.5940208E+002, 1.2412736E+002, 1.0029766E+002, 8.6374117E+001, 7.7372757E+001, 7.1038353E+001, 6.5443577E+001, 5.5894619E+001, 5.2635666E+001, 5.0532106E+001, 4.9272207E+001, 4.8409540E+001, 4.7476353E+001, 4.3905920E+001, 4.0390986E+001
 1.4895739E+002, 1.2436531E+002, 1.0813216E+002, 9.9084460E+001, 9.3352281E+001, 8.7528532E+001, 8.1907196E+001, 7.0139107E+001, 6.4630729E+001, 6.0286623E+001, 5.7254352E+001, 5.5148544E+001, 5.3243076E+001, 4.7296579E+001, 4.2294704E+001
 1.4620832E+002, 1.2799385E+002, 1.1579806E+002, 1.0916769E+002, 1.0455717E+002, 9.9357734E+001, 9.4235096E+001, 8.3539837E+001, 7.7873446E+001, 7.2422528E+001, 6.7349773E+001, 6.3250336E+001, 5.9707920E+001, 5.1070320E+001, 4.4334731E+001
 1.4627967E+002, 1.3190185E+002, 1.2203821E+002, 1.1613112E+002, 1.1149104E+002, 1.0676803E+002, 1.0238835E+002, 9.3809181E+001, 8.9133184E+001, 8.4296423E+001, 7.8851056E+001, 7.3457944E+001, 6.8157392E+001, 5.5791348E+001, 4.7064547E+001
 1.4744725E+002, 1.3517852E+002, 1.2691542E+002, 1.2114466E+002, 1.1641936E+002, 1.1222299E+002, 1.0857471E+002, 1.0117506E+002, 9.7281775E+001, 9.3365781E+001, 8.8749833E+001, 8.3472860E+001, 7.7669692E+001, 6.1744278E+001, 5.0661542E+001
 1.4946142E+002, 1.4008405E+002, 1.3426181E+002, 1.2955833E+002, 1.2575219E+002, 1.2247512E+002, 1.1893336E+002, 1.1291804E+002, 1.1052166E+002, 1.0796865E+002, 1.0486936E+002, 1.0103487E+002, 9.6210868E+001, 7.9850291E+001, 6.4515885E+001
 1.5167587E+002, 1.4334934E+002, 1.3778999E+002, 1.3342021E+002, 1.3012173E+002, 1.2725785E+002, 1.2404408E+002, 1.1841499E+002, 1.1614659E+002, 1.1405675E+002, 1.1168199E+002, 1.0851542E+002, 1.0458572E+002, 9.1155925E+001, 7.5836121E+001
 1.5418181E+002, 1.4690907E+002, 1.4203070E+002, 1.3824310E+002, 1.3494732E+002, 1.3193631E+002, 1.2908791E+002, 1.2401029E+002, 1.2151851E+002, 1.1942015E+002, 1.1742071E+002, 1.1540960E+002, 1.1301092E+002, 1.0437922E+002, 9.1239120E+001
 1.5695374E+002, 1.5081916E+002, 1.4654731E+002, 1.4335093E+002, 1.4009974E+002, 1.3686638E+002, 1.3421602E+002, 1.2953116E+002, 1.2698080E+002, 1.2491908E+002, 1.2324719E+002, 1.2217287E+002, 1.2153268E+002, 1.1947976E+002, 1.0973899E+002
 1.5969525E+002, 1.5475238E+002, 1.5098187E+002, 1.4791315E+002, 1.4494566E+002, 1.4202694E+002, 1.3956377E+002, 1.3497942E+002, 1.3300861E+002, 1.3093476E+002, 1.2987956E+002, 1.2987838E+002, 1.3085944E+002, 1.3432538E+002, 1.3069098E+002
 1.6488228E+002, 1.6130528E+002, 1.5829394E+002, 1.5570436E+002, 1.5359002E+002, 1.5177882E+002, 1.5035380E+002, 1.4727031E+002, 1.4600949E+002, 1.4504235E+002, 1.4465081E+002, 1.4449346E+002, 1.4600990E+002, 1.5362868E+002, 1.6199978E+002
 1.6678944E+002, 1.6353926E+002, 1.6095689E+002, 1.5861934E+002, 1.5690382E+002, 1.5540837E+002, 1.5467991E+002, 1.5276293E+002, 1.5169853E+002, 1.5088817E+002, 1.5081734E+002, 1.5089851E+002, 1.5160023E+002, 1.5749513E+002, 1.6795736E+002
 1.6854720E+002, 1.6573314E+002, 1.6364162E+002, 1.6151386E+002, 1.5998697E+002, 1.5883181E+002, 1.5829945E+002, 1.5733241E+002, 1.5660515E+002, 1.5624688E+002, 1.5592744E+002, 1.5634509E+002, 1.5626690E+002, 1.6018735E+002, 1.7072325E+002
 1.7052066E+002, 1.6809398E+002, 1.6618054E+002, 1.6432173E+002, 1.6306330E+002, 1.6194417E+002, 1.6162550E+002, 1.6084564E+002, 1.6037308E+002, 1.6058365E+002, 1.6016114E+002, 1.6084556E+002, 1.6030431E+002, 1.6357289E+002, 1.7352540E+002
 1.7222006E+002, 1.6990834E+002, 1.6808942E+002, 1.6654838E+002, 1.6550476E+002, 1.6458680E+002, 1.6436534E+002, 1.6364794E+002, 1.6330760E+002, 1.6382870E+002, 1.6361180E+002, 1.6502112E+002, 1.6460147E+002, 1.6859991E+002, 1.7863718E+002
 1.7481961E+002, 1.7289327E+002, 1.7134917E+002, 1.7011834E+002, 1.6937018E+002, 1.6860632E+002, 1.6839993E+002, 1.6839177E+002, 1.6826196E+002, 1.6910158E+002, 1.6934233E+002, 1.7178729E+002, 1.7354285E+002, 1.8246873E+002, 1.9510748E+002
 1.7635369E+002, 1.7456045E+002, 1.7294372E+002, 1.7185033E+002, 1.7127790E+002, 1.7052412E+002, 1.7017004E+002, 1.7071834E+002, 1.7074497E+002, 1.7164097E+002, 1.7243640E+002, 1.7529771E+002, 1.7853428E+002, 1.9019803E+002, 2.0176673E+002
 1.7786362E+002, 1.7585088E+002, 1.7434951E+002, 1.7330035E+002, 1.7283919E+002, 1.7213284E+002, 1.7197096E+002, 1.7283645E+002, 1.7309838E+002, 1.7412261E+002, 1.7567465E+002, 1.7933802E+002, 1.8418833E+002, 1.9754651E+002, 2.0583131E+002
 1.7924341E+002, 1.7726030E+002, 1.7587488E+002, 1.7484480E+002, 1.7442198E+002, 1.7388708E+002, 1.7394668E+002, 1.7496128E+002, 1.7553191E+002, 1.7686491E+002, 1.7914900E+002, 1.8353631E+002, 1.8984804E+002, 2.0336315E+002, 2.0896511E+002
 1.8078657E+002, 1.7874120E+002, 1.7746901E+002, 1.7644620E+002, 1.7601939E+002, 1.7581254E+002, 1.7587344E+002, 1.7714385E+002, 1.7795998E+002, 1.7962899E+002, 1.8227670E+002, 1.8717714E+002, 1.9421830E+002, 2.0773842E+002, 2.1116670E+002
 1.8235451E+002, 1.8026339E+002, 1.7908377E+002, 1.7845193E+002, 1.7823622E+002, 1.7824540E+002, 1.7816998E+002, 1.7947595E+002, 1.8061029E+002, 1.8255169E+002, 1.8536367E+002, 1.9003771E+002, 1.9627486E+002, 2.0929101E+002, 2.1231064E+002
 1.8753326E+002, 1.8533429E+002, 1.8398433E+002, 1.8352415E+002, 1.8348207E+002, 1.8358525E+002, 1.8367287E+002, 1.8481126E+002, 1.8617734E+002, 1.8813042E+002, 1.9064594E+002, 1.9480925E+002, 1.9972866E+002, 2.1189382E+002, 2.1441214E+002
 1.9080264E+002, 1.8894358E+002, 1.8772204E+002, 1.8727804E+002, 1.8716107E+002, 1.8723365E+002, 1.8740420E+002, 1.8827756E+002, 1.8937301E+002, 1.9102325E+002, 1.9321274E+002, 1.9683199E+002, 2.0135394E+002, 2.1341807E+002, 2.1532934E+002
 1.9557383E+002, 1.9370245E+002, 1.9236513E+002, 1.9188492E+002, 1.9171357E+002, 1.9169110E+002, 1.9198160E+002, 1.9275902E+002, 1.9346869E+002, 1.9471315E+002, 1.9648761E+002, 1.9947446E+002, 2.0360185E+002, 2.1486521E+002, 2.1614604E+002
 2.0238671E+002, 2.0044490E+002, 1.9891078E+002, 1.9822346E+002, 1.9806738E+002, 1.9800165E+002, 1.9810538E+002, 1.9847729E+002, 1.9869145E+002, 1.9938984E+002, 2.0050825E+002, 2.0295213E+002, 2.0663512E+002, 2.1654165E+002, 2.1683419E+002
 2.2187120E+002, 2.2050226E+002, 2.1928795E+002, 2.1822439E+002, 2.1734775E+002, 2.1670382E+002, 2.1614577E+002, 2.1499119E+002, 2.1445528E+002, 2.1387586E+002, 2.1370793E+002, 2.1411332E+002, 2.1552734E+002, 2.1963604E+002, 2.1751598E+002
 2.3386876E+002, 2.3219153E+002, 2.3072754E+002, 2.2944422E+002, 2.2823216E+002, 2.2724976E+002, 2.2621842E+002, 2.2397065E+002, 2.2296580E+002, 2.2198684E+002, 2.2126925E+002, 2.2066108E+002, 2.2053392E+002, 2.2053294E+002, 2.1728605E+002
 2.4494010E+002, 2.4271924E+002, 2.4052951E+002, 2.3854146E+002, 2.3671907E+002, 2.3502330E+002, 2.3335640E+002, 2.3002262E+002, 2.2845560E+002, 2.2694855E+002, 2.2551919E+002, 2.2413391E+002, 2.2279295E+002, 2.2010275E+002, 2.1650743E+002
