,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-19T14:25:50.296+09:00, 0.786E-01,   0.07862, 0.36551E+01
       2,2026-06-19T14:25:50.437+09:00, 0.786E-01,   0.15724, 0.37955E+01
       3,2026-06-19T14:25:50.591+09:00, 0.786E-01,   0.23586, 0.39477E+01
       4,2026-06-19T14:25:50.721+09:00, 0.786E-01,   0.31448, 0.40747E+01
       5,2026-06-19T14:25:50.834+09:00, 0.786E-01,   0.39310, 0.41868E+01
       6,2026-06-19T14:25:50.994+09:00, 0.786E-01,   0.47172, 0.43454E+01
       7,2026-06-19T14:25:51.106+09:00, 0.786E-01,   0.55034, 0.44564E+01
       8,2026-06-19T14:25:51.227+09:00, 0.786E-01,   0.62896, 0.45744E+01
       9,2026-06-19T14:25:51.370+09:00, 0.786E-01,   0.70758, 0.47166E+01
      10,2026-06-19T14:25:51.495+09:00, 0.786E-01,   0.78620, 0.48409E+01
      20,2026-06-19T14:25:52.891+09:00, 0.622E-01,   1.49425, 0.62126E+01
      30,2026-06-19T14:25:54.321+09:00, 0.622E-01,   2.11671, 0.75853E+01
      40,2026-06-19T14:25:55.638+09:00, 0.560E-01,   2.72040, 0.88775E+01
      50,2026-06-19T14:25:56.918+09:00, 0.560E-01,   3.28028, 0.10140E+02
      60,2026-06-19T14:25:58.240+09:00, 0.560E-01,   3.84016, 0.11436E+02
      70,2026-06-19T14:25:59.623+09:00, 0.560E-01,   4.40004, 0.12768E+02
      80,2026-06-19T14:26:01.034+09:00, 0.372E-01,   4.83811, 0.14156E+02
      90,2026-06-19T14:26:02.492+09:00, 0.322E-01,   5.18998, 0.15592E+02
     100,2026-06-19T14:26:03.912+09:00, 0.258E-01,   5.47518, 0.16994E+02
     200,2026-06-19T14:26:17.734+09:00, 0.183E-01,   7.52892, 0.30629E+02
     300,2026-06-19T14:26:31.743+09:00, 0.148E-01,   9.12131, 0.44410E+02
     400,2026-06-19T14:26:45.712+09:00, 0.131E-01,  10.44893, 0.58206E+02
     500,2026-06-19T14:26:59.518+09:00, 0.117E-01,  11.62523, 0.71872E+02
     600,2026-06-19T14:27:13.584+09:00, 0.105E-01,  12.67328, 0.85758E+02
     700,2026-06-19T14:27:27.571+09:00, 0.103E-01,  13.72579, 0.99613E+02
     800,2026-06-19T14:27:41.656+09:00, 0.986E-02,  14.69500, 0.11353E+03
     900,2026-06-19T14:27:55.704+09:00, 0.986E-02,  15.68072, 0.12743E+03
    1000,2026-06-19T14:28:09.874+09:00, 0.863E-02,  16.59689, 0.14143E+03
    1100,2026-06-19T14:28:23.931+09:00, 0.834E-02,  17.49734, 0.15535E+03
    1200,2026-06-19T14:28:38.398+09:00, 0.805E-02,  18.33348, 0.16965E+03
    1300,2026-06-19T14:28:52.468+09:00, 0.780E-02,  19.18471, 0.18359E+03
    1400,2026-06-19T14:29:06.597+09:00, 0.697E-02,  19.93397, 0.19759E+03
    1500,2026-06-19T14:29:20.818+09:00, 0.822E-02,  20.69679, 0.21156E+03
    1600,2026-06-19T14:29:34.852+09:00, 0.722E-02,  21.47632, 0.22547E+03
    1700,2026-06-19T14:29:49.052+09:00, 0.664E-02,  22.23016, 0.23949E+03
    1800,2026-06-19T14:30:03.178+09:00, 0.702E-02,  22.98095, 0.25348E+03
    1900,2026-06-19T14:30:17.293+09:00, 0.678E-02,  23.68069, 0.26747E+03
    2000,2026-06-19T14:30:31.509+09:00, 0.662E-02,  24.37952, 0.28153E+03
    2100,2026-06-19T14:30:45.642+09:00, 0.682E-02,  25.08084, 0.29553E+03
    2200,2026-06-19T14:30:59.713+09:00, 0.671E-02,  25.73851, 0.30948E+03
    2300,2026-06-19T14:31:14.025+09:00, 0.711E-02,  26.40744, 0.32361E+03
    2400,2026-06-19T14:31:28.155+09:00, 0.697E-02,  27.06218, 0.33762E+03
    2500,2026-06-19T14:31:42.329+09:00, 0.663E-02,  27.73743, 0.35167E+03
    2600,2026-06-19T14:31:56.475+09:00, 0.656E-02,  28.40745, 0.36566E+03
    2700,2026-06-19T14:32:10.566+09:00, 0.639E-02,  29.07890, 0.37963E+03
    2800,2026-06-19T14:32:24.607+09:00, 0.611E-02,  29.72694, 0.39355E+03
    2900,2026-06-19T14:32:38.775+09:00, 0.659E-02,  30.37150, 0.40756E+03
    3000,2026-06-19T14:32:52.920+09:00, 0.622E-02,  31.01389, 0.42158E+03
    3100,2026-06-19T14:33:06.913+09:00, 0.653E-02,  31.64416, 0.43546E+03
    3200,2026-06-19T14:33:21.090+09:00, 0.693E-02,  32.32543, 0.44948E+03
    3300,2026-06-19T14:33:35.177+09:00, 0.671E-02,  32.96298, 0.46344E+03
    3400,2026-06-19T14:33:49.261+09:00, 0.593E-02,  33.64172, 0.47740E+03
    3500,2026-06-19T14:34:03.328+09:00, 0.644E-02,  34.30967, 0.49130E+03
    3600,2026-06-19T14:34:17.411+09:00, 0.708E-02,  34.96198, 0.50526E+03
    3700,2026-06-19T14:34:31.393+09:00, 0.675E-02,  35.68379, 0.51912E+03
    3800,2026-06-19T14:34:45.499+09:00, 0.724E-02,  36.40524, 0.53307E+03
    3900,2026-06-19T14:34:59.529+09:00, 0.752E-02,  37.16320, 0.54698E+03
    4000,2026-06-19T14:35:13.458+09:00, 0.727E-02,  37.91991, 0.56079E+03
    4100,2026-06-19T14:35:27.412+09:00, 0.799E-02,  38.70821, 0.57458E+03
    4200,2026-06-19T14:35:41.389+09:00, 0.703E-02,  39.47298, 0.58844E+03
    4300,2026-06-19T14:35:55.357+09:00, 0.850E-02,  40.28938, 0.60226E+03
    4400,2026-06-19T14:36:09.317+09:00, 0.834E-02,  41.14676, 0.61605E+03
    4500,2026-06-19T14:36:23.193+09:00, 0.917E-02,  41.98135, 0.62980E+03
    4600,2026-06-19T14:36:37.357+09:00, 0.811E-02,  42.80479, 0.64373E+03
