C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 8.2489263E+002, 6.8830884E+002, 5.1929780E+002, 3.4609302E+002, 1.8423247E+002, 7.7846654E+001, 5.7247553E+001, 4.9789383E+001, 4.6839993E+001, 4.4942879E+001, 4.3592716E+001, 4.2526425E+001, 4.1541382E+001, 4.0177736E+001, 3.7892167E+001
 5.7067637E+002, 4.3781844E+002, 3.1115561E+002, 2.0604194E+002, 1.2276196E+002, 7.1544605E+001, 5.7675351E+001, 5.1454737E+001, 4.8432253E+001, 4.6536641E+001, 4.5436935E+001, 4.4594602E+001, 4.3387552E+001, 4.1529461E+001, 3.8414485E+001
 3.7794515E+002, 2.8864495E+002, 2.1008472E+002, 1.4474632E+002, 9.8522724E+001, 7.3256029E+001, 6.3526778E+001, 5.7409296E+001, 5.3530697E+001, 5.1268509E+001, 5.0000448E+001, 4.9138775E+001, 4.7621654E+001, 4.4767108E+001, 4.0098858E+001
 2.7885055E+002, 2.2206600E+002, 1.6506620E+002, 1.2053836E+002, 9.5035363E+001, 8.2011051E+001, 7.5238851E+001, 6.9436763E+001, 6.4656353E+001, 6.0910803E+001, 5.8121260E+001, 5.5933073E+001, 5.3251012E+001, 4.8813857E+001, 4.1977194E+001
 2.2809753E+002, 1.8650846E+002, 1.4227750E+002, 1.1401765E+002, 9.9239758E+001, 9.1595219E+001, 8.6941060E+001, 8.2890164E+001, 7.8732876E+001, 7.4451063E+001, 7.0444088E+001, 6.6418879E+001, 6.1686052E+001, 5.4562819E+001, 4.4799990E+001
 1.9915849E+002, 1.6430578E+002, 1.3344118E+002, 1.1570741E+002, 1.0621956E+002, 1.0122474E+002, 9.8087569E+001, 9.5120230E+001, 9.1809283E+001, 8.8278276E+001, 8.4168513E+001, 7.8798011E+001, 7.1809304E+001, 6.1330651E+001, 4.8287675E+001
 1.8172467E+002, 1.5271011E+002, 1.3240308E+002, 1.2011711E+002, 1.1330491E+002, 1.0953927E+002, 1.0729125E+002, 1.0516914E+002, 1.0298637E+002, 1.0033612E+002, 9.6744583E+001, 9.1331105E+001, 8.3290174E+001, 7.0306776E+001, 5.3234891E+001
 1.7054722E+002, 1.4888043E+002, 1.3561026E+002, 1.2604104E+002, 1.2090998E+002, 1.1782667E+002, 1.1570977E+002, 1.1354786E+002, 1.1158637E+002, 1.0902595E+002, 1.0591951E+002, 1.0120561E+002, 9.3849416E+001, 8.0486233E+001, 6.0474948E+001
 1.6493931E+002, 1.4971957E+002, 1.4006850E+002, 1.3216418E+002, 1.2810906E+002, 1.2541023E+002, 1.2304227E+002, 1.2074534E+002, 1.1868958E+002, 1.1646296E+002, 1.1382754E+002, 1.1006306E+002, 1.0407051E+002, 9.2104530E+001, 7.0946253E+001
 1.6354948E+002, 1.5206350E+002, 1.4389252E+002, 1.3719008E+002, 1.3382821E+002, 1.3138072E+002, 1.2914575E+002, 1.2704965E+002, 1.2525915E+002, 1.2355419E+002, 1.2165711E+002, 1.1914127E+002, 1.1454131E+002, 1.0444746E+002, 8.4204242E+001
 1.6409599E+002, 1.5498989E+002, 1.4766301E+002, 1.4199250E+002, 1.3878441E+002, 1.3637988E+002, 1.3428955E+002, 1.3242670E+002, 1.3108605E+002, 1.3009841E+002, 1.2909055E+002, 1.2757457E+002, 1.2485546E+002, 1.1815900E+002, 1.0136846E+002
 1.6530106E+002, 1.5825693E+002, 1.5109823E+002, 1.4628461E+002, 1.4332844E+002, 1.4085553E+002, 1.3913300E+002, 1.3776299E+002, 1.3712314E+002, 1.3689557E+002, 1.3669096E+002, 1.3611631E+002, 1.3545881E+002, 1.3301600E+002, 1.2272221E+002
 1.6731587E+002, 1.6151144E+002, 1.5478038E+002, 1.5070841E+002, 1.4786362E+002, 1.4564191E+002, 1.4422554E+002, 1.4332741E+002, 1.4321431E+002, 1.4364847E+002, 1.4433510E+002, 1.4475650E+002, 1.4628960E+002, 1.4780434E+002, 1.4470358E+002
 1.6909820E+002, 1.6388493E+002, 1.5812022E+002, 1.5486896E+002, 1.5232963E+002, 1.5052000E+002, 1.4950467E+002, 1.4882951E+002, 1.4886896E+002, 1.4941334E+002, 1.5059581E+002, 1.5209580E+002, 1.5485357E+002, 1.5891573E+002, 1.6258279E+002
 1.7065070E+002, 1.6595103E+002, 1.6153407E+002, 1.5886273E+002, 1.5663618E+002, 1.5478075E+002, 1.5388029E+002, 1.5347709E+002, 1.5365183E+002, 1.5420690E+002, 1.5545919E+002, 1.5735689E+002, 1.6064723E+002, 1.6468690E+002, 1.7291879E+002
 1.7240501E+002, 1.6818483E+002, 1.6478708E+002, 1.6222159E+002, 1.6022908E+002, 1.5862211E+002, 1.5786538E+002, 1.5739824E+002, 1.5771502E+002, 1.5818584E+002, 1.5928989E+002, 1.6113535E+002, 1.6533306E+002, 1.6744360E+002, 1.7791365E+002
 1.7421207E+002, 1.7055424E+002, 1.6742991E+002, 1.6502346E+002, 1.6321034E+002, 1.6193070E+002, 1.6167270E+002, 1.6119020E+002, 1.6150848E+002, 1.6177183E+002, 1.6276750E+002, 1.6422562E+002, 1.6923985E+002, 1.6965746E+002, 1.8118236E+002
