Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 4.091E+01, 4.201E+02, 2.179E+02, 3.781E+02, 1.329E+02, 1.345E+02, 1.501E+02, 3.511E-02, 1.403E+02, 7.921E+00, 3.783E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    1, 3.647E+01, 4.072E+02, 1.977E+02, 3.718E+02, 1.357E+02, 1.468E+02, 1.425E+02, 2.824E-02, 1.444E+02, 8.328E+00, 4.102E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    2, 4.433E+01, 3.538E+02, 1.724E+02, 3.136E+02, 1.301E+02, 1.023E+02, 1.532E+02, 2.775E-02, 1.155E+02, 4.830E+01, 5.675E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    3, 4.189E+01, 3.557E+02, 1.803E+02, 3.595E+02, 1.369E+02, 1.032E+02, 1.499E+02, 3.662E-02, 1.178E+02, 9.341E+00, 5.465E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    4, 3.568E+01, 4.367E+02, 2.325E+02, 3.816E+02, 1.406E+02, 1.597E+02, 1.310E+02, 2.646E-02, 1.482E+02, 8.871E+00, 3.261E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    5, 2.351E+01, 4.194E+02, 2.299E+02, 4.058E+02, 1.367E+02, 2.000E+02, 1.305E+02, 2.609E-02, 1.491E+02, 8.621E+00, 2.976E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    6, 3.724E+01, 3.986E+02, 1.923E+02, 3.374E+02, 1.340E+02, 1.513E+02, 1.374E+02, 2.601E-02, 1.424E+02, 8.752E+00, 4.618E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    7, 3.999E+01, 3.810E+02, 1.831E+02, 3.721E+02, 1.296E+02, 1.470E+02, 1.388E+02, 3.859E-02, 1.312E+02, 7.914E+00, 4.704E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    8, 3.623E+01, 4.303E+02, 2.168E+02, 3.929E+02, 1.286E+02, 1.717E+02, 1.018E+02, 2.808E-02, 1.521E+02, 8.894E+00, 3.615E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
    9, 5.100E+01, 3.133E+02, 1.594E+02, 3.265E+02, 1.154E+02, 8.522E+01, 1.453E+02, 2.803E-02, 9.844E+01, 8.687E+00, 6.979E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   10, 6.362E+01, 2.731E+02, 1.362E+02, 3.212E+02, 1.071E+02, 5.321E+01, 1.670E+02, 3.457E-02, 7.574E+01, 7.862E+00, 7.960E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   11, 4.263E+01, 3.899E+02, 1.891E+02, 3.555E+02, 1.359E+02, 1.230E+02, 1.431E+02, 3.186E-02, 1.346E+02, 8.484E+00, 4.789E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   12, 2.789E+01, 4.095E+02, 2.024E+02, 4.064E+02, 1.406E+02, 1.777E+02, 9.758E+01, 2.709E-02, 1.417E+02, 8.677E+00, 3.886E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   13, 4.413E+01, 3.389E+02, 1.765E+02, 3.526E+02, 1.309E+02, 9.909E+01, 1.365E+02, 2.748E-02, 1.096E+02, 7.814E+00, 6.052E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   14, 5.065E+01, 3.126E+02, 1.715E+02, 3.588E+02, 1.236E+02, 8.058E+01, 1.538E+02, 3.877E-02, 9.620E+01, 7.611E+00, 6.458E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   15, 3.449E+01, 3.835E+02, 1.843E+02, 3.694E+02, 1.343E+02, 1.235E+02, 1.362E+02, 3.389E-02, 1.262E+02, 8.154E+00, 5.010E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   16, 2.996E+01, 3.919E+02, 2.015E+02, 3.616E+02, 1.372E+02, 1.329E+02, 1.338E+02, 2.451E-02, 1.369E+02, 8.997E+00, 4.663E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   17, 2.818E+01, 3.886E+02, 1.841E+02, 3.327E+02, 1.471E+02, 1.324E+02, 1.311E+02, 3.063E-02, 1.353E+02, 8.683E+00, 5.128E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   18, 3.844E+01, 3.358E+02, 1.663E+02, 2.895E+02, 1.318E+02, 9.070E+01, 1.486E+02, 2.526E-02, 1.148E+02, 3.833E+01, 6.468E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   19, 4.024E+01, 3.410E+02, 1.654E+02, 3.108E+02, 1.285E+02, 8.591E+01, 1.510E+02, 3.631E-02, 1.108E+02, 9.948E+00, 6.576E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   20, 2.436E+01, 3.736E+02, 1.855E+02, 3.454E+02, 1.245E+02, 1.438E+02, 1.171E+02, 2.568E-02, 1.325E+02, 8.966E+00, 5.455E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   21, 1.947E+01, 3.676E+02, 1.741E+02, 3.331E+02, 1.314E+02, 1.517E+02, 1.239E+02, 2.612E-02, 1.278E+02, 8.759E+00, 5.633E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   22, 2.928E+01, 3.513E+02, 1.687E+02, 3.061E+02, 1.253E+02, 1.171E+02, 1.329E+02, 3.657E-02, 1.212E+02, 8.486E+00, 6.407E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   23, 2.245E+01, 3.772E+02, 1.764E+02, 3.706E+02, 1.277E+02, 1.450E+02, 1.275E+02, 2.469E-02, 1.364E+02, 9.364E+00, 5.086E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
   24, 1.649E+01, 4.109E+02, 2.212E+02, 3.792E+02, 1.390E+02, 1.544E+02, 9.146E+01, 2.614E-02, 1.494E+02, 9.288E+00, 4.298E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.001E+03
