C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 8.8889458E+002, 7.5445681E+002, 5.7332170E+002, 3.7844627E+002, 2.0328149E+002, 8.5672951E+001, 5.9375534E+001, 5.1030717E+001, 4.7280409E+001, 4.5101871E+001, 4.3505130E+001, 4.2228228E+001, 4.1396466E+001, 4.0579351E+001, 3.9134528E+001
 6.4213217E+002, 5.0559648E+002, 3.7297890E+002, 2.4982902E+002, 1.5056795E+002, 8.5405747E+001, 6.3841090E+001, 5.4418448E+001, 4.9880287E+001, 4.7309030E+001, 4.5711295E+001, 4.4532708E+001, 4.3660954E+001, 4.2546354E+001, 4.0482889E+001
 4.4089303E+002, 3.4924350E+002, 2.6531191E+002, 1.8800261E+002, 1.2635035E+002, 8.8331547E+001, 7.2404643E+001, 6.3031532E+001, 5.6849752E+001, 5.2868257E+001, 5.0379588E+001, 4.8964917E+001, 4.7771017E+001, 4.5778828E+001, 4.2359356E+001
 3.3082055E+002, 2.7136235E+002, 2.1048958E+002, 1.5824184E+002, 1.1796904E+002, 9.6794907E+001, 8.5251318E+001, 7.7296055E+001, 7.0069254E+001, 6.3886800E+001, 5.9233578E+001, 5.6053757E+001, 5.3201806E+001, 4.9399103E+001, 4.4019953E+001
 2.7563029E+002, 2.2975280E+002, 1.8326355E+002, 1.4526342E+002, 1.1957994E+002, 1.0673387E+002, 9.8656223E+001, 9.2944495E+001, 8.6437864E+001, 7.9813973E+001, 7.3526403E+001, 6.7889590E+001, 6.2260766E+001, 5.5391724E+001, 4.6653056E+001
 2.4442535E+002, 2.0612222E+002, 1.7022576E+002, 1.4203464E+002, 1.2531527E+002, 1.1644999E+002, 1.1043185E+002, 1.0565254E+002, 1.0071896E+002, 9.5468877E+001, 8.9620486E+001, 8.2405687E+001, 7.4172197E+001, 6.3688185E+001, 5.0970727E+001
 2.2472300E+002, 1.9217459E+002, 1.6398009E+002, 1.4344020E+002, 1.3175673E+002, 1.2501596E+002, 1.2034192E+002, 1.1610903E+002, 1.1251732E+002, 1.0879883E+002, 1.0432690E+002, 9.7771334E+001, 8.8869215E+001, 7.5150863E+001, 5.7488808E+001
 2.1151800E+002, 1.8491880E+002, 1.6314792E+002, 1.4785487E+002, 1.3876875E+002, 1.3300896E+002, 1.2890517E+002, 1.2529557E+002, 1.2201798E+002, 1.1892902E+002, 1.1556878E+002, 1.1037928E+002, 1.0260255E+002, 8.8337583E+001, 6.6597627E+001
 2.0267077E+002, 1.8143685E+002, 1.6502865E+002, 1.5333938E+002, 1.4573978E+002, 1.4060852E+002, 1.3700932E+002, 1.3397609E+002, 1.3115251E+002, 1.2852653E+002, 1.2568170E+002, 1.2169906E+002, 1.1570618E+002, 1.0296817E+002, 7.9252242E+001
 1.9800500E+002, 1.8109286E+002, 1.6808901E+002, 1.5881768E+002, 1.5245849E+002, 1.4809375E+002, 1.4484169E+002, 1.4228152E+002, 1.3986609E+002, 1.3777937E+002, 1.3548151E+002, 1.3290526E+002, 1.2911488E+002, 1.1898731E+002, 9.5649439E+001
