,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-18T22:06:14.501+09:00, 0.943E-01,   0.09434, 0.29009E+01
       2,2026-06-18T22:06:14.592+09:00, 0.943E-01,   0.18869, 0.29908E+01
       3,2026-06-18T22:06:14.708+09:00, 0.943E-01,   0.28303, 0.31066E+01
       4,2026-06-18T22:06:14.804+09:00, 0.943E-01,   0.37738, 0.31997E+01
       5,2026-06-18T22:06:14.886+09:00, 0.943E-01,   0.47172, 0.32809E+01
       6,2026-06-18T22:06:15.000+09:00, 0.943E-01,   0.56606, 0.33945E+01
       7,2026-06-18T22:06:15.088+09:00, 0.943E-01,   0.66041, 0.34806E+01
       8,2026-06-18T22:06:15.176+09:00, 0.943E-01,   0.75475, 0.35671E+01
       9,2026-06-18T22:06:15.287+09:00, 0.943E-01,   0.84910, 0.36774E+01
      10,2026-06-18T22:06:15.386+09:00, 0.943E-01,   0.94344, 0.37716E+01
      20,2026-06-18T22:06:16.405+09:00, 0.746E-01,   1.75166, 0.47739E+01
      30,2026-06-18T22:06:17.474+09:00, 0.746E-01,   2.49753, 0.58014E+01
      40,2026-06-18T22:06:18.444+09:00, 0.746E-01,   3.24340, 0.67552E+01
      50,2026-06-18T22:06:19.400+09:00, 0.746E-01,   3.98926, 0.76928E+01
      60,2026-06-18T22:06:20.554+09:00, 0.398E-01,   4.46266, 0.88090E+01
      70,2026-06-18T22:06:21.573+09:00, 0.356E-01,   4.83940, 0.98121E+01
      80,2026-06-18T22:06:22.537+09:00, 0.356E-01,   5.19511, 0.10764E+02
      90,2026-06-18T22:06:23.586+09:00, 0.318E-01,   5.52028, 0.11802E+02
     100,2026-06-18T22:06:24.610+09:00, 0.285E-01,   5.82811, 0.12814E+02
     200,2026-06-18T22:06:34.626+09:00, 0.203E-01,   8.18275, 0.22667E+02
     300,2026-06-18T22:06:44.424+09:00, 0.159E-01,  10.00196, 0.32334E+02
     400,2026-06-18T22:06:54.020+09:00, 0.143E-01,  11.55231, 0.41831E+02
     500,2026-06-18T22:07:03.803+09:00, 0.128E-01,  12.96883, 0.51494E+02
     600,2026-06-18T22:07:13.794+09:00, 0.126E-01,  14.22270, 0.61360E+02
     700,2026-06-18T22:07:23.921+09:00, 0.121E-01,  15.43068, 0.71392E+02
     800,2026-06-18T22:07:34.239+09:00, 0.112E-01,  16.59011, 0.81586E+02
     900,2026-06-18T22:07:44.414+09:00, 0.110E-01,  17.71052, 0.91660E+02
    1000,2026-06-18T22:07:54.661+09:00, 0.107E-01,  18.77607, 0.10179E+03
    1100,2026-06-18T22:08:04.755+09:00, 0.949E-02,  19.78965, 0.11178E+03
    1200,2026-06-18T22:08:14.959+09:00, 0.897E-02,  20.73654, 0.12186E+03
    1300,2026-06-18T22:08:24.972+09:00, 0.987E-02,  21.65731, 0.13178E+03
    1400,2026-06-18T22:08:35.253+09:00, 0.858E-02,  22.58956, 0.14195E+03
    1500,2026-06-18T22:08:45.392+09:00, 0.890E-02,  23.47224, 0.15199E+03
    1600,2026-06-18T22:08:55.640+09:00, 0.793E-02,  24.36166, 0.16213E+03
    1700,2026-06-18T22:09:05.797+09:00, 0.821E-02,  25.18514, 0.17220E+03
    1800,2026-06-18T22:09:15.991+09:00, 0.903E-02,  26.02005, 0.18228E+03
    1900,2026-06-18T22:09:26.154+09:00, 0.877E-02,  26.89371, 0.19236E+03
    2000,2026-06-18T22:09:36.235+09:00, 0.867E-02,  27.72353, 0.20235E+03
    2100,2026-06-18T22:09:46.477+09:00, 0.831E-02,  28.55456, 0.21248E+03
    2200,2026-06-18T22:09:56.611+09:00, 0.710E-02,  29.34958, 0.22253E+03
    2300,2026-06-18T22:10:06.771+09:00, 0.842E-02,  30.17292, 0.23259E+03
    2400,2026-06-18T22:10:16.919+09:00, 0.741E-02,  30.97621, 0.24265E+03
    2500,2026-06-18T22:10:27.002+09:00, 0.803E-02,  31.82061, 0.25265E+03
    2600,2026-06-18T22:10:37.162+09:00, 0.794E-02,  32.64862, 0.26271E+03
    2700,2026-06-18T22:10:47.288+09:00, 0.760E-02,  33.47357, 0.27274E+03
    2800,2026-06-18T22:10:57.404+09:00, 0.906E-02,  34.30606, 0.28275E+03
    2900,2026-06-18T22:11:07.555+09:00, 0.916E-02,  35.16925, 0.29282E+03
    3000,2026-06-18T22:11:17.825+09:00, 0.857E-02,  36.04968, 0.30298E+03
    3100,2026-06-18T22:11:27.944+09:00, 0.929E-02,  36.98319, 0.31301E+03
    3200,2026-06-18T22:11:38.124+09:00, 0.991E-02,  37.98736, 0.32311E+03
    3300,2026-06-18T22:11:48.377+09:00, 0.108E-01,  39.02564, 0.33325E+03
    3400,2026-06-18T22:11:58.563+09:00, 0.960E-02,  40.09509, 0.34332E+03
    3500,2026-06-18T22:12:08.740+09:00, 0.101E-01,  41.16419, 0.35341E+03
    3600,2026-06-18T22:12:18.940+09:00, 0.998E-02,  42.20303, 0.36350E+03
    3700,2026-06-18T22:12:29.128+09:00, 0.962E-02,  43.20401, 0.37360E+03
    3800,2026-06-18T22:12:39.386+09:00, 0.997E-02,  44.22617, 0.38374E+03
    3900,2026-06-18T22:12:49.508+09:00, 0.109E-01,  45.26726, 0.39377E+03
    4000,2026-06-18T22:12:59.775+09:00, 0.712E-02,  46.24115, 0.40394E+03
