Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 4.379E+01, 4.449E+02, 2.275E+02, 4.075E+02, 1.478E+02, 1.412E+02, 1.595E+02, 3.309E-02, 1.465E+02, 8.393E+00, 4.233E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    1, 3.904E+01, 4.450E+02, 2.139E+02, 3.860E+02, 1.607E+02, 1.491E+02, 1.515E+02, 3.167E-02, 1.533E+02, 8.823E+00, 4.431E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    2, 4.469E+01, 4.207E+02, 2.029E+02, 3.483E+02, 1.679E+02, 1.142E+02, 1.593E+02, 2.972E-02, 1.378E+02, 5.341E+01, 5.011E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    3, 4.558E+01, 4.282E+02, 2.159E+02, 3.803E+02, 1.675E+02, 1.085E+02, 1.586E+02, 3.960E-02, 1.387E+02, 9.636E+00, 4.975E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    4, 3.899E+01, 4.631E+02, 2.386E+02, 4.035E+02, 1.580E+02, 1.688E+02, 1.409E+02, 3.034E-02, 1.615E+02, 9.307E+00, 3.676E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    5, 2.620E+01, 4.473E+02, 2.481E+02, 4.300E+02, 1.570E+02, 2.140E+02, 1.404E+02, 2.882E-02, 1.624E+02, 9.215E+00, 3.158E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    6, 4.227E+01, 4.345E+02, 2.056E+02, 3.456E+02, 1.534E+02, 1.550E+02, 1.480E+02, 2.741E-02, 1.497E+02, 9.195E+00, 5.071E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    7, 4.339E+01, 3.941E+02, 1.932E+02, 3.926E+02, 1.394E+02, 1.550E+02, 1.491E+02, 4.049E-02, 1.409E+02, 8.485E+00, 5.341E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    8, 3.835E+01, 4.653E+02, 2.288E+02, 4.260E+02, 1.446E+02, 1.829E+02, 1.094E+02, 2.921E-02, 1.629E+02, 9.601E+00, 3.826E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
    9, 5.488E+01, 3.339E+02, 1.701E+02, 3.465E+02, 1.262E+02, 9.188E+01, 1.551E+02, 2.839E-02, 1.033E+02, 9.956E+00, 7.586E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   10, 6.974E+01, 2.870E+02, 1.456E+02, 3.466E+02, 1.136E+02, 5.625E+01, 1.804E+02, 3.008E-02, 8.180E+01, 8.305E+00, 8.611E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   11, 4.665E+01, 4.204E+02, 2.022E+02, 3.759E+02, 1.479E+02, 1.226E+02, 1.533E+02, 3.943E-02, 1.434E+02, 8.868E+00, 5.292E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   12, 2.965E+01, 4.361E+02, 2.175E+02, 4.529E+02, 1.524E+02, 1.892E+02, 1.036E+02, 2.959E-02, 1.561E+02, 9.595E+00, 4.033E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   13, 4.766E+01, 3.594E+02, 1.905E+02, 3.759E+02, 1.441E+02, 1.040E+02, 1.448E+02, 3.079E-02, 1.206E+02, 8.289E+00, 6.552E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   14, 5.468E+01, 3.503E+02, 1.849E+02, 3.778E+02, 1.354E+02, 8.612E+01, 1.642E+02, 3.862E-02, 1.135E+02, 8.343E+00, 6.751E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   15, 3.567E+01, 4.217E+02, 2.043E+02, 4.223E+02, 1.485E+02, 1.364E+02, 1.428E+02, 3.041E-02, 1.428E+02, 9.070E+00, 4.868E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   16, 3.289E+01, 4.302E+02, 2.145E+02, 3.789E+02, 1.538E+02, 1.362E+02, 1.412E+02, 3.001E-02, 1.492E+02, 9.477E+00, 5.040E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   17, 3.047E+01, 3.991E+02, 1.912E+02, 3.458E+02, 1.573E+02, 1.291E+02, 1.381E+02, 3.739E-02, 1.419E+02, 9.219E+00, 6.082E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   18, 3.625E+01, 3.894E+02, 1.880E+02, 3.275E+02, 1.569E+02, 9.125E+01, 1.508E+02, 2.846E-02, 1.346E+02, 4.297E+01, 6.327E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   19, 3.477E+01, 4.062E+02, 1.926E+02, 3.585E+02, 1.513E+02, 9.682E+01, 1.494E+02, 3.922E-02, 1.370E+02, 1.090E+01, 6.128E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
   20, 2.507E+01, 4.225E+02, 2.097E+02, 3.904E+02, 1.449E+02, 1.515E+02, 1.269E+02, 2.961E-02, 1.560E+02, 9.773E+00, 5.136E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.150E+03
