C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14
 8.3601639E+002, 7.1473292E+002, 5.4191161E+002, 3.4749091E+002, 1.8561348E+002, 7.8981973E+001, 5.3701118E+001, 4.5511340E+001, 4.2459175E+001, 4.0697294E+001, 3.9452084E+001, 3.8576790E+001, 3.7729096E+001, 3.6687884E+001, 3.5035628E+001
 5.9842805E+002, 4.7533490E+002, 3.3469578E+002, 2.0687265E+002, 1.2578709E+002, 7.3700079E+001, 5.5108377E+001, 4.7826475E+001, 4.4828047E+001, 4.3034118E+001, 4.1961410E+001, 4.1060551E+001, 3.9952502E+001, 3.8203306E+001, 3.5614920E+001
 4.2215248E+002, 3.3283642E+002, 2.2948073E+002, 1.4749472E+002, 1.0301865E+002, 7.2828960E+001, 5.9273648E+001, 5.3008085E+001, 4.9621535E+001, 4.7509915E+001, 4.6413183E+001, 4.5467011E+001, 4.4028557E+001, 4.1348622E+001, 3.7249134E+001
 3.3439934E+002, 2.6831286E+002, 1.8728521E+002, 1.2826319E+002, 9.7435203E+001, 7.8911396E+001, 6.9499285E+001, 6.3538081E+001, 5.8910687E+001, 5.5363306E+001, 5.2899185E+001, 5.0948955E+001, 4.8560441E+001, 4.4628014E+001, 3.8935515E+001
 2.9052429E+002, 2.3337129E+002, 1.6676082E+002, 1.2150270E+002, 9.9399715E+001, 8.7739888E+001, 8.1140388E+001, 7.6003802E+001, 7.1053662E+001, 6.6401772E+001, 6.2412823E+001, 5.9011650E+001, 5.5128162E+001, 4.9338322E+001, 4.1508701E+001
 2.6281527E+002, 2.1076709E+002, 1.5543579E+002, 1.2026119E+002, 1.0350139E+002, 9.5541044E+001, 9.0681901E+001, 8.6734591E+001, 8.2682178E+001, 7.8217653E+001, 7.3674657E+001, 6.9040797E+001, 6.3481169E+001, 5.5425598E+001, 4.4872125E+001
 2.4330187E+002, 1.9599100E+002, 1.5054742E+002, 1.2240899E+002, 1.0862497E+002, 1.0239743E+002, 9.8393063E+001, 9.5116057E+001, 9.2019817E+001, 8.8516309E+001, 8.4527164E+001, 7.9679132E+001, 7.3314838E+001, 6.3481451E+001, 4.9800377E+001
 2.2898830E+002, 1.8642941E+002, 1.4893441E+002, 1.2567521E+002, 1.1407128E+002, 1.0854977E+002, 1.0495998E+002, 1.0208154E+002, 9.9617245E+001, 9.6900938E+001, 9.3884188E+001, 8.9895324E+001, 8.4218407E+001, 7.3795090E+001, 5.7245855E+001
 2.1835290E+002, 1.8012445E+002, 1.4888548E+002, 1.2955228E+002, 1.1942179E+002, 1.1416432E+002, 1.1072272E+002, 1.0817287E+002, 1.0621251E+002, 1.0397791E+002, 1.0160434E+002, 9.8819896E+001, 9.4682440E+001, 8.5665824E+001, 6.7685080E+001
 2.1030301E+002, 1.7679035E+002, 1.5043556E+002, 1.3366541E+002, 1.2464642E+002, 1.1962071E+002, 1.1631440E+002, 1.1396987E+002, 1.1217742E+002, 1.1036612E+002, 1.0863171E+002, 1.0687638E+002, 1.0420746E+002, 9.7570893E+001, 8.1353565E+001
 2.0411093E+002, 1.7475045E+002, 1.5220269E+002, 1.3751937E+002, 1.2964775E+002, 1.2474707E+002, 1.2165572E+002, 1.1944496E+002, 1.1783946E+002, 1.1656168E+002, 1.1563592E+002, 1.1489296E+002, 1.1386740E+002, 1.0991097E+002, 9.7413207E+001
 1.9939790E+002, 1.7373169E+002, 1.5412917E+002, 1.4105030E+002, 1.3375322E+002, 1.2931608E+002, 1.2649982E+002, 1.2469459E+002, 1.2345774E+002, 1.2284489E+002, 1.2273108E+002, 1.2317507E+002, 1.2402899E+002, 1.2334114E+002, 1.1615531E+002
 1.9544091E+002, 1.7291709E+002, 1.5572342E+002, 1.4390058E+002, 1.3720860E+002, 1.3328183E+002, 1.3080268E+002, 1.2931628E+002, 1.2867833E+002, 1.2875041E+002, 1.2950809E+002, 1.3098409E+002, 1.3358017E+002, 1.3583120E+002, 1.3576395E+002
