Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 5.066E+01, 4.971E+02, 2.431E+02, 4.573E+02, 1.471E+02, 1.666E+02, 1.906E+02, 3.762E-02, 1.662E+02, 9.614E+00, 4.744E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    1, 4.606E+01, 5.055E+02, 2.459E+02, 4.315E+02, 1.583E+02, 1.735E+02, 1.826E+02, 3.938E-02, 1.723E+02, 1.000E+01, 4.769E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    2, 5.348E+01, 4.567E+02, 2.238E+02, 3.784E+02, 1.574E+02, 1.299E+02, 1.926E+02, 3.281E-02, 1.526E+02, 4.965E+01, 6.083E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    3, 5.229E+01, 4.846E+02, 2.506E+02, 4.253E+02, 1.675E+02, 1.279E+02, 1.892E+02, 4.632E-02, 1.634E+02, 1.122E+01, 5.307E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    4, 4.710E+01, 4.978E+02, 2.608E+02, 4.488E+02, 1.593E+02, 1.924E+02, 1.716E+02, 3.348E-02, 1.848E+02, 1.041E+01, 4.297E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    5, 3.133E+01, 5.139E+02, 2.799E+02, 4.786E+02, 1.570E+02, 2.437E+02, 1.696E+02, 3.135E-02, 1.860E+02, 1.067E+01, 3.319E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    6, 5.343E+01, 4.497E+02, 2.233E+02, 3.635E+02, 1.422E+02, 1.695E+02, 1.831E+02, 3.110E-02, 1.524E+02, 9.689E+00, 6.559E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    7, 5.519E+01, 4.514E+02, 2.207E+02, 4.335E+02, 1.358E+02, 1.842E+02, 1.827E+02, 4.585E-02, 1.564E+02, 9.980E+00, 5.727E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    8, 4.596E+01, 5.168E+02, 2.570E+02, 4.692E+02, 1.419E+02, 2.161E+02, 1.348E+02, 3.336E-02, 1.834E+02, 1.152E+01, 4.261E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
    9, 6.663E+01, 3.654E+02, 1.951E+02, 3.826E+02, 1.247E+02, 1.046E+02, 1.884E+02, 3.263E-02, 1.151E+02, 1.126E+01, 8.488E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.403E+03
