case,dy_tag,dy_m,target_time_s,actual_time_s,time_delta_s,slice_x_m,target_y_m,actual_y_m,n_points,l2_norm_C,rmse_C,max_abs_error_C
d_M5,dy08,0.8,0.0,0.0,0.0,8.132049560546875,2.25,2.2266666198770206,16,580.2683902891357,145.06709757228393,227.45762711864413
d_M5,dy08,0.8,10.0,10.01058292388916,0.010582923889160156,8.132049560546875,2.25,2.2266666198770206,16,567.0633847000407,141.76584617501018,206.01198655467928
d_M5,dy08,0.8,20.0,20.005002975463867,0.0050029754638671875,8.132049560546875,2.25,2.2266666198770206,16,526.8177599104752,131.7044399776188,189.07535611168814
d_M5,dy08,0.8,30.0,30.00124168395996,0.0012416839599609375,8.132049560546875,2.25,2.2266666198770206,16,322.73788531496086,80.68447132874022,102.33585881378693
d_M5,dy08,0.8,40.0,40.006187438964844,0.00618743896484375,8.132049560546875,2.25,2.2266666198770206,16,168.11967468946028,42.02991867236507,60.101583207597415
d_M5,dy08,0.8,50.0,50.00764846801758,0.007648468017578125,8.132049560546875,2.25,2.2266666198770206,16,143.3589804722864,35.8397451180716,57.26245149515445
d_M5,dy08,0.8,60.0,60.00835418701172,0.00835418701171875,8.132049560546875,2.25,2.2266666198770206,16,91.24915554047442,22.812288885118605,46.97131425243319
d_M5,dy08,0.8,70.0,70.00757598876953,0.00757598876953125,8.132049560546875,2.25,2.2266666198770206,16,80.2879938354304,20.0719984588576,40.445216796003464
d_M5,dy08,0.8,80.0,80.00468444824219,0.0046844482421875,8.132049560546875,2.25,2.2266666198770206,16,76.51565311699716,19.12891327924929,42.431017628783316
d_M5,dy08,0.8,90.0,90.00244140625,0.00244140625,8.132049560546875,2.25,2.2266666198770206,16,67.31303051520366,16.828257628800916,42.203194731815756
d_M5,dy08,0.8,100.0,100.00980377197266,0.00980377197265625,8.132049560546875,2.25,2.2266666198770206,16,82.80820941648396,20.70205235412099,45.39009997206439
d_M5,dy08,0.8,110.0,110.0078125,0.0078125,8.132049560546875,2.25,2.2266666198770206,16,71.45379121842798,17.863447804606995,34.32879956415696
d_M5,dy08,0.8,120.0,120.00165557861328,0.00165557861328125,8.132049560546875,2.25,2.2266666198770206,16,78.47767064824232,19.61941766206058,38.325303390570234
d_M5,dy08,0.8,130.0,130.00535583496094,0.0053558349609375,8.132049560546875,2.25,2.2266666198770206,16,107.3836267822263,26.845906695556575,47.724930585441
d_M5,dy08,0.8,140.0,140.0108184814453,0.0108184814453125,8.132049560546875,2.25,2.2266666198770206,16,104.72959103486775,26.182397758716938,47.47252943589402
d_M5,dy08,0.8,150.0,150.00213623046875,0.00213623046875,8.132049560546875,2.25,2.2266666198770206,16,85.48253954135603,21.37063488533901,36.844706652029934
d_M5,dy08,0.8,160.0,160.00363159179688,0.003631591796875,8.132049560546875,2.25,2.2266666198770206,16,78.99211591307055,19.748028978267637,35.327963665850845
d_M5,dy08,0.8,170.0,170.0038299560547,0.0038299560546875,8.132049560546875,2.25,2.2266666198770206,16,94.15825555676544,23.53956388919136,54.19917172391426
d_M5,dy08,0.8,180.0,180.00369262695312,0.003692626953125,8.132049560546875,2.25,2.2266666198770206,16,92.49080857860748,23.12270214465187,39.68216622288165
d_M5,dy08,0.8,190.0,190.0024871826172,0.0024871826171875,8.132049560546875,2.25,2.2266666198770206,16,88.65548964988346,22.163872412470866,36.352341474112876
