dy_tag,dy_m,target_y_m,case,best_case,best_target_time_s,best_actual_time_s,best_l2_norm_C,best_rmse_C,best_max_abs_error_C
dy00,0.0,1.45,overall,d_M5,140.0,140.0108184814453,381.01385571067425,95.25346392766856,346.2639394121986
dy00,0.0,1.45,d_M5,d_M5,140.0,140.0108184814453,381.01385571067425,95.25346392766856,346.2639394121986
dy00,0.0,1.45,dq_M5,dq_M5,10.0,10.006834983825684,435.8299108708433,108.95747771771083,207.35393526118455
dy01,0.1,1.55,overall,d_M5,140.0,140.0108184814453,374.08193720051315,93.52048430012829,296.7470582245064
dy01,0.1,1.55,d_M5,d_M5,140.0,140.0108184814453,374.08193720051315,93.52048430012829,296.7470582245064
dy01,0.1,1.55,dq_M5,dq_M5,250.0,250.0065155029297,435.3168214937322,108.82920537343306,359.08382422679927
dy02,0.2,1.65,overall,d_M5,140.0,140.0108184814453,324.4487652493865,81.11219131234662,244.98185064999106
dy02,0.2,1.65,d_M5,d_M5,140.0,140.0108184814453,324.4487652493865,81.11219131234662,244.98185064999106
dy02,0.2,1.65,dq_M5,dq_M5,220.0,220.0034942626953,347.9717435789012,86.9929358947253,337.56717274641244
dy03,0.3,1.75,overall,d_M5,280.0,280.01068115234375,76.06769360540562,19.016923401351406,47.15432475320087
dy03,0.3,1.75,d_M5,d_M5,280.0,280.01068115234375,76.06769360540562,19.016923401351406,47.15432475320087
dy03,0.3,1.75,dq_M5,dq_M5,220.0,220.0034942626953,99.54934585400295,24.887336463500738,66.97936176152137
dy04,0.4,1.85,overall,d_M5,160.0,160.00363159179688,38.040523983864105,9.510130995966026,19.085756971023997
dy04,0.4,1.85,d_M5,d_M5,160.0,160.00363159179688,38.040523983864105,9.510130995966026,19.085756971023997
dy04,0.4,1.85,dq_M5,dq_M5,280.0,280.0022888183594,41.816253589989856,10.454063397497464,21.310613470562416
dy05,0.5,1.95,overall,dq_M5,280.0,280.0022888183594,37.8575453687178,9.46438634217945,23.070768136227514
dy05,0.5,1.95,d_M5,d_M5,160.0,160.00363159179688,48.1946254514168,12.0486563628542,25.15876233641385
dy05,0.5,1.95,dq_M5,dq_M5,280.0,280.0022888183594,37.8575453687178,9.46438634217945,23.070768136227514
dy06,0.6,2.05,overall,dq_M5,240.0,240.00914001464844,40.11717262772495,10.029293156931237,22.89745285197145
dy06,0.6,2.05,d_M5,d_M5,90.0,90.00244140625,51.29704576088542,12.824261440221354,26.121285319189923
dy06,0.6,2.05,dq_M5,dq_M5,240.0,240.00914001464844,40.11717262772495,10.029293156931237,22.89745285197145
dy07,0.7,2.15,overall,dq_M5,240.0,240.00914001464844,44.69877582988461,11.174693957471153,28.391384937825748
dy07,0.7,2.15,d_M5,d_M5,220.0,220.0050811767578,56.6773999690357,14.169349992258924,32.900212494048816
dy07,0.7,2.15,dq_M5,dq_M5,240.0,240.00914001464844,44.69877582988461,11.174693957471153,28.391384937825748
dy08,0.8,2.25,overall,dq_M5,240.0,240.00914001464844,49.057545036762676,12.264386259190669,31.41412600713675
dy08,0.8,2.25,d_M5,d_M5,220.0,220.0050811767578,56.44022453686354,14.110056134215885,23.304151777272324
dy08,0.8,2.25,dq_M5,dq_M5,240.0,240.00914001464844,49.057545036762676,12.264386259190669,31.41412600713675
dy09,0.9,2.35,overall,dq_M5,260.0,260.0009460449219,54.80153032986829,13.700382582467073,32.526488359715664
dy09,0.9,2.35,d_M5,d_M5,220.0,220.0050811767578,63.40623524769559,15.851558811923898,23.320110344958735
dy09,0.9,2.35,dq_M5,dq_M5,260.0,260.0009460449219,54.80153032986829,13.700382582467073,32.526488359715664
dy10,1.0,2.45,overall,dq_M5,180.0,180.00643920898438,58.79570785180894,14.698926962952235,33.516821869459775
dy10,1.0,2.45,d_M5,d_M5,200.0,200.00721740722656,83.29871368215728,20.82467842053932,34.772384156864135
dy10,1.0,2.45,dq_M5,dq_M5,180.0,180.00643920898438,58.79570785180894,14.698926962952235,33.516821869459775
dy11,1.1,2.55,overall,dq_M5,180.0,180.00643920898438,69.84948863730253,17.462372159325632,43.91926410897358
dy11,1.1,2.55,d_M5,d_M5,200.0,200.00721740722656,95.76280071131607,23.94070017782902,42.86663444728067
dy11,1.1,2.55,dq_M5,dq_M5,180.0,180.00643920898438,69.84948863730253,17.462372159325632,43.91926410897358
dy12,1.2,2.65,overall,dq_M5,160.0,160.00360107421875,89.49392461064137,22.373481152660343,49.37033277635151
dy12,1.2,2.65,d_M5,d_M5,250.0,250.005615234375,106.66416124771463,26.666040311928658,51.545046632074545
dy12,1.2,2.65,dq_M5,dq_M5,160.0,160.00360107421875,89.49392461064137,22.373481152660343,49.37033277635151
dy13,1.3,2.75,overall,dq_M5,160.0,160.00360107421875,111.54220059499066,27.885550148747665,49.691505759836815
dy13,1.3,2.75,d_M5,d_M5,230.0,230.00802612304688,116.3689873896696,29.0922468474174,60.838842900800756
dy13,1.3,2.75,dq_M5,dq_M5,160.0,160.00360107421875,111.54220059499066,27.885550148747665,49.691505759836815
dy14,1.4,2.85,overall,d_M5,230.0,230.00802612304688,122.860550151129,30.71513753778225,61.25468922657788
dy14,1.4,2.85,d_M5,d_M5,230.0,230.00802612304688,122.860550151129,30.71513753778225,61.25468922657788
dy14,1.4,2.85,dq_M5,dq_M5,250.0,250.0065155029297,129.0890281931172,32.2722570482793,56.426900818034085
