m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.4145623E+002, 5.6347876E+002, 1.8765394E-002, 1.9466529E+000, 3.0362762E+003, 5.7585156E-001, 3.4946043E-004, 2.0374378E-003, 1.5066530E-001, 5.3857405E+001, 4.7452392E+001, 8.5593022E+001, 5.4030461E+001, 4.3112382E+001, 4.5871083E+001
 1.5172414E-001, 6.4145623E+002, 5.6347876E+002, 8.1365576E-001, 1.9466529E+000, 3.0362762E+003, 5.7585156E-001, 3.4946043E-004, 2.0374378E-003, 1.5066530E-001, 5.3857405E+001, 4.7452392E+001, 8.5593022E+001, 5.4030461E+001, 4.3112382E+001, 4.5871083E+001
 2.5344828E-001, 5.2851652E+002, 4.1283223E+002, 1.1219579E+000, 2.0435184E+000, 1.2058347E+003, 7.0184362E-001, 2.6244676E-004, 1.5301273E-003, 1.6516483E-001, 5.7903725E+001, 5.0115986E+001, 8.8478769E+001, 6.1924888E+001, 4.4368686E+001, 4.6833471E+001
 3.5517241E-001, 4.3245697E+002, 3.1854363E+002, 1.1219579E+000, 2.0616520E+000, 4.6844269E+002, 7.6232729E-001, 2.0813134E-004, 1.2134554E-003, 1.7407839E-001, 6.4076980E+001, 5.4089946E+001, 9.7250138E+001, 8.3752224E+001, 4.4368686E+001, 4.6833471E+001
 4.5689655E-001, 4.3245697E+002, 3.1854363E+002, 1.2220185E+000, 2.0616520E+000, 4.6844269E+002, 7.6232729E-001, 2.0813134E-004, 1.2134554E-003, 1.7407839E-001, 6.4076980E+001, 5.4089946E+001, 9.7250138E+001, 8.3752224E+001, 4.4368686E+001, 4.6833471E+001
 5.5862069E-001, 3.6113720E+002, 2.6460054E+002, 1.2220185E+000, 1.9737423E+000, 1.8663046E+002, 7.7309054E-001, 1.7627710E-004, 1.0277376E-003, 1.7925640E-001, 7.5000872E+001, 5.9719566E+001, 1.0940785E+002, 9.7787712E+001, 4.5395642E+001, 4.8976600E+001
 6.6034483E-001, 3.6113720E+002, 2.6460054E+002, 1.1510254E+000, 1.9737423E+000, 1.8663046E+002, 7.7309054E-001, 1.7627710E-004, 1.0277376E-003, 1.7925640E-001, 7.5000872E+001, 5.9719566E+001, 1.0940785E+002, 9.7787712E+001, 4.5395642E+001, 4.8976600E+001
 7.6206897E-001, 3.0716543E+002, 2.3020191E+002, 9.7426152E-001, 1.8141850E+000, 7.6479449E+001, 7.7100211E-001, 1.5676140E-004, 9.1395640E-004, 1.8240995E-001, 8.9924320E+001, 7.9062280E+001, 1.2115895E+002, 1.0877667E+002, 4.6428528E+001, 5.1602548E+001
 8.6379310E-001, 2.7139312E+002, 2.1108034E+002, 9.7426152E-001, 1.6680806E+000, 3.5153955E+001, 7.5972219E-001, 1.4713151E-004, 8.5781185E-004, 1.8396260E-001, 1.0731167E+002, 9.1267870E+001, 1.3185254E+002, 1.2256314E+002, 4.6428528E+001, 5.1602548E+001
 9.6551724E-001, 2.7139312E+002, 2.1108034E+002, 8.7060162E-001, 1.6680806E+000, 3.5153955E+001, 7.5972219E-001, 1.4713151E-004, 8.5781185E-004, 1.8396260E-001, 1.0731167E+002, 9.1267870E+001, 1.3185254E+002, 1.2256314E+002, 4.6428528E+001, 5.1602548E+001
 1.0672414E+000, 2.4762932E+002, 2.0095021E+002, 8.7060162E-001, 1.5280835E+000, 1.7221446E+001, 7.4292918E-001, 1.4344942E-004, 8.3634437E-004, 1.8455630E-001, 1.2507751E+002, 1.0394236E+002, 1.4108282E+002, 1.2136509E+002, 4.8546616E+001, 5.3879315E+001
 1.1689655E+000, 2.3300350E+002, 1.9643395E+002, 7.8566370E-001, 1.4247460E+000, 8.8827971E+000, 7.2432185E-001, 1.4335019E-004, 8.3576587E-004, 1.8457362E-001, 1.2507751E+002, 1.0394236E+002, 1.4108282E+002, 1.2136509E+002, 4.8546616E+001, 5.3879315E+001
 1.2706897E+000, 2.3300350E+002, 1.9643395E+002, 7.1551113E-001, 1.4247460E+000, 8.8827971E+000, 7.2432185E-001, 1.4335019E-004, 8.3576587E-004, 1.8457362E-001, 1.3998214E+002, 1.1662157E+002, 1.4829327E+002, 1.2359870E+002, 5.6568699E+001, 5.6996358E+001
 1.3724138E+000, 2.2308878E+002, 1.9457606E+002, 7.1551113E-001, 1.3374686E+000, 4.8060413E+000, 7.0735403E-001, 1.4481601E-004, 8.4431195E-004, 1.8433927E-001, 1.5505060E+002, 1.3402549E+002, 1.5555915E+002, 1.3000336E+002, 5.6568699E+001, 5.6996358E+001
 1.4741379E+000, 2.2308878E+002, 1.9457606E+002, 6.7941745E-001, 1.3374686E+000, 4.8060413E+000, 7.0735403E-001, 1.4481601E-004, 8.4431195E-004, 1.8433927E-001, 1.5505060E+002, 1.3402549E+002, 1.5555915E+002, 1.3000336E+002, 5.6568699E+001, 5.6996358E+001
 1.5758621E+000, 2.1713123E+002, 1.9426366E+002, 6.7941745E-001, 1.2501655E+000, 2.6915299E+000, 6.9344859E-001, 1.4673770E-004, 8.5551584E-004, 1.8403152E-001, 1.6770732E+002, 1.5952502E+002, 1.6302084E+002, 1.4735185E+002, 7.4945347E+001, 6.5034749E+001
 1.6775862E+000, 2.1360036E+002, 1.9539643E+002, 6.5839653E-001, 1.1752580E+000, 1.5396741E+000, 6.7987600E-001, 1.4944849E-004, 8.7132042E-004, 1.8359707E-001, 1.6770732E+002, 1.5952502E+002, 1.6302084E+002, 1.4735185E+002, 7.4945347E+001, 6.5034749E+001
 1.7793103E+000, 2.1360036E+002, 1.9539643E+002, 6.6246220E-001, 1.1752580E+000, 1.5396741E+000, 6.7987600E-001, 1.4944849E-004, 8.7132042E-004, 1.8359707E-001, 1.7686537E+002, 1.6611970E+002, 1.7081161E+002, 1.6488010E+002, 7.4945347E+001, 6.5034749E+001
 1.8810345E+000, 2.1366108E+002, 1.9878410E+002, 6.6246220E-001, 1.0880365E+000, 9.1744120E-001, 6.6729004E-001, 1.5295025E-004, 8.9173649E-004, 1.8303573E-001, 1.8767340E+002, 1.8523872E+002, 1.7949771E+002, 1.7186379E+002, 1.0249286E+002, 8.4636789E+001
 1.9827586E+000, 2.1366108E+002, 1.9878410E+002, 6.1812865E-001, 1.0880365E+000, 9.1744120E-001, 6.6729004E-001, 1.5295025E-004, 8.9173649E-004, 1.8303573E-001, 1.8767340E+002, 1.8523872E+002, 1.7949771E+002, 1.7186379E+002, 1.0249286E+002, 8.4636789E+001
 2.0844828E+000, 2.1581071E+002, 2.0361152E+002, 5.8696794E-001, 9.8868645E-001, 5.6679596E-001, 6.5761441E-001, 1.5649214E-004, 9.1238655E-004, 1.8246790E-001, 2.0005570E+002, 2.0444232E+002, 1.8969651E+002, 1.7583031E+002, 1.3661276E+002, 1.2245017E+002
 2.1862069E+000, 2.1860896E+002, 2.0935226E+002, 5.8696794E-001, 9.2672300E-001, 3.6463258E-001, 6.5016191E-001, 1.5995992E-004, 9.3260452E-004, 1.8191194E-001, 2.0005570E+002, 2.0444232E+002, 1.8969651E+002, 1.7583031E+002, 1.3661276E+002, 1.2245017E+002
 2.2879310E+000, 2.1860896E+002, 2.0935226E+002, 5.8515866E-001, 9.2672300E-001, 3.6463258E-001, 6.5016191E-001, 1.5995992E-004, 9.3260452E-004, 1.8191194E-001, 2.1199021E+002, 2.1268824E+002, 2.0081996E+002, 1.8337512E+002, 1.3661276E+002, 1.2245017E+002
 2.3896552E+000, 2.2295187E+002, 2.1642130E+002, 5.8515866E-001, 9.3639790E-001, 2.3975036E-001, 6.4553853E-001, 1.6333506E-004, 9.5228239E-004, 1.8137082E-001, 2.1966810E+002, 2.1340098E+002, 2.0969120E+002, 1.8993125E+002, 1.7004824E+002, 1.7265110E+002
 2.4913793E+000, 2.2295187E+002, 2.1642130E+002, 5.9708051E-001, 9.3639790E-001, 2.3975036E-001, 6.4553853E-001, 1.6333506E-004, 9.5228239E-004, 1.8137082E-001, 2.1966810E+002, 2.1340098E+002, 2.0969120E+002, 1.8993125E+002, 1.7004824E+002, 1.7265110E+002
