Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 2.585E+02, 2.637E+03, 1.476E+03, 1.770E+03, 8.521E+02, 3.270E+02, 3.721E+03, 8.331E-02, 9.114E+02, 5.699E+01, 6.789E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    1, 1.516E+02, 3.075E+03, 1.558E+03, 2.186E+03, 9.263E+02, 5.684E+02, 3.612E+03, 8.091E-02, 1.002E+03, 6.304E+01, 5.658E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    2, 1.749E+02, 3.333E+03, 1.824E+03, 2.231E+03, 1.154E+03, 5.935E+02, 3.636E+03, 6.428E-02, 1.517E+03, 4.435E+02, 3.893E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    3, 1.579E+02, 3.298E+03, 1.837E+03, 2.668E+03, 1.103E+03, 4.443E+02, 3.620E+03, 7.616E-02, 1.682E+03, 1.736E+02, 3.816E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    4, 1.124E+02, 3.521E+03, 1.979E+03, 2.889E+03, 1.133E+03, 7.503E+02, 3.570E+03, 7.721E-02, 2.160E+03, 8.333E+01, 2.601E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    5, 1.421E+01, 3.848E+03, 2.050E+03, 3.168E+03, 1.220E+03, 9.487E+02, 3.469E+03, 7.480E-02, 2.291E+03, 8.571E+01, 1.705E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    6, 8.684E+01, 3.617E+03, 1.858E+03, 2.453E+03, 1.224E+03, 7.126E+02, 3.547E+03, 8.098E-02, 1.795E+03, 1.100E+02, 3.394E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    7, 6.304E+01, 3.652E+03, 1.986E+03, 3.058E+03, 1.194E+03, 8.873E+02, 3.521E+03, 7.535E-02, 2.089E+03, 9.499E+01, 2.255E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    8, 1.569E+02, 3.051E+03, 1.659E+03, 2.424E+03, 8.778E+02, 4.725E+02, 3.619E+03, 8.054E-02, 9.660E+02, 6.544E+01, 5.507E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
    9, 1.967E+02, 2.507E+03, 1.352E+03, 1.853E+03, 8.368E+02, 4.168E+02, 3.656E+03, 8.053E-02, 8.592E+02, 5.601E+01, 7.066E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.880E+04
