m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.5730583E+002, 6.1721217E+002, 1.8622052E-002, 2.0101767E+000, 3.1648692E+003, 5.3019900E-001, 3.8327266E-004, 2.2345712E-003, 1.4521119E-001, 1.0235824E+002, 9.4641974E+001, 1.0624843E+002, 8.8704782E+001, 4.5247032E+001, 4.5775057E+001
 1.5172414E-001, 6.5730583E+002, 6.1721217E+002, 9.2409882E-001, 2.0101767E+000, 3.1648692E+003, 5.3019900E-001, 3.8327266E-004, 2.2345712E-003, 1.4521119E-001, 1.0235824E+002, 9.4641974E+001, 1.0624843E+002, 8.8704782E+001, 4.5247032E+001, 4.5775057E+001
 2.5344828E-001, 5.3889047E+002, 4.5598816E+002, 1.2362087E+000, 2.1504111E+000, 1.3508100E+003, 6.2667075E-001, 2.8681427E-004, 1.6721957E-003, 1.6122867E-001, 1.1433229E+002, 1.0232944E+002, 1.1146611E+002, 1.0336140E+002, 4.7149734E+001, 4.8787522E+001
 3.5517241E-001, 4.2166462E+002, 3.2848220E+002, 1.2362087E+000, 2.1329411E+000, 5.1625179E+002, 7.0000939E-001, 2.1218425E-004, 1.2370849E-003, 1.7342729E-001, 1.2573215E+002, 1.0528128E+002, 1.2181508E+002, 1.2519776E+002, 4.7149734E+001, 4.8787522E+001
 4.5689655E-001, 4.2166462E+002, 3.2848220E+002, 1.2174740E+000, 2.1329411E+000, 5.1625179E+002, 7.0000939E-001, 2.1218425E-004, 1.2370849E-003, 1.7342729E-001, 1.2573215E+002, 1.0528128E+002, 1.2181508E+002, 1.2519776E+002, 4.7149734E+001, 4.8787522E+001
 5.5862069E-001, 3.3962624E+002, 2.5597994E+002, 1.2174740E+000, 1.9901929E+000, 1.8162750E+002, 7.3175445E-001, 1.7142762E-004, 9.9946398E-004, 1.8003876E-001, 1.3545853E+002, 1.2856644E+002, 1.3534389E+002, 1.3948027E+002, 4.8554547E+001, 5.0262645E+001
 6.6034483E-001, 3.3962624E+002, 2.5597994E+002, 1.0596774E+000, 1.9901929E+000, 1.8162750E+002, 7.3175445E-001, 1.7142762E-004, 9.9946398E-004, 1.8003876E-001, 1.3545853E+002, 1.2856644E+002, 1.3534389E+002, 1.3948027E+002, 4.8554547E+001, 5.0262645E+001
 7.6206897E-001, 2.8881177E+002, 2.1946650E+002, 9.0700457E-001, 1.8042510E+000, 6.5139336E+001, 7.3594562E-001, 1.5249171E-004, 8.8906308E-004, 1.8309786E-001, 1.4339432E+002, 1.3576349E+002, 1.4813443E+002, 1.4743808E+002, 4.9774862E+001, 5.1279039E+001
 8.6379310E-001, 2.6071604E+002, 2.0388729E+002, 9.0700457E-001, 1.6256364E+000, 2.6843341E+001, 7.2476109E-001, 1.4575402E-004, 8.4978075E-004, 1.8418513E-001, 1.5039400E+002, 1.3700445E+002, 1.5843297E+002, 1.5379622E+002, 4.9774862E+001, 5.1279039E+001
