,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:17:04.962+09:00, 0.154E+00,   0.15364, 0.23057E+01
       2,2026-06-16T11:17:05.032+09:00, 0.154E+00,   0.30728, 0.23756E+01
       3,2026-06-16T11:17:05.121+09:00, 0.154E+00,   0.46091, 0.24632E+01
       4,2026-06-16T11:17:05.191+09:00, 0.154E+00,   0.61455, 0.25324E+01
       5,2026-06-16T11:17:05.258+09:00, 0.154E+00,   0.76819, 0.25985E+01
       6,2026-06-16T11:17:05.350+09:00, 0.154E+00,   0.92183, 0.26895E+01
       7,2026-06-16T11:17:05.418+09:00, 0.154E+00,   1.07546, 0.27569E+01
       8,2026-06-16T11:17:05.507+09:00, 0.135E+00,   1.21086, 0.28448E+01
       9,2026-06-16T11:17:05.596+09:00, 0.135E+00,   1.34626, 0.29327E+01
      10,2026-06-16T11:17:05.666+09:00, 0.135E+00,   1.48166, 0.30016E+01
      20,2026-06-16T11:17:06.486+09:00, 0.122E+00,   2.71138, 0.38001E+01
      30,2026-06-16T11:17:07.285+09:00, 0.964E-01,   3.87684, 0.45927E+01
      40,2026-06-16T11:17:08.139+09:00, 0.585E-01,   4.53493, 0.54251E+01
      50,2026-06-16T11:17:08.899+09:00, 0.524E-01,   5.06553, 0.61788E+01
      60,2026-06-16T11:17:09.693+09:00, 0.466E-01,   5.58413, 0.69666E+01
      70,2026-06-16T11:17:10.525+09:00, 0.419E-01,   6.01679, 0.77726E+01
      80,2026-06-16T11:17:11.276+09:00, 0.419E-01,   6.43533, 0.85173E+01
      90,2026-06-16T11:17:12.039+09:00, 0.419E-01,   6.85387, 0.92754E+01
     100,2026-06-16T11:17:12.788+09:00, 0.460E-01,   7.30171, 0.10018E+02
     200,2026-06-16T11:17:20.533+09:00, 0.333E-01,  11.19148, 0.17681E+02
     300,2026-06-16T11:17:28.261+09:00, 0.249E-01,  13.82816, 0.25347E+02
     400,2026-06-16T11:17:36.074+09:00, 0.219E-01,  16.15756, 0.33079E+02
     500,2026-06-16T11:17:43.793+09:00, 0.228E-01,  18.26196, 0.40738E+02
     600,2026-06-16T11:17:51.577+09:00, 0.197E-01,  20.29906, 0.48458E+02
     700,2026-06-16T11:17:59.390+09:00, 0.182E-01,  22.22534, 0.56211E+02
     800,2026-06-16T11:18:07.161+09:00, 0.184E-01,  24.02911, 0.63921E+02
     900,2026-06-16T11:18:14.949+09:00, 0.164E-01,  25.74001, 0.71665E+02
    1000,2026-06-16T11:18:22.689+09:00, 0.168E-01,  27.32766, 0.79345E+02
    1100,2026-06-16T11:18:30.451+09:00, 0.141E-01,  28.85031, 0.87047E+02
    1200,2026-06-16T11:18:38.191+09:00, 0.167E-01,  30.41019, 0.94726E+02
    1300,2026-06-16T11:18:45.927+09:00, 0.146E-01,  31.89110, 0.10242E+03
    1400,2026-06-16T11:18:53.679+09:00, 0.136E-01,  33.30998, 0.11011E+03
    1500,2026-06-16T11:19:01.493+09:00, 0.147E-01,  34.88075, 0.11786E+03
    1600,2026-06-16T11:19:09.306+09:00, 0.163E-01,  36.47125, 0.12562E+03
    1700,2026-06-16T11:19:17.095+09:00, 0.173E-01,  38.19027, 0.13335E+03
    1800,2026-06-16T11:19:24.850+09:00, 0.172E-01,  39.88391, 0.14106E+03
    1900,2026-06-16T11:19:32.642+09:00, 0.203E-01,  41.69369, 0.14879E+03
    2000,2026-06-16T11:19:40.370+09:00, 0.177E-01,  43.46535, 0.15647E+03
    2100,2026-06-16T11:19:48.160+09:00, 0.203E-01,  45.25464, 0.16420E+03
    2200,2026-06-16T11:19:55.958+09:00, 0.166E-01,  47.14519, 0.17194E+03
    2300,2026-06-16T11:20:03.751+09:00, 0.216E-01,  49.02223, 0.17968E+03
    2400,2026-06-16T11:20:11.648+09:00, 0.177E-01,  51.00006, 0.18752E+03
    2500,2026-06-16T11:20:19.408+09:00, 0.181E-01,  53.01121, 0.19522E+03
    2600,2026-06-16T11:20:27.231+09:00, 0.214E-01,  55.04139, 0.20299E+03
    2700,2026-06-16T11:20:35.014+09:00, 0.216E-01,  57.13188, 0.21072E+03
    2800,2026-06-16T11:20:42.827+09:00, 0.225E-01,  59.16331, 0.21848E+03
    2900,2026-06-16T11:20:50.715+09:00, 0.197E-01,  61.26692, 0.22631E+03
    3000,2026-06-16T11:20:58.529+09:00, 0.191E-01,  63.05776, 0.23406E+03
    3100,2026-06-16T11:21:06.376+09:00, 0.194E-01,  64.93460, 0.24185E+03
    3200,2026-06-16T11:21:14.115+09:00, 0.230E-01,  66.98700, 0.24954E+03
    3300,2026-06-16T11:21:21.960+09:00, 0.175E-01,  69.04713, 0.25733E+03
    3400,2026-06-16T11:21:29.677+09:00, 0.208E-01,  70.99630, 0.26499E+03
    3500,2026-06-16T11:21:37.489+09:00, 0.211E-01,  73.14695, 0.27275E+03
    3600,2026-06-16T11:21:45.316+09:00, 0.230E-01,  75.23391, 0.28053E+03
    3700,2026-06-16T11:21:53.153+09:00, 0.215E-01,  77.38983, 0.28831E+03
    3800,2026-06-16T11:22:00.987+09:00, 0.211E-01,  79.38719, 0.29609E+03
    3900,2026-06-16T11:22:08.760+09:00, 0.197E-01,  81.36416, 0.30381E+03
    4000,2026-06-16T11:22:16.611+09:00, 0.180E-01,  83.45536, 0.31161E+03
    4100,2026-06-16T11:22:24.392+09:00, 0.219E-01,  85.57260, 0.31933E+03
    4200,2026-06-16T11:22:32.235+09:00, 0.232E-01,  87.51463, 0.32712E+03
    4300,2026-06-16T11:22:39.993+09:00, 0.220E-01,  89.66478, 0.33483E+03
    4400,2026-06-16T11:22:47.804+09:00, 0.205E-01,  91.67843, 0.34259E+03
    4500,2026-06-16T11:22:55.599+09:00, 0.188E-01,  93.54296, 0.35033E+03
    4600,2026-06-16T11:23:03.321+09:00, 0.195E-01,  95.42149, 0.35800E+03
    4700,2026-06-16T11:23:11.091+09:00, 0.244E-01,  97.52460, 0.36571E+03
    4800,2026-06-16T11:23:18.905+09:00, 0.222E-01,  99.62496, 0.37348E+03
    4900,2026-06-16T11:23:26.702+09:00, 0.221E-01, 101.80295, 0.38122E+03
    5000,2026-06-16T11:23:34.538+09:00, 0.170E-01, 103.94185, 0.38900E+03
    5100,2026-06-16T11:23:42.303+09:00, 0.238E-01, 105.85055, 0.39672E+03
    5200,2026-06-16T11:23:50.129+09:00, 0.222E-01, 108.00066, 0.40448E+03
    5300,2026-06-16T11:23:57.925+09:00, 0.224E-01, 110.20977, 0.41223E+03
    5400,2026-06-16T11:24:05.744+09:00, 0.230E-01, 112.48661, 0.41999E+03
    5500,2026-06-16T11:24:13.513+09:00, 0.201E-01, 114.62406, 0.42771E+03
    5600,2026-06-16T11:24:21.373+09:00, 0.223E-01, 116.79190, 0.43551E+03
    5700,2026-06-16T11:24:29.181+09:00, 0.198E-01, 118.80800, 0.44327E+03
    5800,2026-06-16T11:24:36.960+09:00, 0.212E-01, 120.94931, 0.45100E+03
    5900,2026-06-16T11:24:44.770+09:00, 0.190E-01, 123.01968, 0.45874E+03
    6000,2026-06-16T11:24:52.543+09:00, 0.228E-01, 125.08452, 0.46646E+03
    6100,2026-06-16T11:25:00.331+09:00, 0.171E-01, 127.04753, 0.47420E+03
    6200,2026-06-16T11:25:08.167+09:00, 0.236E-01, 129.07230, 0.48198E+03
    6300,2026-06-16T11:25:16.039+09:00, 0.188E-01, 131.17453, 0.48980E+03
    6400,2026-06-16T11:25:23.732+09:00, 0.237E-01, 133.23639, 0.49744E+03
    6500,2026-06-16T11:25:31.480+09:00, 0.218E-01, 135.41301, 0.50514E+03
    6600,2026-06-16T11:25:39.270+09:00, 0.206E-01, 137.44310, 0.51288E+03
    6700,2026-06-16T11:25:47.101+09:00, 0.214E-01, 139.61632, 0.52066E+03
    6800,2026-06-16T11:25:54.819+09:00, 0.239E-01, 141.68931, 0.52833E+03
    6900,2026-06-16T11:26:02.734+09:00, 0.177E-01, 143.68297, 0.53618E+03
    7000,2026-06-16T11:26:10.601+09:00, 0.191E-01, 145.69860, 0.54399E+03
    7100,2026-06-16T11:26:18.372+09:00, 0.242E-01, 147.87573, 0.55171E+03
    7200,2026-06-16T11:26:26.187+09:00, 0.213E-01, 150.01669, 0.55946E+03
    7300,2026-06-16T11:26:33.913+09:00, 0.214E-01, 152.21119, 0.56714E+03
    7400,2026-06-16T11:26:41.627+09:00, 0.210E-01, 154.35188, 0.57480E+03
    7500,2026-06-16T11:26:49.309+09:00, 0.223E-01, 156.52475, 0.58243E+03
    7600,2026-06-16T11:26:56.933+09:00, 0.223E-01, 158.61146, 0.59001E+03
    7700,2026-06-16T11:27:04.533+09:00, 0.249E-01, 160.73953, 0.59756E+03
    7800,2026-06-16T11:27:12.158+09:00, 0.209E-01, 162.79748, 0.60513E+03
    7900,2026-06-16T11:27:19.815+09:00, 0.222E-01, 164.94861, 0.61274E+03
    8000,2026-06-16T11:27:27.425+09:00, 0.222E-01, 167.08250, 0.62030E+03
    8100,2026-06-16T11:27:35.082+09:00, 0.233E-01, 169.28601, 0.62791E+03
    8200,2026-06-16T11:27:42.728+09:00, 0.202E-01, 171.45196, 0.63550E+03
    8300,2026-06-16T11:27:50.384+09:00, 0.208E-01, 173.74792, 0.64311E+03
    8400,2026-06-16T11:27:58.039+09:00, 0.251E-01, 175.93560, 0.65071E+03
    8500,2026-06-16T11:28:05.761+09:00, 0.193E-01, 178.14249, 0.65837E+03
    8600,2026-06-16T11:28:13.384+09:00, 0.235E-01, 180.21769, 0.66594E+03
    8700,2026-06-16T11:28:21.048+09:00, 0.168E-01, 182.24727, 0.67356E+03
    8800,2026-06-16T11:28:28.750+09:00, 0.171E-01, 184.42409, 0.68121E+03
    8900,2026-06-16T11:28:36.345+09:00, 0.196E-01, 186.61056, 0.68876E+03
    9000,2026-06-16T11:28:44.071+09:00, 0.177E-01, 188.73873, 0.69643E+03
    9100,2026-06-16T11:28:51.682+09:00, 0.173E-01, 190.66876, 0.70399E+03
    9200,2026-06-16T11:28:59.345+09:00, 0.239E-01, 192.92910, 0.71160E+03
    9300,2026-06-16T11:29:07.035+09:00, 0.230E-01, 195.13137, 0.71924E+03
    9400,2026-06-16T11:29:14.686+09:00, 0.244E-01, 197.25678, 0.72684E+03
    9500,2026-06-16T11:29:22.340+09:00, 0.216E-01, 199.61589, 0.73444E+03
    9600,2026-06-16T11:29:30.006+09:00, 0.244E-01, 201.80168, 0.74205E+03
    9700,2026-06-16T11:29:37.681+09:00, 0.237E-01, 204.09377, 0.74967E+03
    9800,2026-06-16T11:29:45.423+09:00, 0.184E-01, 206.33534, 0.75736E+03
    9900,2026-06-16T11:29:53.034+09:00, 0.262E-01, 208.63877, 0.76492E+03
   10000,2026-06-16T11:30:00.690+09:00, 0.239E-01, 210.77780, 0.77253E+03
   10100,2026-06-16T11:30:08.394+09:00, 0.227E-01, 213.10696, 0.78018E+03
   10200,2026-06-16T11:30:16.042+09:00, 0.246E-01, 215.46746, 0.78777E+03
   10300,2026-06-16T11:30:23.739+09:00, 0.230E-01, 217.75568, 0.79542E+03
   10400,2026-06-16T11:30:31.379+09:00, 0.201E-01, 220.10117, 0.80300E+03
   10500,2026-06-16T11:30:38.998+09:00, 0.151E-01, 221.94179, 0.81057E+03
   10600,2026-06-16T11:30:46.654+09:00, 0.227E-01, 224.26035, 0.81817E+03
   10700,2026-06-16T11:30:54.316+09:00, 0.252E-01, 226.54350, 0.82578E+03
   10800,2026-06-16T11:31:01.963+09:00, 0.261E-01, 228.93222, 0.83338E+03
   10900,2026-06-16T11:31:09.634+09:00, 0.208E-01, 231.18080, 0.84099E+03
   11000,2026-06-16T11:31:17.294+09:00, 0.240E-01, 233.30495, 0.84860E+03
   11100,2026-06-16T11:31:24.965+09:00, 0.215E-01, 235.64930, 0.85622E+03
   11200,2026-06-16T11:31:32.610+09:00, 0.236E-01, 237.97692, 0.86382E+03
   11300,2026-06-16T11:31:40.270+09:00, 0.232E-01, 240.34399, 0.87141E+03
   11400,2026-06-16T11:31:47.916+09:00, 0.211E-01, 242.62754, 0.87900E+03
   11500,2026-06-16T11:31:55.543+09:00, 0.231E-01, 244.84376, 0.88658E+03
   11600,2026-06-16T11:32:03.198+09:00, 0.233E-01, 247.13870, 0.89418E+03
   11700,2026-06-16T11:32:10.903+09:00, 0.262E-01, 249.46665, 0.90183E+03
   11800,2026-06-16T11:32:18.545+09:00, 0.236E-01, 251.72328, 0.90943E+03
   11900,2026-06-16T11:32:26.161+09:00, 0.234E-01, 254.06298, 0.91698E+03
   12000,2026-06-16T11:32:33.859+09:00, 0.229E-01, 256.36823, 0.92463E+03
   12100,2026-06-16T11:32:41.592+09:00, 0.149E-01, 258.46410, 0.93231E+03
   12200,2026-06-16T11:32:49.201+09:00, 0.240E-01, 260.70345, 0.93987E+03
   12300,2026-06-16T11:32:56.832+09:00, 0.210E-01, 263.12204, 0.94745E+03
   12400,2026-06-16T11:33:04.497+09:00, 0.249E-01, 265.32499, 0.95506E+03
   12500,2026-06-16T11:33:12.158+09:00, 0.241E-01, 267.66005, 0.96267E+03
   12600,2026-06-16T11:33:19.863+09:00, 0.287E-01, 270.06441, 0.97032E+03
   12700,2026-06-16T11:33:27.550+09:00, 0.248E-01, 272.55723, 0.97796E+03
   12800,2026-06-16T11:33:35.224+09:00, 0.263E-01, 274.89766, 0.98558E+03
   12900,2026-06-16T11:33:42.940+09:00, 0.226E-01, 277.42810, 0.99324E+03
   13000,2026-06-16T11:33:50.635+09:00, 0.203E-01, 279.69736, 0.10009E+04
   13100,2026-06-16T11:33:58.298+09:00, 0.244E-01, 282.03534, 0.10085E+04
   13200,2026-06-16T11:34:06.002+09:00, 0.250E-01, 284.43861, 0.10161E+04
   13300,2026-06-16T11:34:13.675+09:00, 0.245E-01, 286.82910, 0.10238E+04
   13400,2026-06-16T11:34:21.331+09:00, 0.211E-01, 289.24756, 0.10314E+04
   13500,2026-06-16T11:34:28.946+09:00, 0.213E-01, 291.51806, 0.10389E+04
   13600,2026-06-16T11:34:36.593+09:00, 0.191E-01, 293.78112, 0.10465E+04
   13700,2026-06-16T11:34:44.262+09:00, 0.178E-01, 296.14714, 0.10541E+04
   13800,2026-06-16T11:34:51.903+09:00, 0.219E-01, 298.45891, 0.10617E+04
   13868,2026-06-16T11:34:57.099+09:00, 0.841E-02, 300.00000, 0.10669E+04
