m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.4864254E+002, 5.8917476E+002, 1.8796691E-002, 2.0352806E+000, 3.1493328E+003, 5.5423402E-001, 3.6336040E-004, 2.1184779E-003, 1.4843589E-001, 1.1201897E+002, 1.2587612E+002, 1.2064512E+002, 2.7523297E+002, 4.3079363E+001, 4.5564377E+001
 1.5172414E-001, 6.4864254E+002, 5.8917476E+002, 8.4802432E-001, 2.0352806E+000, 3.1493328E+003, 5.5423402E-001, 3.6336040E-004, 2.1184779E-003, 1.4843589E-001, 1.1201897E+002, 1.2587612E+002, 1.2064512E+002, 2.7523297E+002, 4.3079363E+001, 4.5564377E+001
 2.5344828E-001, 5.2703558E+002, 4.2899805E+002, 1.1637298E+000, 2.1155053E+000, 1.2651407E+003, 6.5596178E-001, 2.6890864E-004, 1.5678016E-003, 1.6413215E-001, 1.2371293E+002, 1.2651512E+002, 1.2731332E+002, 2.7132524E+002, 4.5306935E+001, 4.6091803E+001
 3.5517241E-001, 4.2284489E+002, 3.2197698E+002, 1.1637298E+000, 2.0536294E+000, 4.5969704E+002, 7.1098326E-001, 2.0869596E-004, 1.2167473E-003, 1.7399714E-001, 1.3515622E+002, 1.2929006E+002, 1.4118425E+002, 2.3361702E+002, 4.5306935E+001, 4.6091803E+001
 4.5689655E-001, 4.2284489E+002, 3.2197698E+002, 1.1790286E+000, 2.0536294E+000, 4.5969704E+002, 7.1098326E-001, 2.0869596E-004, 1.2167473E-003, 1.7399714E-001, 1.3515622E+002, 1.2929006E+002, 1.4118425E+002, 2.3361702E+002, 4.5306935E+001, 4.6091803E+001
 5.5862069E-001, 3.5207003E+002, 2.6448285E+002, 1.1790286E+000, 1.9516351E+000, 1.6831990E+002, 7.2612212E-001, 1.7764104E-004, 1.0356897E-003, 1.7904352E-001, 1.4396426E+002, 1.3259470E+002, 1.5273372E+002, 2.1550770E+002, 4.6771328E+001, 4.6595388E+001
 6.6034483E-001, 3.5207003E+002, 2.6448285E+002, 1.1137641E+000, 1.9516351E+000, 1.6831990E+002, 7.2612212E-001, 1.7764104E-004, 1.0356897E-003, 1.7904352E-001, 1.4396426E+002, 1.3259470E+002, 1.5273372E+002, 2.1550770E+002, 4.6771328E+001, 4.6595388E+001
 7.6206897E-001, 3.0548507E+002, 2.3459332E+002, 1.0713093E+000, 1.8121710E+000, 6.7056900E+001, 7.2329667E-001, 1.6260952E-004, 9.4805236E-004, 1.8147454E-001, 1.5180270E+002, 1.3707776E+002, 1.6139743E+002, 2.0607749E+002, 4.7738287E+001, 4.7494149E+001
 8.6379310E-001, 2.7524396E+002, 2.1913782E+002, 1.0713093E+000, 1.6957808E+000, 2.9576069E+001, 7.1381241E-001, 1.5564990E-004, 9.0747607E-004, 1.8259767E-001, 1.5780389E+002, 1.3832872E+002, 1.6706057E+002, 1.7451263E+002, 4.7738287E+001, 4.7494149E+001
 9.6551724E-001, 2.7524396E+002, 2.1913782E+002, 1.0672789E+000, 1.6957808E+000, 2.9576069E+001, 7.1381241E-001, 1.5564990E-004, 9.0747607E-004, 1.8259767E-001, 1.5780389E+002, 1.3832872E+002, 1.6706057E+002, 1.7451263E+002, 4.7738287E+001, 4.7494149E+001
 1.0672414E+000, 2.5569221E+002, 2.1123499E+002, 1.0672789E+000, 1.6075650E+000, 1.4790980E+001, 7.0265367E-001, 1.5312521E-004, 8.9275658E-004, 1.8300523E-001, 1.6423163E+002, 1.4155399E+002, 1.7279752E+002, 1.7803928E+002, 4.9167711E+001, 4.9108923E+001
 1.1689655E+000, 2.4402480E+002, 2.0883107E+002, 1.0273836E+000, 1.5217804E+000, 7.8239001E+000, 6.8921854E-001, 1.5369705E-004, 8.9609054E-004, 1.8291477E-001, 1.6423163E+002, 1.4155399E+002, 1.7279752E+002, 1.7803928E+002, 4.9167711E+001, 4.9108923E+001
 1.2706897E+000, 2.4402480E+002, 2.0883107E+002, 1.0092500E+000, 1.5217804E+000, 7.8239001E+000, 6.8921854E-001, 1.5369705E-004, 8.9609054E-004, 1.8291477E-001, 1.7293673E+002, 1.4431359E+002, 1.7910386E+002, 1.6524008E+002, 5.1363372E+001, 5.1937614E+001
 1.3724138E+000, 2.3771484E+002, 2.0941032E+002, 1.0092500E+000, 1.4548193E+000, 4.6328517E+000, 6.7667858E-001, 1.5578272E-004, 9.0825050E-004, 1.8258093E-001, 1.8442261E+002, 1.5221564E+002, 1.8542879E+002, 1.5642516E+002, 5.1363372E+001, 5.1937614E+001
 1.4741379E+000, 2.3771484E+002, 2.0941032E+002, 1.0262672E+000, 1.4548193E+000, 4.6328517E+000, 6.7667858E-001, 1.5578272E-004, 9.0825050E-004, 1.8258093E-001, 1.8442261E+002, 1.5221564E+002, 1.8542879E+002, 1.5642516E+002, 5.1363372E+001, 5.1937614E+001
 1.5758621E+000, 2.3343998E+002, 2.1096952E+002, 1.0262672E+000, 1.3941080E+000, 2.7397857E+000, 6.6588812E-001, 1.5808096E-004, 9.2164977E-004, 1.8221277E-001, 1.9674397E+002, 1.5814736E+002, 1.9116989E+002, 1.5466431E+002, 5.5899409E+001, 6.0935536E+001
 1.6775862E+000, 2.2971060E+002, 2.1211354E+002, 1.0151811E+000, 1.3593824E+000, 1.6936603E+000, 6.5576618E-001, 1.6029040E-004, 9.3453133E-004, 1.8185871E-001, 1.9674397E+002, 1.5814736E+002, 1.9116989E+002, 1.5466431E+002, 5.5899409E+001, 6.0935536E+001
 1.7793103E+000, 2.2971060E+002, 2.1211354E+002, 9.9770793E-001, 1.3593824E+000, 1.6936603E+000, 6.5576618E-001, 1.6029040E-004, 9.3453133E-004, 1.8185871E-001, 2.0619687E+002, 1.6945878E+002, 1.9664158E+002, 1.5751309E+002, 5.5899409E+001, 6.0935536E+001
 1.8810345E+000, 2.2721501E+002, 2.1342684E+002, 9.9770793E-001, 1.3221635E+000, 1.0578792E+000, 6.4847874E-001, 1.6212595E-004, 9.4523300E-004, 1.8156453E-001, 2.1281060E+002, 1.8163906E+002, 2.0126724E+002, 1.6776043E+002, 6.3579133E+001, 7.6915723E+001
 1.9827586E+000, 2.2721501E+002, 2.1342684E+002, 9.8328545E-001, 1.3221635E+000, 1.0578792E+000, 6.4847874E-001, 1.6212595E-004, 9.4523300E-004, 1.8156453E-001, 2.1281060E+002, 1.8163906E+002, 2.0126724E+002, 1.6776043E+002, 6.3579133E+001, 7.6915723E+001
 2.0844828E+000, 2.2600752E+002, 2.1521481E+002, 9.8958395E-001, 1.2986397E+000, 6.8949459E-001, 6.4195132E-001, 1.6412777E-004, 9.5690410E-004, 1.8124364E-001, 2.1707691E+002, 1.9707496E+002, 2.0522901E+002, 1.8286704E+002, 7.1615634E+001, 7.1711925E+001
 2.1862069E+000, 2.2622789E+002, 2.1798866E+002, 9.8958395E-001, 1.2599461E+000, 4.5400479E-001, 6.3526846E-001, 1.6658747E-004, 9.7124476E-004, 1.8084931E-001, 2.1707691E+002, 1.9707496E+002, 2.0522901E+002, 1.8286704E+002, 7.1615634E+001, 7.1711925E+001
 2.2879310E+000, 2.2622789E+002, 2.1798866E+002, 9.4144512E-001, 1.2599461E+000, 4.5400479E-001, 6.3526846E-001, 1.6658747E-004, 9.7124476E-004, 1.8084931E-001, 2.2024380E+002, 1.9950072E+002, 2.0937204E+002, 1.8546698E+002, 7.1615634E+001, 7.1711925E+001
 2.3896552E+000, 2.2813368E+002, 2.2210956E+002, 9.4144512E-001, 1.2167690E+000, 3.0960264E-001, 6.2805041E-001, 1.6973996E-004, 9.8962452E-004, 1.8034388E-001, 2.2281990E+002, 2.0389096E+002, 2.1421968E+002, 1.8843200E+002, 7.6839502E+001, 7.2577821E+001
 2.4913793E+000, 2.2813368E+002, 2.2210956E+002, 8.5216572E-001, 1.2167690E+000, 3.0960264E-001, 6.2805041E-001, 1.6973996E-004, 9.8962452E-004, 1.8034388E-001, 2.2281990E+002, 2.0389096E+002, 2.1421968E+002, 1.8843200E+002, 7.6839502E+001, 7.2577821E+001
 2.5931034E+000, 2.3226151E+002, 2.2850522E+002, 6.7149446E-001, 1.1848685E+000, 2.2275234E-001, 6.1907120E-001, 1.7420997E-004, 1.0156858E-003, 1.7962721E-001, 2.2611720E+002, 2.1144312E+002, 2.2094748E+002, 1.9858656E+002, 7.9002626E+001, 7.6319223E+001
 2.6948276E+000, 2.3850296E+002, 2.3761306E+002, 6.7149446E-001, 1.2657117E+000, 1.6335839E-001, 6.0686708E-001, 1.8076841E-004, 1.0539230E-003, 1.7857569E-001, 2.2611720E+002, 2.1144312E+002, 2.2094748E+002, 1.9858656E+002, 7.9002626E+001, 7.6319223E+001
 2.7965517E+000, 2.3850296E+002, 2.3761306E+002, 4.1551811E-001, 1.2657117E+000, 1.6335839E-001, 6.0686708E-001, 1.8076841E-004, 1.0539230E-003, 1.7857569E-001, 2.2965318E+002, 2.1769759E+002, 2.2925448E+002, 2.1232726E+002, 7.9002626E+001, 7.6319223E+001
 2.8982759E+000, 2.4549269E+002, 2.4726461E+002, 4.1551811E-001, 1.7126503E+000, 1.1834548E-001, 5.9134557E-001, 1.8896294E-004, 1.1016991E-003, 1.7726185E-001, 2.3235513E+002, 2.1610835E+002, 2.3831505E+002, 2.1602879E+002, 8.2387487E+001, 8.0155204E+001
 2.9983333E+000, 2.4549269E+002, 2.4726461E+002, 0.0000000E+000, 1.7126503E+000, 1.1834548E-001, 5.9134557E-001, 1.8896294E-004, 1.1016991E-003, 1.7726185E-001, 2.3235513E+002, 2.1610835E+002, 2.3831505E+002, 2.1602879E+002, 8.2387487E+001, 8.0155204E+001
