,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:17:06.226+09:00, 0.154E+00,   0.15364, 0.23470E+01
       2,2026-06-16T11:17:06.298+09:00, 0.154E+00,   0.30728, 0.24188E+01
       3,2026-06-16T11:17:06.381+09:00, 0.154E+00,   0.46091, 0.25012E+01
       4,2026-06-16T11:17:06.444+09:00, 0.154E+00,   0.61455, 0.25628E+01
       5,2026-06-16T11:17:06.504+09:00, 0.154E+00,   0.76819, 0.26230E+01
       6,2026-06-16T11:17:06.591+09:00, 0.154E+00,   0.92183, 0.27085E+01
       7,2026-06-16T11:17:06.658+09:00, 0.154E+00,   1.07546, 0.27747E+01
       8,2026-06-16T11:17:06.739+09:00, 0.135E+00,   1.21086, 0.28548E+01
       9,2026-06-16T11:17:06.820+09:00, 0.135E+00,   1.34626, 0.29359E+01
      10,2026-06-16T11:17:06.884+09:00, 0.135E+00,   1.48166, 0.29988E+01
      20,2026-06-16T11:17:07.642+09:00, 0.122E+00,   2.71137, 0.37365E+01
      30,2026-06-16T11:17:08.398+09:00, 0.838E-01,   3.84468, 0.44857E+01
      40,2026-06-16T11:17:09.160+09:00, 0.596E-01,   4.49927, 0.52277E+01
      50,2026-06-16T11:17:09.863+09:00, 0.524E-01,   5.02283, 0.59241E+01
      60,2026-06-16T11:17:10.560+09:00, 0.470E-01,   5.53041, 0.66147E+01
      70,2026-06-16T11:17:11.239+09:00, 0.422E-01,   5.95684, 0.72881E+01
      80,2026-06-16T11:17:11.984+09:00, 0.422E-01,   6.37839, 0.80066E+01
      90,2026-06-16T11:17:12.681+09:00, 0.422E-01,   6.79995, 0.86978E+01
     100,2026-06-16T11:17:13.347+09:00, 0.422E-01,   7.22150, 0.93572E+01
     200,2026-06-16T11:17:20.305+09:00, 0.339E-01,  11.07670, 0.16214E+02
     300,2026-06-16T11:17:27.200+09:00, 0.231E-01,  13.77052, 0.23028E+02
     400,2026-06-16T11:17:33.980+09:00, 0.221E-01,  16.07459, 0.29706E+02
     500,2026-06-16T11:17:40.692+09:00, 0.200E-01,  18.21008, 0.36340E+02
     600,2026-06-16T11:17:47.439+09:00, 0.210E-01,  20.21587, 0.43005E+02
     700,2026-06-16T11:17:54.179+09:00, 0.179E-01,  22.10847, 0.49666E+02
     800,2026-06-16T11:18:00.908+09:00, 0.194E-01,  23.83609, 0.56336E+02
     900,2026-06-16T11:18:07.698+09:00, 0.176E-01,  25.58953, 0.63039E+02
    1000,2026-06-16T11:18:14.475+09:00, 0.171E-01,  27.21394, 0.69737E+02
    1100,2026-06-16T11:18:21.217+09:00, 0.150E-01,  28.68140, 0.76404E+02
    1200,2026-06-16T11:18:28.002+09:00, 0.152E-01,  30.30210, 0.83110E+02
    1300,2026-06-16T11:18:34.715+09:00, 0.171E-01,  31.84409, 0.89764E+02
    1400,2026-06-16T11:18:41.438+09:00, 0.147E-01,  33.43615, 0.96409E+02
    1500,2026-06-16T11:18:48.171+09:00, 0.169E-01,  34.99853, 0.10307E+03
    1600,2026-06-16T11:18:54.889+09:00, 0.168E-01,  36.53321, 0.10971E+03
    1700,2026-06-16T11:19:01.650+09:00, 0.161E-01,  38.16089, 0.11639E+03
    1800,2026-06-16T11:19:08.350+09:00, 0.170E-01,  39.96865, 0.12303E+03
    1900,2026-06-16T11:19:15.184+09:00, 0.187E-01,  42.00599, 0.12978E+03
    2000,2026-06-16T11:19:21.933+09:00, 0.193E-01,  43.92671, 0.13647E+03
    2100,2026-06-16T11:19:28.789+09:00, 0.174E-01,  45.74395, 0.14325E+03
    2200,2026-06-16T11:19:35.666+09:00, 0.196E-01,  47.78020, 0.15005E+03
    2300,2026-06-16T11:19:42.357+09:00, 0.190E-01,  49.81998, 0.15667E+03
    2400,2026-06-16T11:19:49.141+09:00, 0.205E-01,  51.77314, 0.16338E+03
    2500,2026-06-16T11:19:55.849+09:00, 0.229E-01,  53.77129, 0.17002E+03
    2600,2026-06-16T11:20:02.588+09:00, 0.181E-01,  55.64710, 0.17668E+03
    2700,2026-06-16T11:20:09.437+09:00, 0.173E-01,  57.56488, 0.18346E+03
    2800,2026-06-16T11:20:16.123+09:00, 0.192E-01,  59.50437, 0.19007E+03
    2900,2026-06-16T11:20:23.013+09:00, 0.188E-01,  61.54463, 0.19688E+03
    3000,2026-06-16T11:20:29.818+09:00, 0.218E-01,  63.59899, 0.20362E+03
    3100,2026-06-16T11:20:36.962+09:00, 0.176E-01,  65.51612, 0.21069E+03
    3200,2026-06-16T11:20:44.152+09:00, 0.197E-01,  67.51022, 0.21781E+03
    3300,2026-06-16T11:20:51.327+09:00, 0.210E-01,  69.58781, 0.22491E+03
    3400,2026-06-16T11:20:58.473+09:00, 0.192E-01,  71.62866, 0.23198E+03
    3500,2026-06-16T11:21:05.584+09:00, 0.168E-01,  73.73373, 0.23901E+03
    3600,2026-06-16T11:21:12.630+09:00, 0.192E-01,  75.72335, 0.24598E+03
    3700,2026-06-16T11:21:19.700+09:00, 0.227E-01,  77.87154, 0.25298E+03
    3800,2026-06-16T11:21:26.698+09:00, 0.220E-01,  79.91496, 0.25990E+03
    3900,2026-06-16T11:21:33.744+09:00, 0.189E-01,  81.96506, 0.26688E+03
    4000,2026-06-16T11:21:40.762+09:00, 0.227E-01,  84.05781, 0.27382E+03
    4100,2026-06-16T11:21:47.722+09:00, 0.188E-01,  86.24258, 0.28071E+03
    4200,2026-06-16T11:21:54.738+09:00, 0.128E-01,  88.09809, 0.28766E+03
    4300,2026-06-16T11:22:01.602+09:00, 0.155E-01,  90.12888, 0.29445E+03
    4400,2026-06-16T11:22:08.154+09:00, 0.140E-01,  91.78663, 0.30095E+03
    4500,2026-06-16T11:22:14.791+09:00, 0.210E-01,  93.83472, 0.30753E+03
    4600,2026-06-16T11:22:21.453+09:00, 0.217E-01,  95.93378, 0.31413E+03
    4700,2026-06-16T11:22:28.064+09:00, 0.194E-01,  97.91913, 0.32068E+03
    4800,2026-06-16T11:22:34.724+09:00, 0.220E-01,  99.83256, 0.32728E+03
    4900,2026-06-16T11:22:41.426+09:00, 0.210E-01, 101.96045, 0.33392E+03
    5000,2026-06-16T11:22:48.064+09:00, 0.190E-01, 104.03715, 0.34048E+03
    5100,2026-06-16T11:22:54.752+09:00, 0.215E-01, 106.31168, 0.34711E+03
    5200,2026-06-16T11:23:01.387+09:00, 0.221E-01, 108.43309, 0.35368E+03
    5300,2026-06-16T11:23:08.050+09:00, 0.226E-01, 110.32925, 0.36028E+03
    5400,2026-06-16T11:23:14.732+09:00, 0.196E-01, 112.35948, 0.36690E+03
    5500,2026-06-16T11:23:21.361+09:00, 0.187E-01, 114.55755, 0.37347E+03
    5600,2026-06-16T11:23:28.069+09:00, 0.179E-01, 116.59982, 0.38012E+03
    5700,2026-06-16T11:23:34.742+09:00, 0.202E-01, 118.64481, 0.38673E+03
    5800,2026-06-16T11:23:41.440+09:00, 0.230E-01, 120.73757, 0.39336E+03
    5900,2026-06-16T11:23:48.088+09:00, 0.212E-01, 122.85755, 0.39995E+03
    6000,2026-06-16T11:23:54.822+09:00, 0.213E-01, 125.11444, 0.40662E+03
    6100,2026-06-16T11:24:01.473+09:00, 0.214E-01, 127.45503, 0.41321E+03
    6200,2026-06-16T11:24:08.117+09:00, 0.198E-01, 129.43376, 0.41979E+03
    6300,2026-06-16T11:24:14.748+09:00, 0.235E-01, 131.59915, 0.42636E+03
    6400,2026-06-16T11:24:21.403+09:00, 0.185E-01, 133.87549, 0.43296E+03
    6500,2026-06-16T11:24:28.031+09:00, 0.203E-01, 135.90152, 0.43953E+03
    6600,2026-06-16T11:24:34.735+09:00, 0.210E-01, 138.08573, 0.44616E+03
    6700,2026-06-16T11:24:41.345+09:00, 0.219E-01, 140.22080, 0.45271E+03
    6800,2026-06-16T11:24:47.983+09:00, 0.209E-01, 142.35709, 0.45929E+03
    6900,2026-06-16T11:24:54.662+09:00, 0.214E-01, 144.03597, 0.46591E+03
    7000,2026-06-16T11:25:01.293+09:00, 0.210E-01, 146.15608, 0.47248E+03
    7100,2026-06-16T11:25:07.970+09:00, 0.208E-01, 148.22489, 0.47909E+03
    7200,2026-06-16T11:25:14.589+09:00, 0.244E-01, 150.29019, 0.48565E+03
    7300,2026-06-16T11:25:21.248+09:00, 0.199E-01, 152.48946, 0.49225E+03
    7400,2026-06-16T11:25:27.856+09:00, 0.193E-01, 154.52423, 0.49880E+03
    7500,2026-06-16T11:25:34.560+09:00, 0.214E-01, 156.67961, 0.50544E+03
    7600,2026-06-16T11:25:41.209+09:00, 0.222E-01, 158.85302, 0.51203E+03
    7700,2026-06-16T11:25:47.860+09:00, 0.203E-01, 161.11143, 0.51862E+03
    7800,2026-06-16T11:25:54.568+09:00, 0.180E-01, 163.34958, 0.52527E+03
    7900,2026-06-16T11:26:01.201+09:00, 0.204E-01, 165.48280, 0.53184E+03
    8000,2026-06-16T11:26:07.871+09:00, 0.248E-01, 167.74540, 0.53845E+03
    8100,2026-06-16T11:26:14.492+09:00, 0.217E-01, 169.77118, 0.54501E+03
    8200,2026-06-16T11:26:21.151+09:00, 0.202E-01, 172.05898, 0.55160E+03
    8300,2026-06-16T11:26:27.784+09:00, 0.191E-01, 174.02122, 0.55817E+03
    8400,2026-06-16T11:26:34.417+09:00, 0.234E-01, 176.25296, 0.56475E+03
    8500,2026-06-16T11:26:40.989+09:00, 0.244E-01, 178.40221, 0.57126E+03
    8600,2026-06-16T11:26:47.634+09:00, 0.201E-01, 180.68236, 0.57784E+03
    8700,2026-06-16T11:26:54.309+09:00, 0.195E-01, 182.92322, 0.58446E+03
    8800,2026-06-16T11:27:00.948+09:00, 0.202E-01, 185.17599, 0.59104E+03
    8900,2026-06-16T11:27:07.598+09:00, 0.206E-01, 187.31640, 0.59762E+03
    9000,2026-06-16T11:27:14.283+09:00, 0.210E-01, 189.50730, 0.60425E+03
    9100,2026-06-16T11:27:20.928+09:00, 0.248E-01, 191.81882, 0.61083E+03
    9200,2026-06-16T11:27:27.616+09:00, 0.213E-01, 194.01224, 0.61745E+03
    9300,2026-06-16T11:27:34.304+09:00, 0.239E-01, 196.30753, 0.62408E+03
    9400,2026-06-16T11:27:40.972+09:00, 0.206E-01, 198.48771, 0.63069E+03
