m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.7235936E+002, 5.9778826E+002, 1.9020214E-002, 2.0759540E+000, 3.2178560E+003, 5.5131539E-001, 3.6882602E-004, 2.1503438E-003, 1.4755305E-001, 9.8206678E+001, 1.0006730E+002, 1.1641381E+002, 2.3411512E+002, 4.1272366E+001, 4.1608188E+001
 1.5172414E-001, 6.7235936E+002, 5.9778826E+002, 9.4860080E-001, 2.0759540E+000, 3.2178560E+003, 5.5131539E-001, 3.6882602E-004, 2.1503438E-003, 1.4755305E-001, 9.8206678E+001, 1.0006730E+002, 1.1641381E+002, 2.3411512E+002, 4.1272366E+001, 4.1608188E+001
 2.5344828E-001, 5.5696414E+002, 4.5439962E+002, 1.3089712E+000, 2.1795862E+000, 1.3402098E+003, 6.4184631E-001, 2.8117662E-004, 1.6393268E-003, 1.6214176E-001, 1.1293250E+002, 1.0288563E+002, 1.2467974E+002, 2.3169253E+002, 4.3518611E+001, 4.3829200E+001
 3.5517241E-001, 4.4566787E+002, 3.4449299E+002, 1.3089712E+000, 2.1682783E+000, 4.9358299E+002, 7.0900334E-001, 2.1691446E-004, 1.2646631E-003, 1.7266995E-001, 1.2577355E+002, 1.0663707E+002, 1.3828511E+002, 2.1558936E+002, 4.3518611E+001, 4.3829200E+001
 4.5689655E-001, 4.4566787E+002, 3.4449299E+002, 1.3822727E+000, 2.1682783E+000, 4.9358299E+002, 7.0900334E-001, 2.1691446E-004, 1.2646631E-003, 1.7266995E-001, 1.2577355E+002, 1.0663707E+002, 1.3828511E+002, 2.1558936E+002, 4.3518611E+001, 4.3829200E+001
 5.5862069E-001, 3.6438691E+002, 2.7889856E+002, 1.3822727E+000, 2.0763970E+000, 1.7554147E+002, 7.4138609E-001, 1.8052460E-004, 1.0525016E-003, 1.7857905E-001, 1.3585856E+002, 1.1949898E+002, 1.4994880E+002, 1.9191543E+002, 4.4829567E+001, 4.4528298E+001
 6.6034483E-001, 3.6438691E+002, 2.7889856E+002, 1.2774274E+000, 2.0763970E+000, 1.7554147E+002, 7.4138609E-001, 1.8052460E-004, 1.0525016E-003, 1.7857905E-001, 1.3585856E+002, 1.1949898E+002, 1.4994880E+002, 1.9191543E+002, 4.4829567E+001, 4.4528298E+001
 7.6206897E-001, 3.1052040E+002, 2.4223310E+002, 1.1675067E+000, 1.9186899E+000, 6.7386524E+001, 7.5147229E-001, 1.6145039E-004, 9.4129434E-004, 1.8166018E-001, 1.4468172E+002, 1.3286824E+002, 1.5918128E+002, 1.7688900E+002, 4.5936515E+001, 4.5443846E+001
 8.6379310E-001, 2.7710429E+002, 2.2359890E+002, 1.1675067E+000, 1.7709788E+000, 2.9753043E+001, 7.4534321E-001, 1.5312842E-004, 8.9277529E-004, 1.8300184E-001, 1.5273076E+002, 1.4033938E+002, 1.6774905E+002, 1.5930958E+002, 4.5936515E+001, 4.5443846E+001
 9.6551724E-001, 2.7710429E+002, 2.2359890E+002, 1.1051563E+000, 1.7709788E+000, 2.9753043E+001, 7.4534321E-001, 1.5312842E-004, 8.9277529E-004, 1.8300184E-001, 1.5273076E+002, 1.4033938E+002, 1.6774905E+002, 1.5930958E+002, 4.5936515E+001, 4.5443846E+001
 1.0672414E+000, 2.5779830E+002, 2.1609038E+002, 1.1051563E+000, 1.6596387E+000, 1.5158106E+001, 7.3080872E-001, 1.5100878E-004, 8.8041726E-004, 1.8334444E-001, 1.6161728E+002, 1.4978705E+002, 1.7496148E+002, 1.5150678E+002, 4.7640262E+001, 4.7159071E+001
 1.1689655E+000, 2.4613080E+002, 2.1307161E+002, 1.0717173E+000, 1.5750718E+000, 8.3460418E+000, 7.1430172E-001, 1.5153988E-004, 8.8351368E-004, 1.8326054E-001, 1.6161728E+002, 1.4978705E+002, 1.7496148E+002, 1.5150678E+002, 4.7640262E+001, 4.7159071E+001
 1.2706897E+000, 2.4613080E+002, 2.1307161E+002, 1.0624283E+000, 1.5750718E+000, 8.3460418E+000, 7.1430172E-001, 1.5153988E-004, 8.8351368E-004, 1.8326054E-001, 1.7178089E+002, 1.7303121E+002, 1.8025282E+002, 1.5153694E+002, 5.1191457E+001, 4.9322054E+001
 1.3724138E+000, 2.3850795E+002, 2.1231898E+002, 1.0624283E+000, 1.5136504E+000, 4.8225050E+000, 6.9995094E-001, 1.5315340E-004, 8.9292088E-004, 1.8300247E-001, 1.8328070E+002, 1.9439927E+002, 1.8522010E+002, 1.5442171E+002, 5.1191457E+001, 4.9322054E+001
 1.4741379E+000, 2.3850795E+002, 2.1231898E+002, 1.0579160E+000, 1.5136504E+000, 4.8225050E+000, 6.9995094E-001, 1.5315340E-004, 8.9292088E-004, 1.8300247E-001, 1.8328070E+002, 1.9439927E+002, 1.8522010E+002, 1.5442171E+002, 5.1191457E+001, 4.9322054E+001
 1.5758621E+000, 2.3359003E+002, 2.1273461E+002, 1.0579160E+000, 1.4798826E+000, 2.9604914E+000, 6.8800583E-001, 1.5510736E-004, 9.0431295E-004, 1.8268951E-001, 1.9492160E+002, 2.0056283E+002, 1.9026500E+002, 1.6355364E+002, 5.6142111E+001, 5.3645457E+001
 1.6775862E+000, 2.3147231E+002, 2.1455995E+002, 1.0768373E+000, 1.4509181E+000, 1.8638233E+000, 6.7638303E-001, 1.5773600E-004, 9.1963855E-004, 1.8226824E-001, 1.9492160E+002, 2.0056283E+002, 1.9026500E+002, 1.6355364E+002, 5.6142111E+001, 5.3645457E+001
 1.7793103E+000, 2.3147231E+002, 2.1455995E+002, 1.0877769E+000, 1.4509181E+000, 1.8638233E+000, 6.7638303E-001, 1.5773600E-004, 9.1963855E-004, 1.8226824E-001, 2.0354947E+002, 2.0174996E+002, 1.9621264E+002, 1.7439992E+002, 5.6142111E+001, 5.3645457E+001
 1.8810345E+000, 2.3164303E+002, 2.1757557E+002, 1.0877769E+000, 1.4101336E+000, 1.2290070E+000, 6.6536035E-001, 1.6088948E-004, 9.3802412E-004, 1.8176275E-001, 2.1090185E+002, 2.0574578E+002, 2.0149134E+002, 1.8313615E+002, 6.4967403E+001, 5.9765042E+001
 1.9827586E+000, 2.3164303E+002, 2.1757557E+002, 1.0660190E+000, 1.4101336E+000, 1.2290070E+000, 6.6536035E-001, 1.6088948E-004, 9.3802412E-004, 1.8176275E-001, 2.1090185E+002, 2.0574578E+002, 2.0149134E+002, 1.8313615E+002, 6.4967403E+001, 5.9765042E+001
 2.0844828E+000, 2.3205333E+002, 2.2079423E+002, 1.0638190E+000, 1.3755864E+000, 8.1054172E-001, 6.5466181E-001, 1.6421334E-004, 9.5740297E-004, 1.8122990E-001, 2.1577163E+002, 2.0704655E+002, 2.0586580E+002, 1.8666100E+002, 7.2264431E+001, 7.0361351E+001
 2.1862069E+000, 2.3305731E+002, 2.2423024E+002, 1.0638190E+000, 1.3384318E+000, 5.4071340E-001, 6.4680113E-001, 1.6706227E-004, 9.7401294E-004, 1.8077317E-001, 2.1577163E+002, 2.0704655E+002, 2.0586580E+002, 1.8666100E+002, 7.2264431E+001, 7.0361351E+001
 2.2879310E+000, 2.3305731E+002, 2.2423024E+002, 1.0067540E+000, 1.3384318E+000, 5.4071340E-001, 6.4680113E-001, 1.6706227E-004, 9.7401294E-004, 1.8077317E-001, 2.1943113E+002, 2.1006833E+002, 2.1037139E+002, 1.8617361E+002, 7.2264431E+001, 7.0361351E+001
 2.3896552E+000, 2.3492868E+002, 2.2803460E+002, 1.0067540E+000, 1.2716291E+000, 3.4921553E-001, 6.4081952E-001, 1.6966511E-004, 9.8918813E-004, 1.8035588E-001, 2.2324251E+002, 2.1121474E+002, 2.1560626E+002, 1.8675009E+002, 7.5478748E+001, 7.5220198E+001
 2.4913793E+000, 2.3492868E+002, 2.2803460E+002, 9.2487892E-001, 1.2716291E+000, 3.4921553E-001, 6.4081952E-001, 1.6966511E-004, 9.8918813E-004, 1.8035588E-001, 2.2324251E+002, 2.1121474E+002, 2.1560626E+002, 1.8675009E+002, 7.5478748E+001, 7.5220198E+001
 2.5931034E+000, 2.3903236E+002, 2.3451721E+002, 7.0919347E-001, 1.2321351E+000, 2.3895989E-001, 6.3395509E-001, 1.7357338E-004, 1.0119743E-003, 1.7972927E-001, 2.2726291E+002, 2.0788706E+002, 2.2314455E+002, 1.8764194E+002, 7.7052792E+001, 7.7616744E+001
 2.6948276E+000, 2.4640982E+002, 2.4415467E+002, 7.0919347E-001, 1.3330956E+000, 1.7806444E-001, 6.2281353E-001, 1.8001555E-004, 1.0495337E-003, 1.7869639E-001, 2.2726291E+002, 2.0788706E+002, 2.2314455E+002, 1.8764194E+002, 7.7052792E+001, 7.7616744E+001
 2.7965517E+000, 2.4640982E+002, 2.4415467E+002, 4.8831850E-001, 1.3330956E+000, 1.7806444E-001, 6.2281353E-001, 1.8001555E-004, 1.0495337E-003, 1.7869639E-001, 2.3149829E+002, 2.0143611E+002, 2.3228314E+002, 1.9100531E+002, 7.7052792E+001, 7.7616744E+001
 2.8982759E+000, 2.5510178E+002, 2.5554111E+002, 4.8831850E-001, 1.8480349E+000, 1.4364113E-001, 6.0522543E-001, 1.8943372E-004, 1.1044439E-003, 1.7718636E-001, 2.3542428E+002, 2.0716586E+002, 2.4398050E+002, 2.1289219E+002, 8.0479297E+001, 7.9511419E+001
 2.9983333E+000, 2.5510178E+002, 2.5554111E+002, 0.0000000E+000, 1.8480349E+000, 1.4364113E-001, 6.0522543E-001, 1.8943372E-004, 1.1044439E-003, 1.7718636E-001, 2.3542428E+002, 2.0716586E+002, 2.4398050E+002, 2.1289219E+002, 8.0479297E+001, 7.9511419E+001
