m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.3089951E+002, 5.4834025E+002, 1.8848959E-002, 2.0675198E+000, 3.0040645E+003, 5.9013587E-001, 3.3100493E-004, 1.9298378E-003, 1.5363640E-001, 1.0595697E+002, 1.4566851E+002, 1.0529977E+002, 1.6640536E+002, 4.1334731E+001, 4.0581910E+001
 1.5172414E-001, 6.3089951E+002, 5.4834025E+002, 7.1672669E-001, 2.0675198E+000, 3.0040645E+003, 5.9013587E-001, 3.3100493E-004, 1.9298378E-003, 1.5363640E-001, 1.0595697E+002, 1.4566851E+002, 1.0529977E+002, 1.6640536E+002, 4.1334731E+001, 4.0581910E+001
 2.5344828E-001, 4.8884683E+002, 3.7850147E+002, 9.1793246E-001, 2.0295554E+000, 1.1076999E+003, 7.2267560E-001, 2.3055195E-004, 1.3441729E-003, 1.7032285E-001, 1.1919421E+002, 1.5230895E+002, 1.1631722E+002, 2.0443497E+002, 4.3306069E+001, 4.2070018E+001
 3.5517241E-001, 3.8383983E+002, 2.8298057E+002, 9.1793246E-001, 1.8949950E+000, 3.6095816E+002, 7.8267158E-001, 1.7735420E-004, 1.0340173E-003, 1.7904431E-001, 1.3137764E+002, 1.6242506E+002, 1.3229969E+002, 2.0538485E+002, 4.3306069E+001, 4.2070018E+001
 4.5689655E-001, 3.8383983E+002, 2.8298057E+002, 9.1149998E-001, 1.8949950E+000, 3.6095816E+002, 7.8267158E-001, 1.7735420E-004, 1.0340173E-003, 1.7904431E-001, 1.3137764E+002, 1.6242506E+002, 1.3229969E+002, 2.0538485E+002, 4.3306069E+001, 4.2070018E+001
 5.5862069E-001, 3.1972560E+002, 2.3922923E+002, 9.1149998E-001, 1.7399974E+000, 1.2399860E+002, 7.8845117E-001, 1.5513844E-004, 9.0449418E-004, 1.8265966E-001, 1.4088262E+002, 1.6963478E+002, 1.4605726E+002, 1.9983322E+002, 4.4472030E+001, 4.3748209E+001
 6.6034483E-001, 3.1972560E+002, 2.3922923E+002, 8.8641779E-001, 1.7399974E+000, 1.2399860E+002, 7.8845117E-001, 1.5513844E-004, 9.0449418E-004, 1.8265966E-001, 1.4088262E+002, 1.6963478E+002, 1.4605726E+002, 1.9983322E+002, 4.4472030E+001, 4.3748209E+001
 7.6206897E-001, 2.7765027E+002, 2.1684163E+002, 8.5460264E-001, 1.6107133E+000, 4.8685050E+001, 7.7697267E-001, 1.4525688E-004, 8.4688229E-004, 1.8426005E-001, 1.4849687E+002, 1.9008856E+002, 1.5534845E+002, 2.0536725E+002, 4.5439556E+001, 4.5264374E+001
 8.6379310E-001, 2.5383507E+002, 2.0703352E+002, 8.5460264E-001, 1.5117607E+000, 2.2494626E+001, 7.5566553E-001, 1.4332770E-004, 8.3563472E-004, 1.8457454E-001, 1.5506675E+002, 1.9817758E+002, 1.6366525E+002, 2.3288284E+002, 4.5439556E+001, 4.5264374E+001
 9.6551724E-001, 2.5383507E+002, 2.0703352E+002, 8.2440278E-001, 1.5117607E+000, 2.2494626E+001, 7.5566553E-001, 1.4332770E-004, 8.3563472E-004, 1.8457454E-001, 1.5506675E+002, 1.9817758E+002, 1.6366525E+002, 2.3288284E+002, 4.5439556E+001, 4.5264374E+001
