,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:17:06.351+09:00, 0.154E+00,   0.15364, 0.24732E+01
       2,2026-06-16T11:17:06.429+09:00, 0.154E+00,   0.30728, 0.25505E+01
       3,2026-06-16T11:17:06.529+09:00, 0.154E+00,   0.46091, 0.26499E+01
       4,2026-06-16T11:17:06.607+09:00, 0.154E+00,   0.61455, 0.27273E+01
       5,2026-06-16T11:17:06.686+09:00, 0.154E+00,   0.76819, 0.28054E+01
       6,2026-06-16T11:17:06.790+09:00, 0.154E+00,   0.92183, 0.29079E+01
       7,2026-06-16T11:17:06.868+09:00, 0.154E+00,   1.07546, 0.29855E+01
       8,2026-06-16T11:17:06.974+09:00, 0.135E+00,   1.21086, 0.30896E+01
       9,2026-06-16T11:17:07.076+09:00, 0.135E+00,   1.34626, 0.31905E+01
      10,2026-06-16T11:17:07.155+09:00, 0.135E+00,   1.48166, 0.32688E+01
      20,2026-06-16T11:17:08.144+09:00, 0.122E+00,   2.71137, 0.42340E+01
      30,2026-06-16T11:17:09.116+09:00, 0.790E-01,   3.81589, 0.51978E+01
      40,2026-06-16T11:17:10.102+09:00, 0.524E-01,   4.43750, 0.61593E+01
      50,2026-06-16T11:17:10.938+09:00, 0.524E-01,   4.96176, 0.69884E+01
      60,2026-06-16T11:17:11.860+09:00, 0.454E-01,   5.45092, 0.79004E+01
      70,2026-06-16T11:17:12.731+09:00, 0.404E-01,   5.85959, 0.87627E+01
      80,2026-06-16T11:17:13.651+09:00, 0.404E-01,   6.26322, 0.96548E+01
      90,2026-06-16T11:17:14.503+09:00, 0.404E-01,   6.66685, 0.10500E+02
     100,2026-06-16T11:17:15.386+09:00, 0.444E-01,   7.11084, 0.11373E+02
     200,2026-06-16T11:17:24.217+09:00, 0.317E-01,  10.97250, 0.20087E+02
     300,2026-06-16T11:17:32.833+09:00, 0.218E-01,  13.81391, 0.28602E+02
     400,2026-06-16T11:17:41.600+09:00, 0.214E-01,  16.10315, 0.37247E+02
     500,2026-06-16T11:17:50.330+09:00, 0.189E-01,  18.20702, 0.45880E+02
     600,2026-06-16T11:17:58.968+09:00, 0.180E-01,  20.09949, 0.54420E+02
     700,2026-06-16T11:18:07.597+09:00, 0.180E-01,  21.95444, 0.62968E+02
     800,2026-06-16T11:18:16.251+09:00, 0.185E-01,  23.71661, 0.71528E+02
     900,2026-06-16T11:18:25.029+09:00, 0.172E-01,  25.49254, 0.80212E+02
    1000,2026-06-16T11:18:33.728+09:00, 0.151E-01,  27.25088, 0.88818E+02
    1100,2026-06-16T11:18:42.370+09:00, 0.160E-01,  28.83617, 0.97365E+02
    1200,2026-06-16T11:18:51.133+09:00, 0.151E-01,  30.48838, 0.10603E+03
    1300,2026-06-16T11:18:59.931+09:00, 0.153E-01,  32.03077, 0.11473E+03
    1400,2026-06-16T11:19:08.693+09:00, 0.157E-01,  33.61867, 0.12340E+03
    1500,2026-06-16T11:19:17.450+09:00, 0.143E-01,  35.25495, 0.13204E+03
    1600,2026-06-16T11:19:26.317+09:00, 0.168E-01,  36.99561, 0.14081E+03
    1700,2026-06-16T11:19:35.070+09:00, 0.202E-01,  38.78230, 0.14941E+03
    1800,2026-06-16T11:19:43.944+09:00, 0.186E-01,  40.73663, 0.15818E+03
    1900,2026-06-16T11:19:52.737+09:00, 0.206E-01,  42.61911, 0.16688E+03
    2000,2026-06-16T11:20:01.594+09:00, 0.191E-01,  44.56424, 0.17564E+03
    2100,2026-06-16T11:20:10.423+09:00, 0.196E-01,  46.59311, 0.18438E+03
    2200,2026-06-16T11:20:19.244+09:00, 0.174E-01,  48.67330, 0.19305E+03
    2300,2026-06-16T11:20:28.038+09:00, 0.202E-01,  50.67445, 0.20173E+03
    2400,2026-06-16T11:20:36.897+09:00, 0.202E-01,  52.69508, 0.21050E+03
    2500,2026-06-16T11:20:45.693+09:00, 0.177E-01,  54.51576, 0.21920E+03
    2600,2026-06-16T11:20:54.405+09:00, 0.200E-01,  56.19329, 0.22783E+03
    2700,2026-06-16T11:21:03.226+09:00, 0.174E-01,  58.22694, 0.23654E+03
    2800,2026-06-16T11:21:12.000+09:00, 0.213E-01,  60.16188, 0.24522E+03
    2900,2026-06-16T11:21:20.721+09:00, 0.211E-01,  62.22940, 0.25385E+03
    3000,2026-06-16T11:21:29.404+09:00, 0.205E-01,  64.22217, 0.26245E+03
    3100,2026-06-16T11:21:38.113+09:00, 0.217E-01,  66.18794, 0.27107E+03
    3200,2026-06-16T11:21:46.804+09:00, 0.212E-01,  68.17280, 0.27968E+03
    3300,2026-06-16T11:21:55.506+09:00, 0.182E-01,  70.21993, 0.28830E+03
    3400,2026-06-16T11:22:04.202+09:00, 0.221E-01,  72.25225, 0.29691E+03
    3500,2026-06-16T11:22:12.962+09:00, 0.123E-01,  74.17536, 0.30559E+03
    3600,2026-06-16T11:22:21.558+09:00, 0.129E-01,  75.79033, 0.31413E+03
    3700,2026-06-16T11:22:30.199+09:00, 0.200E-01,  77.50435, 0.32269E+03
    3800,2026-06-16T11:22:38.860+09:00, 0.194E-01,  79.62562, 0.33128E+03
    3900,2026-06-16T11:22:47.511+09:00, 0.231E-01,  81.78783, 0.33985E+03
    4000,2026-06-16T11:22:56.157+09:00, 0.193E-01,  83.88212, 0.34843E+03
    4100,2026-06-16T11:23:04.779+09:00, 0.182E-01,  85.86383, 0.35697E+03
    4200,2026-06-16T11:23:13.431+09:00, 0.158E-01,  87.93261, 0.36554E+03
    4300,2026-06-16T11:23:22.059+09:00, 0.203E-01,  89.94347, 0.37410E+03
    4400,2026-06-16T11:23:30.682+09:00, 0.205E-01,  91.90275, 0.38264E+03
    4500,2026-06-16T11:23:39.467+09:00, 0.189E-01,  94.01031, 0.39134E+03
    4600,2026-06-16T11:23:47.972+09:00, 0.193E-01,  95.95692, 0.39978E+03
    4700,2026-06-16T11:23:56.646+09:00, 0.213E-01,  97.91589, 0.40838E+03
    4800,2026-06-16T11:24:05.453+09:00, 0.215E-01, 100.04280, 0.41709E+03
    4900,2026-06-16T11:24:14.078+09:00, 0.163E-01, 102.09331, 0.42564E+03
    5000,2026-06-16T11:24:22.663+09:00, 0.242E-01, 104.20301, 0.43415E+03
    5100,2026-06-16T11:24:31.343+09:00, 0.235E-01, 106.25657, 0.44276E+03
    5200,2026-06-16T11:24:39.998+09:00, 0.232E-01, 108.28719, 0.45134E+03
    5300,2026-06-16T11:24:48.793+09:00, 0.197E-01, 110.38273, 0.46006E+03
    5400,2026-06-16T11:24:57.441+09:00, 0.223E-01, 112.48934, 0.46863E+03
    5500,2026-06-16T11:25:06.031+09:00, 0.176E-01, 114.24637, 0.47714E+03
    5600,2026-06-16T11:25:14.664+09:00, 0.250E-01, 116.38307, 0.48570E+03
    5700,2026-06-16T11:25:23.269+09:00, 0.230E-01, 118.58801, 0.49424E+03
    5800,2026-06-16T11:25:31.877+09:00, 0.212E-01, 120.94152, 0.50277E+03
    5900,2026-06-16T11:25:40.577+09:00, 0.192E-01, 123.03932, 0.51139E+03
    6000,2026-06-16T11:25:49.180+09:00, 0.247E-01, 125.28392, 0.51991E+03
    6100,2026-06-16T11:25:57.915+09:00, 0.235E-01, 127.41952, 0.52858E+03
    6200,2026-06-16T11:26:06.522+09:00, 0.223E-01, 129.62196, 0.53710E+03
    6300,2026-06-16T11:26:15.179+09:00, 0.214E-01, 131.59116, 0.54568E+03
    6400,2026-06-16T11:26:23.791+09:00, 0.198E-01, 133.67506, 0.55422E+03
    6500,2026-06-16T11:26:32.399+09:00, 0.187E-01, 135.59679, 0.56276E+03
    6600,2026-06-16T11:26:41.033+09:00, 0.235E-01, 137.61370, 0.57132E+03
    6700,2026-06-16T11:26:49.724+09:00, 0.218E-01, 139.84779, 0.57993E+03
    6800,2026-06-16T11:26:58.352+09:00, 0.203E-01, 141.93828, 0.58848E+03
    6900,2026-06-16T11:27:07.153+09:00, 0.199E-01, 144.05692, 0.59719E+03
    7000,2026-06-16T11:27:15.814+09:00, 0.208E-01, 146.07096, 0.60578E+03
    7100,2026-06-16T11:27:24.423+09:00, 0.210E-01, 148.13118, 0.61432E+03
    7200,2026-06-16T11:27:33.019+09:00, 0.170E-01, 150.15855, 0.62284E+03
    7300,2026-06-16T11:27:41.719+09:00, 0.210E-01, 152.36762, 0.63146E+03
    7400,2026-06-16T11:27:50.406+09:00, 0.218E-01, 154.56463, 0.64008E+03
    7500,2026-06-16T11:27:59.081+09:00, 0.241E-01, 156.63872, 0.64868E+03
    7600,2026-06-16T11:28:07.752+09:00, 0.252E-01, 158.89717, 0.65727E+03
    7700,2026-06-16T11:28:16.455+09:00, 0.210E-01, 161.05069, 0.66589E+03
    7800,2026-06-16T11:28:25.098+09:00, 0.200E-01, 163.05562, 0.67446E+03
    7900,2026-06-16T11:28:33.724+09:00, 0.204E-01, 165.10037, 0.68301E+03
    8000,2026-06-16T11:28:42.321+09:00, 0.231E-01, 167.30694, 0.69154E+03
    8100,2026-06-16T11:28:51.087+09:00, 0.246E-01, 169.63521, 0.70023E+03
    8200,2026-06-16T11:28:59.773+09:00, 0.234E-01, 171.90092, 0.70884E+03
    8300,2026-06-16T11:29:08.538+09:00, 0.202E-01, 173.92716, 0.71752E+03
    8400,2026-06-16T11:29:17.298+09:00, 0.242E-01, 176.12505, 0.72620E+03
    8500,2026-06-16T11:29:25.980+09:00, 0.186E-01, 178.42646, 0.73481E+03
    8600,2026-06-16T11:29:34.598+09:00, 0.264E-01, 180.76537, 0.74335E+03
    8700,2026-06-16T11:29:43.321+09:00, 0.259E-01, 183.08521, 0.75200E+03
    8800,2026-06-16T11:29:51.985+09:00, 0.232E-01, 185.33882, 0.76059E+03
    8900,2026-06-16T11:30:00.672+09:00, 0.204E-01, 187.54198, 0.76920E+03
    9000,2026-06-16T11:30:09.344+09:00, 0.204E-01, 189.61802, 0.77780E+03
    9100,2026-06-16T11:30:17.998+09:00, 0.212E-01, 191.79210, 0.78637E+03
