m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 5.9831645E+002, 5.6993712E+002, 1.8621689E-002, 2.1022333E+000, 3.0010990E+003, 5.7174844E-001, 3.3686720E-004, 1.9640162E-003, 1.5269214E-001, 9.9258993E+001, 9.8044639E+001, 9.5254368E+001, 9.9865170E+001, 4.2423268E+001, 3.9686504E+001
 1.5172414E-001, 5.9831645E+002, 5.6993712E+002, 8.0590868E-001, 2.1022333E+000, 3.0010990E+003, 5.7174844E-001, 3.3686720E-004, 1.9640162E-003, 1.5269214E-001, 9.9258993E+001, 9.8044639E+001, 9.5254368E+001, 9.9865170E+001, 4.2423268E+001, 3.9686504E+001
 2.5344828E-001, 4.7780047E+002, 4.1357933E+002, 1.0823473E+000, 2.1149636E+000, 1.2136466E+003, 6.7134637E-001, 2.4803272E-004, 1.4460900E-003, 1.6748647E-001, 1.1342273E+002, 8.5929866E+001, 1.0840727E+002, 8.9471718E+001, 4.4497089E+001, 4.2555371E+001
 3.5517241E-001, 3.7144686E+002, 3.0230714E+002, 1.0823473E+000, 2.0769691E+000, 4.1790549E+002, 7.3716824E-001, 1.8782797E-004, 1.0950820E-003, 1.7735145E-001, 1.2675874E+002, 9.5591043E+001, 1.2658878E+002, 9.2217077E+001, 4.4497089E+001, 4.2555371E+001
 4.5689655E-001, 3.7144686E+002, 3.0230714E+002, 1.0791592E+000, 2.0769691E+000, 4.1790549E+002, 7.3716824E-001, 1.8782797E-004, 1.0950820E-003, 1.7735145E-001, 1.2675874E+002, 9.5591043E+001, 1.2658878E+002, 9.2217077E+001, 4.4497089E+001, 4.2555371E+001
 5.5862069E-001, 3.0311528E+002, 2.4568538E+002, 1.0791592E+000, 1.9051761E+000, 1.3677885E+002, 7.6021158E-001, 1.5887465E-004, 9.2627717E-004, 1.8205803E-001, 1.3759919E+002, 1.0579007E+002, 1.4291044E+002, 1.1632529E+002, 4.5786649E+001, 4.4201418E+001
 6.6034483E-001, 3.0311528E+002, 2.4568538E+002, 9.6097093E-001, 1.9051761E+000, 1.3677885E+002, 7.6021158E-001, 1.5887465E-004, 9.2627717E-004, 1.8205803E-001, 1.3759919E+002, 1.0579007E+002, 1.4291044E+002, 1.1632529E+002, 4.5786649E+001, 4.4201418E+001
 7.6206897E-001, 2.6014637E+002, 2.1576020E+002, 8.4294966E-001, 1.7167459E+000, 4.8700598E+001, 7.6010300E-001, 1.4481946E-004, 8.4433206E-004, 1.8433051E-001, 1.4609510E+002, 1.1073867E+002, 1.5330559E+002, 1.5403591E+002, 4.6944379E+001, 4.6698303E+001
 8.6379310E-001, 2.3575389E+002, 2.0216530E+002, 8.4294966E-001, 1.5495300E+000, 1.9361385E+001, 7.4600404E-001, 1.4014741E-004, 8.1709289E-004, 1.8508526E-001, 1.5360553E+002, 1.1942846E+002, 1.6240086E+002, 1.6178591E+002, 4.6944379E+001, 4.6698303E+001
 9.6551724E-001, 2.3575389E+002, 2.0216530E+002, 7.6425374E-001, 1.5495300E+000, 1.9361385E+001, 7.4600404E-001, 1.4014741E-004, 8.1709289E-004, 1.8508526E-001, 1.5360553E+002, 1.1942846E+002, 1.6240086E+002, 1.6178591E+002, 4.6944379E+001, 4.6698303E+001
 1.0672414E+000, 2.2360347E+002, 1.9825308E+002, 7.6425374E-001, 1.3975625E+000, 8.5727949E+000, 7.2912814E-001, 1.4040663E-004, 8.1860419E-004, 1.8504557E-001, 1.6301480E+002, 1.3722296E+002, 1.6931173E+002, 1.6596470E+002, 4.8269275E+001, 4.7972921E+001
 1.1689655E+000, 2.1889607E+002, 1.9940155E+002, 7.3344100E-001, 1.2761941E+000, 4.3965465E+000, 7.1055004E-001, 1.4340279E-004, 8.3607252E-004, 1.8456589E-001, 1.6301480E+002, 1.3722296E+002, 1.6931173E+002, 1.6596470E+002, 4.8269275E+001, 4.7972921E+001
 1.2706897E+000, 2.1889607E+002, 1.9940155E+002, 7.0403624E-001, 1.2761941E+000, 4.3965465E+000, 7.1055004E-001, 1.4340279E-004, 8.3607252E-004, 1.8456589E-001, 1.7492101E+002, 1.5907043E+002, 1.7564850E+002, 1.6917188E+002, 5.0845033E+001, 5.0262434E+001
 1.3724138E+000, 2.1604049E+002, 2.0125567E+002, 7.0403624E-001, 1.2059847E+000, 2.4109317E+000, 6.9514496E-001, 1.4646904E-004, 8.5394946E-004, 1.8407462E-001, 1.8800703E+002, 1.8945284E+002, 1.8221229E+002, 1.6738411E+002, 5.0845033E+001, 5.0262434E+001
 1.4741379E+000, 2.1604049E+002, 2.0125567E+002, 6.9501816E-001, 1.2059847E+000, 2.4109317E+000, 6.9514496E-001, 1.4646904E-004, 8.5394946E-004, 1.8407462E-001, 1.8800703E+002, 1.8945284E+002, 1.8221229E+002, 1.6738411E+002, 5.0845033E+001, 5.0262434E+001
