m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 7.0297969E+002, 5.9220368E+002, 1.9213273E-002, 1.9983635E+000, 3.1701075E+003, 5.4103551E-001, 3.8606707E-004, 2.2508632E-003, 1.4475992E-001, 1.0373641E+002, 7.3880150E+001, 1.1641924E+002, 6.2662762E+001, 4.1259593E+001, 4.3236631E+001
 1.5172414E-001, 7.0297969E+002, 5.9220368E+002, 8.9054002E-001, 1.9983635E+000, 3.1701075E+003, 5.4103551E-001, 3.8606707E-004, 2.2508632E-003, 1.4475992E-001, 1.0373641E+002, 7.3880150E+001, 1.1641924E+002, 6.2662762E+001, 4.1259593E+001, 4.3236631E+001
 2.5344828E-001, 5.8483747E+002, 4.4258625E+002, 1.2452410E+000, 2.1297942E+000, 1.3139147E+003, 6.3861072E-001, 2.9064368E-004, 1.6945221E-003, 1.6061518E-001, 1.1650736E+002, 9.1476780E+001, 1.2644052E+002, 8.2055575E+001, 4.3307907E+001, 4.4009452E+001
 3.5517241E-001, 4.7612178E+002, 3.3883934E+002, 1.2452410E+000, 2.1574266E+000, 5.0943098E+002, 7.0108404E-001, 2.2791609E-004, 1.3288052E-003, 1.7089704E-001, 1.2932385E+002, 9.5504478E+001, 1.3934571E+002, 1.2092421E+002, 4.3307907E+001, 4.4009452E+001
 4.5689655E-001, 4.7612178E+002, 3.3883934E+002, 1.3208262E+000, 2.1574266E+000, 5.0943098E+002, 7.0108404E-001, 2.2791609E-004, 1.3288052E-003, 1.7089704E-001, 1.2932385E+002, 9.5504478E+001, 1.3934571E+002, 1.2092421E+002, 4.3307907E+001, 4.4009452E+001
 5.5862069E-001, 3.9839306E+002, 2.8355831E+002, 1.3208262E+000, 2.0780720E+000, 2.0437326E+002, 7.1881592E-001, 1.9488055E-004, 1.1362002E-003, 1.7626995E-001, 1.4000968E+002, 1.3286137E+002, 1.5152648E+002, 1.3909440E+002, 4.4618233E+001, 4.4434006E+001
 6.6034483E-001, 3.9839306E+002, 2.8355831E+002, 1.3498479E+000, 2.0780720E+000, 2.0437326E+002, 7.1881592E-001, 1.9488055E-004, 1.1362002E-003, 1.7626995E-001, 1.4000968E+002, 1.3286137E+002, 1.5152648E+002, 1.3909440E+002, 4.4618233E+001, 4.4434006E+001
 7.6206897E-001, 3.4370461E+002, 2.5275524E+002, 1.3231132E+000, 1.9864111E+000, 8.6656811E+001, 7.1820120E-001, 1.7731202E-004, 1.0337714E-003, 1.7911293E-001, 1.4743331E+002, 1.4039560E+002, 1.6163567E+002, 1.2914219E+002, 4.5712605E+001, 4.5928740E+001
 8.6379310E-001, 3.0769329E+002, 2.3488223E+002, 1.3231132E+000, 1.8751461E+000, 4.0386710E+001, 7.1041373E-001, 1.6786997E-004, 9.7872201E-004, 1.8063618E-001, 1.5457499E+002, 1.4203041E+002, 1.6905178E+002, 1.2965512E+002, 4.5712605E+001, 4.5928740E+001
