,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:17:05.843+09:00, 0.154E+00,   0.15364, 0.23173E+01
       2,2026-06-16T11:17:05.911+09:00, 0.154E+00,   0.30728, 0.23846E+01
       3,2026-06-16T11:17:05.997+09:00, 0.154E+00,   0.46091, 0.24691E+01
       4,2026-06-16T11:17:06.064+09:00, 0.154E+00,   0.61455, 0.25349E+01
       5,2026-06-16T11:17:06.131+09:00, 0.154E+00,   0.76819, 0.26014E+01
       6,2026-06-16T11:17:06.220+09:00, 0.154E+00,   0.92183, 0.26892E+01
       7,2026-06-16T11:17:06.287+09:00, 0.154E+00,   1.07546, 0.27549E+01
       8,2026-06-16T11:17:06.376+09:00, 0.135E+00,   1.21086, 0.28430E+01
       9,2026-06-16T11:17:06.462+09:00, 0.135E+00,   1.34626, 0.29284E+01
      10,2026-06-16T11:17:06.532+09:00, 0.135E+00,   1.48166, 0.29976E+01
      20,2026-06-16T11:17:07.367+09:00, 0.122E+00,   2.71137, 0.38094E+01
      30,2026-06-16T11:17:08.181+09:00, 0.888E-01,   3.83950, 0.46144E+01
      40,2026-06-16T11:17:09.057+09:00, 0.529E-01,   4.48639, 0.54679E+01
      50,2026-06-16T11:17:09.823+09:00, 0.529E-01,   5.01556, 0.62256E+01
      60,2026-06-16T11:17:10.621+09:00, 0.472E-01,   5.52203, 0.70159E+01
      70,2026-06-16T11:17:11.399+09:00, 0.413E-01,   5.94701, 0.77870E+01
      80,2026-06-16T11:17:12.235+09:00, 0.413E-01,   6.36014, 0.85955E+01
      90,2026-06-16T11:17:13.007+09:00, 0.454E-01,   6.81045, 0.93600E+01
     100,2026-06-16T11:17:13.753+09:00, 0.454E-01,   7.26490, 0.10099E+02
     200,2026-06-16T11:17:21.577+09:00, 0.327E-01,  11.23292, 0.17813E+02
     300,2026-06-16T11:17:29.447+09:00, 0.226E-01,  14.14356, 0.25569E+02
     400,2026-06-16T11:17:37.280+09:00, 0.197E-01,  16.61709, 0.33312E+02
     500,2026-06-16T11:17:45.088+09:00, 0.200E-01,  18.75484, 0.41031E+02
     600,2026-06-16T11:17:52.937+09:00, 0.210E-01,  20.80806, 0.48789E+02
     700,2026-06-16T11:18:00.799+09:00, 0.175E-01,  22.73899, 0.56563E+02
     800,2026-06-16T11:18:08.638+09:00, 0.211E-01,  24.55617, 0.64314E+02
     900,2026-06-16T11:18:16.513+09:00, 0.171E-01,  26.39936, 0.72099E+02
    1000,2026-06-16T11:18:24.324+09:00, 0.138E-01,  28.00776, 0.79824E+02
    1100,2026-06-16T11:18:32.094+09:00, 0.155E-01,  29.58289, 0.87527E+02
    1200,2026-06-16T11:18:40.048+09:00, 0.179E-01,  31.25435, 0.95392E+02
    1300,2026-06-16T11:18:47.932+09:00, 0.165E-01,  32.93495, 0.10319E+03
    1400,2026-06-16T11:18:55.827+09:00, 0.177E-01,  34.62049, 0.11099E+03
    1500,2026-06-16T11:19:03.810+09:00, 0.199E-01,  36.47259, 0.11885E+03
    1600,2026-06-16T11:19:11.670+09:00, 0.196E-01,  38.31989, 0.12660E+03
    1700,2026-06-16T11:19:19.703+09:00, 0.193E-01,  40.27038, 0.13454E+03
    1800,2026-06-16T11:19:27.621+09:00, 0.229E-01,  42.41630, 0.14238E+03
    1900,2026-06-16T11:19:35.520+09:00, 0.199E-01,  44.39050, 0.15019E+03
    2000,2026-06-16T11:19:43.432+09:00, 0.178E-01,  46.30288, 0.15802E+03
    2100,2026-06-16T11:19:51.344+09:00, 0.196E-01,  48.29593, 0.16585E+03
    2200,2026-06-16T11:19:59.214+09:00, 0.230E-01,  50.42070, 0.17364E+03
    2300,2026-06-16T11:20:07.114+09:00, 0.178E-01,  52.31022, 0.18145E+03
    2400,2026-06-16T11:20:15.100+09:00, 0.237E-01,  54.31514, 0.18936E+03
    2500,2026-06-16T11:20:22.955+09:00, 0.233E-01,  56.23260, 0.19713E+03
    2600,2026-06-16T11:20:30.933+09:00, 0.200E-01,  58.14027, 0.20503E+03
    2700,2026-06-16T11:20:38.831+09:00, 0.230E-01,  60.20910, 0.21284E+03
    2800,2026-06-16T11:20:46.700+09:00, 0.213E-01,  62.36905, 0.22063E+03
    2900,2026-06-16T11:20:54.595+09:00, 0.213E-01,  64.49472, 0.22845E+03
    3000,2026-06-16T11:21:02.611+09:00, 0.186E-01,  66.60294, 0.23637E+03
    3100,2026-06-16T11:21:10.542+09:00, 0.204E-01,  68.59925, 0.24422E+03
    3200,2026-06-16T11:21:18.470+09:00, 0.185E-01,  70.71733, 0.25207E+03
    3300,2026-06-16T11:21:26.344+09:00, 0.175E-01,  72.53940, 0.25986E+03
    3400,2026-06-16T11:21:34.261+09:00, 0.181E-01,  74.67182, 0.26769E+03
    3500,2026-06-16T11:21:42.157+09:00, 0.209E-01,  76.67421, 0.27551E+03
    3600,2026-06-16T11:21:50.034+09:00, 0.207E-01,  78.73408, 0.28331E+03
    3700,2026-06-16T11:21:58.005+09:00, 0.221E-01,  80.84827, 0.29121E+03
    3800,2026-06-16T11:22:05.844+09:00, 0.228E-01,  82.97818, 0.29897E+03
    3900,2026-06-16T11:22:13.708+09:00, 0.236E-01,  85.12562, 0.30676E+03
    4000,2026-06-16T11:22:21.612+09:00, 0.209E-01,  87.28531, 0.31460E+03
    4100,2026-06-16T11:22:29.474+09:00, 0.219E-01,  89.42072, 0.32239E+03
    4200,2026-06-16T11:22:37.377+09:00, 0.214E-01,  91.44096, 0.33022E+03
    4300,2026-06-16T11:22:45.282+09:00, 0.230E-01,  93.68755, 0.33805E+03
    4400,2026-06-16T11:22:53.226+09:00, 0.246E-01,  95.82186, 0.34593E+03
    4500,2026-06-16T11:23:01.138+09:00, 0.218E-01,  98.00827, 0.35375E+03
    4600,2026-06-16T11:23:08.990+09:00, 0.236E-01, 100.19034, 0.36153E+03
    4700,2026-06-16T11:23:16.864+09:00, 0.192E-01, 102.29310, 0.36934E+03
    4800,2026-06-16T11:23:24.784+09:00, 0.184E-01, 104.35277, 0.37718E+03
    4900,2026-06-16T11:23:32.593+09:00, 0.248E-01, 106.44547, 0.38492E+03
    5000,2026-06-16T11:23:40.493+09:00, 0.246E-01, 108.78385, 0.39275E+03
    5100,2026-06-16T11:23:48.496+09:00, 0.233E-01, 110.91111, 0.40068E+03
    5200,2026-06-16T11:23:56.398+09:00, 0.239E-01, 113.05257, 0.40851E+03
    5300,2026-06-16T11:24:04.325+09:00, 0.222E-01, 115.20640, 0.41637E+03
    5400,2026-06-16T11:24:12.186+09:00, 0.225E-01, 117.38358, 0.42416E+03
    5500,2026-06-16T11:24:20.032+09:00, 0.186E-01, 119.50768, 0.43193E+03
    5600,2026-06-16T11:24:28.013+09:00, 0.216E-01, 121.81065, 0.43984E+03
    5700,2026-06-16T11:24:35.949+09:00, 0.177E-01, 123.88169, 0.44770E+03
    5800,2026-06-16T11:24:43.837+09:00, 0.179E-01, 125.92392, 0.45552E+03
    5900,2026-06-16T11:24:51.692+09:00, 0.206E-01, 128.04898, 0.46329E+03
    6000,2026-06-16T11:24:59.658+09:00, 0.208E-01, 130.37067, 0.47119E+03
    6100,2026-06-16T11:25:07.606+09:00, 0.178E-01, 132.39035, 0.47906E+03
    6200,2026-06-16T11:25:15.439+09:00, 0.231E-01, 134.39594, 0.48682E+03
    6300,2026-06-16T11:25:23.251+09:00, 0.213E-01, 136.44444, 0.49457E+03
    6400,2026-06-16T11:25:31.213+09:00, 0.208E-01, 138.71986, 0.50246E+03
    6500,2026-06-16T11:25:39.092+09:00, 0.251E-01, 140.83041, 0.51027E+03
    6600,2026-06-16T11:25:47.020+09:00, 0.231E-01, 143.21193, 0.51812E+03
    6700,2026-06-16T11:25:54.959+09:00, 0.245E-01, 145.48076, 0.52599E+03
    6800,2026-06-16T11:26:02.838+09:00, 0.238E-01, 147.79503, 0.53380E+03
    6900,2026-06-16T11:26:10.821+09:00, 0.239E-01, 150.12342, 0.54170E+03
    7000,2026-06-16T11:26:18.704+09:00, 0.231E-01, 152.44595, 0.54951E+03
    7100,2026-06-16T11:26:26.561+09:00, 0.217E-01, 154.54415, 0.55729E+03
    7200,2026-06-16T11:26:34.452+09:00, 0.243E-01, 156.62255, 0.56512E+03
    7300,2026-06-16T11:26:42.401+09:00, 0.261E-01, 159.02200, 0.57299E+03
    7400,2026-06-16T11:26:50.315+09:00, 0.208E-01, 161.21780, 0.58084E+03
    7500,2026-06-16T11:26:58.290+09:00, 0.245E-01, 163.44344, 0.58874E+03
    7600,2026-06-16T11:27:06.153+09:00, 0.245E-01, 165.61647, 0.59653E+03
    7700,2026-06-16T11:27:14.065+09:00, 0.206E-01, 167.81735, 0.60437E+03
    7800,2026-06-16T11:27:22.064+09:00, 0.227E-01, 170.05999, 0.61229E+03
    7900,2026-06-16T11:27:29.874+09:00, 0.237E-01, 172.20868, 0.62003E+03
    8000,2026-06-16T11:27:37.677+09:00, 0.213E-01, 174.33597, 0.62777E+03
    8100,2026-06-16T11:27:45.636+09:00, 0.219E-01, 176.64663, 0.63566E+03
    8200,2026-06-16T11:27:53.502+09:00, 0.224E-01, 179.02838, 0.64345E+03
    8300,2026-06-16T11:28:01.362+09:00, 0.218E-01, 181.28398, 0.65124E+03
    8400,2026-06-16T11:28:09.177+09:00, 0.248E-01, 183.51745, 0.65898E+03
    8500,2026-06-16T11:28:17.083+09:00, 0.227E-01, 185.67848, 0.66682E+03
    8600,2026-06-16T11:28:24.982+09:00, 0.241E-01, 188.09698, 0.67464E+03
    8700,2026-06-16T11:28:32.868+09:00, 0.233E-01, 190.17561, 0.68246E+03
    8800,2026-06-16T11:28:40.804+09:00, 0.230E-01, 192.39938, 0.69032E+03
    8900,2026-06-16T11:28:48.821+09:00, 0.204E-01, 194.79487, 0.69827E+03
    9000,2026-06-16T11:28:56.697+09:00, 0.241E-01, 197.02794, 0.70607E+03
    9100,2026-06-16T11:29:04.569+09:00, 0.181E-01, 199.15767, 0.71387E+03
    9200,2026-06-16T11:29:12.425+09:00, 0.223E-01, 201.24368, 0.72166E+03
    9300,2026-06-16T11:29:20.298+09:00, 0.225E-01, 203.42565, 0.72946E+03
    9400,2026-06-16T11:29:28.170+09:00, 0.235E-01, 205.71495, 0.73726E+03
    9500,2026-06-16T11:29:36.016+09:00, 0.240E-01, 208.06972, 0.74503E+03
    9600,2026-06-16T11:29:43.984+09:00, 0.151E-01, 210.10881, 0.75293E+03
    9700,2026-06-16T11:29:51.885+09:00, 0.193E-01, 212.41853, 0.76076E+03
    9800,2026-06-16T11:29:59.767+09:00, 0.259E-01, 214.71202, 0.76857E+03
    9900,2026-06-16T11:30:07.684+09:00, 0.219E-01, 216.87993, 0.77642E+03
   10000,2026-06-16T11:30:15.504+09:00, 0.227E-01, 219.15255, 0.78416E+03
   10100,2026-06-16T11:30:23.374+09:00, 0.221E-01, 221.40817, 0.79196E+03
   10200,2026-06-16T11:30:31.287+09:00, 0.234E-01, 223.82427, 0.79981E+03
   10300,2026-06-16T11:30:39.196+09:00, 0.254E-01, 226.13069, 0.80764E+03
   10400,2026-06-16T11:30:47.068+09:00, 0.254E-01, 228.49757, 0.81544E+03
   10500,2026-06-16T11:30:54.919+09:00, 0.253E-01, 230.79681, 0.82322E+03
   10600,2026-06-16T11:31:02.779+09:00, 0.255E-01, 233.01107, 0.83101E+03
   10700,2026-06-16T11:31:10.641+09:00, 0.216E-01, 235.44815, 0.83880E+03
   10800,2026-06-16T11:31:18.574+09:00, 0.242E-01, 237.57546, 0.84667E+03
   10900,2026-06-16T11:31:26.480+09:00, 0.205E-01, 239.98129, 0.85450E+03
   11000,2026-06-16T11:31:34.392+09:00, 0.248E-01, 242.26273, 0.86234E+03
   11100,2026-06-16T11:31:42.215+09:00, 0.252E-01, 244.74088, 0.87009E+03
   11200,2026-06-16T11:31:50.065+09:00, 0.229E-01, 247.21528, 0.87787E+03
   11300,2026-06-16T11:31:57.903+09:00, 0.264E-01, 249.52617, 0.88564E+03
   11400,2026-06-16T11:32:06.016+09:00, 0.200E-01, 251.82982, 0.89368E+03
   11500,2026-06-16T11:32:13.814+09:00, 0.228E-01, 253.95171, 0.90141E+03
   11600,2026-06-16T11:32:21.680+09:00, 0.236E-01, 256.24703, 0.90920E+03
   11700,2026-06-16T11:32:29.606+09:00, 0.221E-01, 258.41703, 0.91705E+03
   11800,2026-06-16T11:32:37.441+09:00, 0.221E-01, 260.82573, 0.92482E+03
   11900,2026-06-16T11:32:45.371+09:00, 0.154E-01, 263.15371, 0.93268E+03
   12000,2026-06-16T11:32:53.275+09:00, 0.212E-01, 265.47437, 0.94052E+03
   12100,2026-06-16T11:33:01.158+09:00, 0.252E-01, 267.82962, 0.94834E+03
   12200,2026-06-16T11:33:09.110+09:00, 0.272E-01, 270.02248, 0.95621E+03
   12300,2026-06-16T11:33:16.992+09:00, 0.270E-01, 272.48371, 0.96403E+03
   12400,2026-06-16T11:33:24.866+09:00, 0.211E-01, 274.81537, 0.97184E+03
   12500,2026-06-16T11:33:32.679+09:00, 0.267E-01, 277.15572, 0.97959E+03
   12600,2026-06-16T11:33:40.585+09:00, 0.252E-01, 279.48847, 0.98743E+03
   12700,2026-06-16T11:33:48.423+09:00, 0.207E-01, 281.79194, 0.99520E+03
   12800,2026-06-16T11:33:56.359+09:00, 0.209E-01, 284.26866, 0.10031E+04
   12900,2026-06-16T11:34:04.182+09:00, 0.277E-01, 286.64127, 0.10108E+04
   13000,2026-06-16T11:34:12.070+09:00, 0.221E-01, 288.94620, 0.10186E+04
   13100,2026-06-16T11:34:19.937+09:00, 0.212E-01, 291.15438, 0.10264E+04
   13200,2026-06-16T11:34:27.820+09:00, 0.263E-01, 293.52588, 0.10343E+04
   13300,2026-06-16T11:34:35.811+09:00, 0.213E-01, 295.98358, 0.10422E+04
   13400,2026-06-16T11:34:43.709+09:00, 0.218E-01, 298.43327, 0.10500E+04
   13470,2026-06-16T11:34:49.280+09:00, 0.107E-01, 300.00000, 0.10555E+04
