m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.5841734E+002, 5.8766134E+002, 1.8870905E-002, 2.0142769E+000, 3.1166565E+003, 1.3892356E+000, 3.6149398E-004, 8.4303849E-004, 1.4772167E-001, 1.0789647E+002, 6.3769455E+001, 1.2152713E+002, 5.4800828E+001, 4.2307560E+001, 4.3843750E+001
 1.5172414E-001, 6.5841734E+002, 5.8766134E+002, 8.7399248E-001, 2.0142769E+000, 3.1166565E+003, 1.3892356E+000, 3.6149398E-004, 8.4303849E-004, 1.4772167E-001, 1.0789647E+002, 6.3769455E+001, 1.2152713E+002, 5.4800828E+001, 4.2307560E+001, 4.3843750E+001
 2.5344828E-001, 5.3682986E+002, 4.2934040E+002, 1.1284770E+000, 2.1027584E+000, 1.2580505E+003, 1.6494047E+000, 2.6626821E-004, 6.2096290E-004, 1.6380964E-001, 1.2065734E+002, 9.1706456E+001, 1.3156040E+002, 8.6475943E+001, 4.4673809E+001, 4.5701114E+001
 3.5517241E-001, 4.2787569E+002, 3.1959602E+002, 1.1284770E+000, 2.0506919E+000, 4.4961493E+002, 1.8169361E+000, 2.0374293E-004, 4.7514798E-004, 1.7422621E-001, 1.3287067E+002, 1.2111530E+002, 1.4608423E+002, 1.2889203E+002, 4.4673809E+001, 4.5701114E+001
 4.5689655E-001, 4.2787569E+002, 3.1959602E+002, 1.1308918E+000, 2.0506919E+000, 4.4961493E+002, 1.8169361E+000, 2.0374293E-004, 4.7514798E-004, 1.7422621E-001, 1.3287067E+002, 1.2111530E+002, 1.4608423E+002, 1.2889203E+002, 4.4673809E+001, 4.5701114E+001
 5.5862069E-001, 3.5669189E+002, 2.6446932E+002, 1.1308918E+000, 1.9111144E+000, 1.6186291E+002, 1.8626344E+000, 1.7413908E-004, 4.0610896E-004, 1.7912271E-001, 1.4377647E+002, 1.4084265E+002, 1.5724232E+002, 1.4411342E+002, 4.5994334E+001, 4.6884665E+001
 6.6034483E-001, 3.5669189E+002, 2.6446932E+002, 1.0847148E+000, 1.9111144E+000, 1.6186291E+002, 1.8626344E+000, 1.7413908E-004, 4.0610896E-004, 1.7912271E-001, 1.4377647E+002, 1.4084265E+002, 1.5724232E+002, 1.4411342E+002, 4.5994334E+001, 4.6884665E+001
 7.6206897E-001, 3.0888357E+002, 2.3537863E+002, 1.0190789E+000, 1.7939514E+000, 6.4589151E+001, 1.8547153E+000, 1.5976800E-004, 3.7259423E-004, 1.8148771E-001, 1.5133480E+002, 1.4760078E+002, 1.6700917E+002, 1.6104526E+002, 4.6884078E+001, 4.8486982E+001
 8.6379310E-001, 2.7827650E+002, 2.2053785E+002, 1.0190789E+000, 1.6975708E+000, 2.8976285E+001, 1.8266470E+000, 1.5378987E-004, 3.5865266E-004, 1.8246975E-001, 1.5711321E+002, 1.5573732E+002, 1.7453106E+002, 1.7550736E+002, 4.6884078E+001, 4.8486982E+001
