m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.5893206E+002, 5.8742067E+002, 1.8937985E-002, 2.1014741E+000, 3.1400079E+003, 2.7817175E-001, 3.6352116E-004, 4.2388303E-003, 1.5008537E-001, 1.0576167E+002, 7.9537019E+001, 1.1996121E+002, 5.9399713E+001, 4.2447996E+001, 3.8978899E+001
 1.5172414E-001, 6.5893206E+002, 5.8742067E+002, 8.4824371E-001, 2.1014741E+000, 3.1400079E+003, 2.7817175E-001, 3.6352116E-004, 4.2388303E-003, 1.5008537E-001, 1.0576167E+002, 7.9537019E+001, 1.1996121E+002, 5.9399713E+001, 4.2447996E+001, 3.8978899E+001
 2.5344828E-001, 5.3695226E+002, 4.2873719E+002, 1.1680617E+000, 2.1402640E+000, 1.2397390E+003, 3.3129274E-001, 2.6830446E-004, 3.1285582E-003, 1.6546643E-001, 1.1930425E+002, 9.1598154E+001, 1.2731000E+002, 6.4803910E+001, 4.4262272E+001, 4.0421900E+001
 3.5517241E-001, 4.3115277E+002, 3.2335334E+002, 1.1680617E+000, 2.0658866E+000, 4.4157006E+002, 3.6152433E-001, 2.0745685E-004, 2.4190460E-003, 1.7515446E-001, 1.3003954E+002, 1.0987147E+002, 1.3848941E+002, 8.2441659E+001, 4.4262272E+001, 4.0421900E+001
 4.5689655E-001, 4.3115277E+002, 3.2335334E+002, 1.1644728E+000, 2.0658866E+000, 4.4157006E+002, 3.6152433E-001, 2.0745685E-004, 2.4190460E-003, 1.7515446E-001, 1.3003954E+002, 1.0987147E+002, 1.3848941E+002, 8.2441659E+001, 4.4262272E+001, 4.0421900E+001
 5.5862069E-001, 3.5495395E+002, 2.6510117E+002, 1.1644728E+000, 1.9478253E+000, 1.5840699E+002, 3.7091141E-001, 1.7547099E-004, 2.0460756E-003, 1.8020221E-001, 1.3885849E+002, 1.2705272E+002, 1.4867830E+002, 1.1174341E+002, 4.5313508E+001, 4.3655843E+001
 6.6034483E-001, 3.5495395E+002, 2.6510117E+002, 1.0925462E+000, 1.9478253E+000, 1.5840699E+002, 3.7091141E-001, 1.7547099E-004, 2.0460756E-003, 1.8020221E-001, 1.3885849E+002, 1.2705272E+002, 1.4867830E+002, 1.1174341E+002, 4.5313508E+001, 4.3655843E+001
 7.6206897E-001, 3.0422953E+002, 2.3377871E+002, 1.0257781E+000, 1.8109186E+000, 6.2376927E+001, 3.7050761E-001, 1.5920391E-004, 1.8563937E-003, 1.8275620E-001, 1.4682874E+002, 1.4235089E+002, 1.5791567E+002, 1.3732505E+002, 4.6413395E+001, 4.5057767E+001
 8.6379310E-001, 2.7189054E+002, 2.1729257E+002, 1.0257781E+000, 1.6681497E+000, 2.7925564E+001, 3.6556152E-001, 1.5184956E-004, 1.7706384E-003, 1.8390862E-001, 1.5375894E+002, 1.4789059E+002, 1.6489560E+002, 1.5746788E+002, 4.6413395E+001, 4.5057767E+001
 9.6551724E-001, 2.7189054E+002, 2.1729257E+002, 9.7304749E-001, 1.6681497E+000, 2.7925564E+001, 3.6556152E-001, 1.5184956E-004, 1.7706384E-003, 1.8390862E-001, 1.5375894E+002, 1.4789059E+002, 1.6489560E+002, 1.5746788E+002, 4.6413395E+001, 4.5057767E+001
 1.0672414E+000, 2.5159668E+002, 2.0980722E+002, 9.7304749E-001, 1.5504403E+000, 1.3621846E+001, 3.5797020E-001, 1.4982934E-004, 1.7470816E-003, 1.8422603E-001, 1.6101881E+002, 1.5196851E+002, 1.7027397E+002, 1.6933212E+002, 4.8029164E+001, 4.7690426E+001
 1.1689655E+000, 2.3990340E+002, 2.0726787E+002, 9.2950928E-001, 1.4436907E+000, 7.0075231E+000, 3.5086368E-001, 1.5041838E-004, 1.7539501E-003, 1.8413553E-001, 1.6101881E+002, 1.5196851E+002, 1.7027397E+002, 1.6933212E+002, 4.8029164E+001, 4.7690426E+001
 1.2706897E+000, 2.3990340E+002, 2.0726787E+002, 8.8621893E-001, 1.4436907E+000, 7.0075231E+000, 3.5086368E-001, 1.5041838E-004, 1.7539501E-003, 1.8413553E-001, 1.6997196E+002, 1.5957844E+002, 1.7574550E+002, 1.7559265E+002, 5.0395564E+001, 5.1097935E+001
 1.3724138E+000, 2.3169545E+002, 2.0632623E+002, 8.8621893E-001, 1.3798806E+000, 3.8069021E+000, 3.4423531E-001, 1.5197520E-004, 1.7721034E-003, 1.8389368E-001, 1.8173095E+002, 1.6974016E+002, 1.8107424E+002, 1.8086168E+002, 5.0395564E+001, 5.1097935E+001
 1.4741379E+000, 2.3169545E+002, 2.0632623E+002, 8.6485851E-001, 1.3798806E+000, 3.8069021E+000, 3.4423531E-001, 1.5197520E-004, 1.7721034E-003, 1.8389368E-001, 1.8173095E+002, 1.6974016E+002, 1.8107424E+002, 1.8086168E+002, 5.0395564E+001, 5.1097935E+001
