m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.1592040E+002, 5.5049134E+002, 1.6713833E-002, 1.9938621E+000, 2.6461948E+003, 6.1984006E-001, 3.3635435E-004, 1.9610262E-003, 1.5288393E-001, 1.0524782E+002, 1.1406479E+002, 1.2967803E+002, 7.9031373E+001, 3.8780602E+001, 3.8677794E+001
 1.5172414E-001, 6.1592040E+002, 5.5049134E+002, 8.7127963E-001, 1.9938621E+000, 2.6461948E+003, 6.1984006E-001, 3.3635435E-004, 1.9610262E-003, 1.5288393E-001, 1.0524782E+002, 1.1406479E+002, 1.2967803E+002, 7.9031373E+001, 3.8780602E+001, 3.8677794E+001
 2.5344828E-001, 5.0038575E+002, 4.0883507E+002, 1.1960767E+000, 2.1117578E+000, 1.0799254E+003, 7.4305747E-001, 2.5216332E-004, 1.4701724E-003, 1.6684645E-001, 1.1617442E+002, 1.1148150E+002, 1.3265127E+002, 9.1523794E+001, 4.0638122E+001, 4.0933409E+001
 3.5517241E-001, 3.9348502E+002, 3.0469514E+002, 1.1960767E+000, 2.0939401E+000, 3.9012673E+002, 8.2753898E-001, 1.9278867E-004, 1.1240040E-003, 1.7655643E-001, 1.2370683E+002, 1.1499379E+002, 1.4140574E+002, 1.0862185E+002, 4.0638122E+001, 4.0933409E+001
 4.5689655E-001, 3.9348502E+002, 3.0469514E+002, 1.2561317E+000, 2.0939401E+000, 3.9012673E+002, 8.2753898E-001, 1.9278867E-004, 1.1240040E-003, 1.7655643E-001, 1.2370683E+002, 1.1499379E+002, 1.4140574E+002, 1.0862185E+002, 4.0638122E+001, 4.0933409E+001
 5.5862069E-001, 3.1807759E+002, 2.4401447E+002, 1.2561317E+000, 1.9760898E+000, 1.3819082E+002, 8.6716430E-001, 1.5915879E-004, 9.2793377E-004, 1.8201038E-001, 1.3049113E+002, 1.1358039E+002, 1.4847244E+002, 1.1652790E+002, 4.1833552E+001, 4.2496072E+001
 6.6034483E-001, 3.1807759E+002, 2.4401447E+002, 1.1766578E+000, 1.9760898E+000, 1.3819082E+002, 8.6716430E-001, 1.5915879E-004, 9.2793377E-004, 1.8201038E-001, 1.3049113E+002, 1.1358039E+002, 1.4847244E+002, 1.1652790E+002, 4.1833552E+001, 4.2496072E+001
 7.6206897E-001, 2.7234855E+002, 2.1431693E+002, 1.0851291E+000, 1.8281540E+000, 5.4740222E+001, 8.7227140E-001, 1.4351523E-004, 8.3672804E-004, 1.8453760E-001, 1.3664872E+002, 1.0886661E+002, 1.5370899E+002, 1.2774569E+002, 4.2748655E+001, 4.5527025E+001
 8.6379310E-001, 2.4475609E+002, 2.0033715E+002, 1.0851291E+000, 1.6999718E+000, 2.3611860E+001, 8.5564521E-001, 1.3732040E-004, 8.0061071E-004, 1.8553729E-001, 1.4220330E+002, 1.1255220E+002, 1.5885501E+002, 1.4000310E+002, 4.2748655E+001, 4.5527025E+001
 9.6551724E-001, 2.4475609E+002, 2.0033715E+002, 1.0354745E+000, 1.6999718E+000, 2.3611860E+001, 8.5564521E-001, 1.3732040E-004, 8.0061071E-004, 1.8553729E-001, 1.4220330E+002, 1.1255220E+002, 1.5885501E+002, 1.4000310E+002, 4.2748655E+001, 4.5527025E+001
 1.0672414E+000, 2.2727613E+002, 1.9338119E+002, 1.0354745E+000, 1.5955751E+000, 1.1297803E+001, 8.3765069E-001, 1.3504574E-004, 7.8734892E-004, 1.8590441E-001, 1.4732125E+002, 1.1831737E+002, 1.6301537E+002, 1.4436807E+002, 4.3998376E+001, 5.1219102E+001
 1.1689655E+000, 2.1713359E+002, 1.9074645E+002, 1.0105157E+000, 1.5040950E+000, 6.0516487E+000, 8.2004795E-001, 1.3530674E-004, 7.8887063E-004, 1.8586357E-001, 1.4732125E+002, 1.1831737E+002, 1.6301537E+002, 1.4436807E+002, 4.3998376E+001, 5.1219102E+001
 1.2706897E+000, 2.1713359E+002, 1.9074645E+002, 9.7443799E-001, 1.5040950E+000, 6.0516487E+000, 8.2004795E-001, 1.3530674E-004, 7.8887063E-004, 1.8586357E-001, 1.5526462E+002, 1.2799728E+002, 1.6617031E+002, 1.5009954E+002, 4.6109727E+001, 5.7588868E+001
 1.3724138E+000, 2.1150385E+002, 1.9052161E+002, 9.7443799E-001, 1.4249594E+000, 3.4564293E+000, 8.0506214E-001, 1.3668698E-004, 7.9691775E-004, 1.8564275E-001, 1.6649685E+002, 1.4697170E+002, 1.7007497E+002, 1.5404399E+002, 4.6109727E+001, 5.7588868E+001
 1.4741379E+000, 2.1150385E+002, 1.9052161E+002, 9.7475478E-001, 1.4249594E+000, 3.4564293E+000, 8.0506214E-001, 1.3668698E-004, 7.9691775E-004, 1.8564275E-001, 1.6649685E+002, 1.4697170E+002, 1.7007497E+002, 1.5404399E+002, 4.6109727E+001, 5.7588868E+001
 1.5758621E+000, 2.0773939E+002, 1.9121585E+002, 9.7475478E-001, 1.3772137E+000, 2.0834600E+000, 7.9118788E-001, 1.3856904E-004, 8.0789060E-004, 1.8534126E-001, 1.7797843E+002, 1.6972370E+002, 1.7472471E+002, 1.5794099E+002, 4.9787753E+001, 5.4056281E+001
 1.6775862E+000, 2.0453416E+002, 1.9177325E+002, 9.7849208E-001, 1.3538957E+000, 1.2947535E+000, 7.7967048E-001, 1.4025817E-004, 8.1773866E-004, 1.8507060E-001, 1.7797843E+002, 1.6972370E+002, 1.7472471E+002, 1.5794099E+002, 4.9787753E+001, 5.4056281E+001
 1.7793103E+000, 2.0453416E+002, 1.9177325E+002, 9.7606979E-001, 1.3538957E+000, 1.2947535E+000, 7.7967048E-001, 1.4025817E-004, 8.1773866E-004, 1.8507060E-001, 1.8643302E+002, 1.8876283E+002, 1.7960106E+002, 1.7632383E+002, 4.9787753E+001, 5.4056281E+001
 1.8810345E+000, 2.0322180E+002, 1.9303202E+002, 9.7606979E-001, 1.2936037E+000, 7.9333733E-001, 7.6899398E-001, 1.4219572E-004, 8.2903501E-004, 1.8476004E-001, 1.9256172E+002, 1.9887269E+002, 1.8373453E+002, 1.8095839E+002, 5.7733639E+001, 6.9211635E+001
 1.9827586E+000, 2.0322180E+002, 1.9303202E+002, 9.4416105E-001, 1.2936037E+000, 7.9333733E-001, 7.6899398E-001, 1.4219572E-004, 8.2903501E-004, 1.8476004E-001, 1.9256172E+002, 1.9887269E+002, 1.8373453E+002, 1.8095839E+002, 5.7733639E+001, 6.9211635E+001
 2.0844828E+000, 2.0249220E+002, 1.9454511E+002, 9.0885164E-001, 1.2276367E+000, 4.9346647E-001, 7.6059513E-001, 1.4393795E-004, 8.3919265E-004, 1.8448075E-001, 1.9598828E+002, 2.0030614E+002, 1.8719125E+002, 1.8592128E+002, 6.4902462E+001, 6.9997382E+001
 2.1862069E+000, 2.0293565E+002, 1.9665090E+002, 9.0885164E-001, 1.1516091E+000, 3.1215042E-001, 7.5469293E-001, 1.4546147E-004, 8.4807512E-004, 1.8423652E-001, 1.9598828E+002, 2.0030614E+002, 1.8719125E+002, 1.8592128E+002, 6.4902462E+001, 6.9997382E+001
 2.2879310E+000, 2.0293565E+002, 1.9665090E+002, 8.2732857E-001, 1.1516091E+000, 3.1215042E-001, 7.5469293E-001, 1.4546147E-004, 8.4807512E-004, 1.8423652E-001, 1.9820243E+002, 2.0062869E+002, 1.9058154E+002, 1.9283522E+002, 6.4902462E+001, 6.9997382E+001
 2.3896552E+000, 2.0482669E+002, 2.0020846E+002, 8.2732857E-001, 1.0846576E+000, 2.0443586E-001, 7.4862550E-001, 1.4751601E-004, 8.6005357E-004, 1.8390713E-001, 2.0063815E+002, 1.9960397E+002, 1.9439276E+002, 1.9688340E+002, 6.8535196E+001, 7.3532892E+001
 2.4913793E+000, 2.0482669E+002, 2.0020846E+002, 7.2249117E-001, 1.0846576E+000, 2.0443586E-001, 7.4862550E-001, 1.4751601E-004, 8.6005357E-004, 1.8390713E-001, 2.0063815E+002, 1.9960397E+002, 1.9439276E+002, 1.9688340E+002, 6.8535196E+001, 7.3532892E+001
 2.5931034E+000, 2.0901185E+002, 2.0665285E+002, 6.0137142E-001, 1.1104322E+000, 1.4188911E-001, 7.3900330E-001, 1.5137544E-004, 8.8255500E-004, 1.8328835E-001, 2.0324914E+002, 2.0309769E+002, 1.9942687E+002, 2.0334067E+002, 7.0196200E+001, 6.7612272E+001
 2.6948276E+000, 2.1521745E+002, 2.1511139E+002, 6.0137142E-001, 1.2483051E+000, 1.0091857E-001, 7.2460604E-001, 1.5704972E-004, 9.1563741E-004, 1.8237858E-001, 2.0324914E+002, 2.0309769E+002, 1.9942687E+002, 2.0334067E+002, 7.0196200E+001, 6.7612272E+001
 2.7965517E+000, 2.1521745E+002, 2.1511139E+002, 3.9275947E-001, 1.2483051E+000, 1.0091857E-001, 7.2460604E-001, 1.5704972E-004, 9.1563741E-004, 1.8237858E-001, 2.0684914E+002, 2.0877236E+002, 2.0717833E+002, 2.1602635E+002, 7.0196200E+001, 6.7612272E+001
 2.8982759E+000, 2.2246067E+002, 2.2404123E+002, 3.9275947E-001, 1.6606487E+000, 8.0164222E-002, 7.0337959E-001, 1.6480925E-004, 9.6087731E-004, 1.8113448E-001, 2.0969014E+002, 2.1732989E+002, 2.1601202E+002, 2.2580642E+002, 7.3428019E+001, 7.2242346E+001
 2.9983333E+000, 2.2246067E+002, 2.2404123E+002, 0.0000000E+000, 1.6606487E+000, 8.0164222E-002, 7.0337959E-001, 1.6480925E-004, 9.6087731E-004, 1.8113448E-001, 2.0969014E+002, 2.1732989E+002, 2.1601202E+002, 2.2580642E+002, 7.3428019E+001, 7.2242346E+001
