m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 7.3551565E+002, 6.7385128E+002, 2.1858572E-002, 2.1451529E+000, 3.8879546E+003, 4.6459778E-001, 4.3430692E-004, 2.5321131E-003, 1.3684714E-001, 1.1673306E+002, 1.4903798E+002, 1.4033462E+002, 1.2478630E+002, 4.7903998E+001, 4.4158776E+001
 1.5172414E-001, 7.3551565E+002, 6.7385128E+002, 9.8334209E-001, 2.1451529E+000, 3.8879546E+003, 4.6459778E-001, 4.3430692E-004, 2.5321131E-003, 1.3684714E-001, 1.1673306E+002, 1.4903798E+002, 1.4033462E+002, 1.2478630E+002, 4.7903998E+001, 4.4158776E+001
 2.5344828E-001, 6.1498104E+002, 5.1174311E+002, 1.3651922E+000, 2.2620460E+000, 1.6966073E+003, 5.3365325E-001, 3.3297364E-004, 1.9413159E-003, 1.5375352E-001, 1.3351095E+002, 1.5541940E+002, 1.4522616E+002, 1.4639560E+002, 5.0003520E+001, 4.7321629E+001
 3.5517241E-001, 4.9770104E+002, 3.9028140E+002, 1.3651922E+000, 2.2763963E+000, 6.5312974E+002, 5.7592046E-001, 2.5952755E-004, 1.5131076E-003, 1.6580768E-001, 1.4937443E+002, 1.6219804E+002, 1.6046116E+002, 1.6118100E+002, 5.0003520E+001, 4.7321629E+001
 4.5689655E-001, 4.9770104E+002, 3.9028140E+002, 1.4457196E+000, 2.2763963E+000, 6.5312974E+002, 5.7592046E-001, 2.5952755E-004, 1.5131076E-003, 1.6580768E-001, 1.4937443E+002, 1.6219804E+002, 1.6046116E+002, 1.6118100E+002, 5.0003520E+001, 4.7321629E+001
 5.5862069E-001, 4.1346200E+002, 3.2050354E+002, 1.4457196E+000, 2.1884572E+000, 2.4291790E+002, 5.9142530E-001, 2.1885003E-004, 1.2759480E-003, 1.7242253E-001, 1.6139885E+002, 1.6346153E+002, 1.7545618E+002, 1.7596764E+002, 5.1165607E+001, 5.1089172E+001
 6.6034483E-001, 4.1346200E+002, 3.2050354E+002, 1.3965537E+000, 2.1884572E+000, 2.4291790E+002, 5.9142530E-001, 2.1885003E-004, 1.2759480E-003, 1.7242253E-001, 1.6139885E+002, 1.6346153E+002, 1.7545618E+002, 1.7596764E+002, 5.1165607E+001, 5.1089172E+001
 7.6206897E-001, 3.5843877E+002, 2.8243822E+002, 1.2874470E+000, 2.0437429E+000, 9.6466112E+001, 5.9330952E-001, 1.9832017E-004, 1.1562540E-003, 1.7574373E-001, 1.6965933E+002, 1.6105941E+002, 1.8548865E+002, 1.8733595E+002, 5.2036034E+001, 5.3525991E+001
 8.6379310E-001, 3.2234527E+002, 2.6172032E+002, 1.2874470E+000, 1.9164076E+000, 4.3320657E+001, 5.8798126E-001, 1.8854876E-004, 1.0992843E-003, 1.7732055E-001, 1.7736002E+002, 1.6344257E+002, 1.9310730E+002, 1.8920323E+002, 5.2036034E+001, 5.3525991E+001
 9.6551724E-001, 3.2234527E+002, 2.6172032E+002, 1.2460849E+000, 1.9164076E+000, 4.3320657E+001, 5.8798126E-001, 1.8854876E-004, 1.0992843E-003, 1.7732055E-001, 1.7736002E+002, 1.6344257E+002, 1.9310730E+002, 1.8920323E+002, 5.2036034E+001, 5.3525991E+001
 1.0672414E+000, 2.9967007E+002, 2.5160013E+002, 1.2460849E+000, 1.7880410E+000, 2.2023144E+001, 5.7948185E-001, 1.8474654E-004, 1.0771165E-003, 1.7793405E-001, 1.8733608E+002, 1.7348875E+002, 1.9971797E+002, 1.9739492E+002, 5.3628108E+001, 5.6099067E+001
 1.1689655E+000, 2.8535184E+002, 2.4694634E+002, 1.2059363E+000, 1.6956719E+000, 1.2154480E+001, 5.6932093E-001, 1.8425950E-004, 1.0742769E-003, 1.7801387E-001, 1.8733608E+002, 1.7348875E+002, 1.9971797E+002, 1.9739492E+002, 5.3628108E+001, 5.6099067E+001
 1.2706897E+000, 2.8535184E+002, 2.4694634E+002, 1.2064740E+000, 1.6956719E+000, 1.2154480E+001, 5.6932093E-001, 1.8425950E-004, 1.0742769E-003, 1.7801387E-001, 1.9905148E+002, 2.0118714E+002, 2.0557120E+002, 2.1561960E+002, 5.6849893E+001, 6.3415972E+001
 1.3724138E+000, 2.7603578E+002, 2.4555387E+002, 1.2064740E+000, 1.6215117E+000, 7.1720096E+000, 5.5961170E-001, 1.8546466E-004, 1.0813033E-003, 1.7782151E-001, 2.1144692E+002, 2.2348063E+002, 2.1054331E+002, 2.2440528E+002, 5.6849893E+001, 6.3415972E+001
 1.4741379E+000, 2.7603578E+002, 2.4555387E+002, 1.1959425E+000, 1.6215117E+000, 7.1720096E+000, 5.5961170E-001, 1.8546466E-004, 1.0813033E-003, 1.7782151E-001, 2.1144692E+002, 2.2348063E+002, 2.1054331E+002, 2.2440528E+002, 5.6849893E+001, 6.3415972E+001
 1.5758621E+000, 2.6973196E+002, 2.4505439E+002, 1.1959425E+000, 1.5549420E+000, 4.3269539E+000, 5.5207356E-001, 1.8683934E-004, 1.0893180E-003, 1.7760159E-001, 2.2292673E+002, 2.3279393E+002, 2.1547708E+002, 2.2692988E+002, 6.2276010E+001, 6.1854997E+001
 1.6775862E+000, 2.6553611E+002, 2.4520612E+002, 1.1676786E+000, 1.4973484E+000, 2.7074365E+000, 5.4584634E-001, 1.8835848E-004, 1.0981749E-003, 1.7735830E-001, 2.2292673E+002, 2.3279393E+002, 2.1547708E+002, 2.2692988E+002, 6.2276010E+001, 6.1854997E+001
 1.7793103E+000, 2.6553611E+002, 2.4520612E+002, 1.1579165E+000, 1.4973484E+000, 2.7074365E+000, 5.4584634E-001, 1.8835848E-004, 1.0981749E-003, 1.7735830E-001, 2.3205105E+002, 2.4212379E+002, 2.2071613E+002, 2.2121572E+002, 6.2276010E+001, 6.1854997E+001
 1.8810345E+000, 2.6293621E+002, 2.4660810E+002, 1.1579165E+000, 1.4485285E+000, 1.7448768E+000, 5.3965564E-001, 1.9056520E-004, 1.1110406E-003, 1.7700467E-001, 2.4049432E+002, 2.4279708E+002, 2.2608660E+002, 2.2369822E+002, 7.3069836E+001, 5.9032973E+001
 1.9827586E+000, 2.6293621E+002, 2.4660810E+002, 1.1231887E+000, 1.4485285E+000, 1.7448768E+000, 5.3965564E-001, 1.9056520E-004, 1.1110406E-003, 1.7700467E-001, 2.4049432E+002, 2.4279708E+002, 2.2608660E+002, 2.2369822E+002, 7.3069836E+001, 5.9032973E+001
 2.0844828E+000, 2.6223524E+002, 2.4956505E+002, 1.0887290E+000, 1.3991761E+000, 1.1435024E+000, 5.3349987E-001, 1.9347824E-004, 1.1280244E-003, 1.7653772E-001, 2.4487905E+002, 2.4021092E+002, 2.3194858E+002, 2.3441254E+002, 8.1579138E+001, 6.4529920E+001
 2.1862069E+000, 2.6315364E+002, 2.5358663E+002, 1.0887290E+000, 1.3498916E+000, 7.4882777E-001, 5.2901745E-001, 1.9643882E-004, 1.1452853E-003, 1.7606311E-001, 2.4487905E+002, 2.4021092E+002, 2.3194858E+002, 2.3441254E+002, 8.1579138E+001, 6.4529920E+001
 2.2879310E+000, 2.6315364E+002, 2.5358663E+002, 1.0234473E+000, 1.3498916E+000, 7.4882777E-001, 5.2901745E-001, 1.9643882E-004, 1.1452853E-003, 1.7606311E-001, 2.4839370E+002, 2.4288512E+002, 2.3812725E+002, 2.4602524E+002, 8.1579138E+001, 6.4529920E+001
 2.3896552E+000, 2.6587270E+002, 2.5912077E+002, 1.0234473E+000, 1.3247565E+000, 5.0052114E-001, 5.2371382E-001, 2.0037599E-004, 1.1682399E-003, 1.7543189E-001, 2.5248343E+002, 2.4699227E+002, 2.4378009E+002, 2.6087123E+002, 8.6523262E+001, 8.0578281E+001
 2.4913793E+000, 2.6587270E+002, 2.5912077E+002, 9.2096213E-001, 1.3247565E+000, 5.0052114E-001, 5.2371382E-001, 2.0037599E-004, 1.1682399E-003, 1.7543189E-001, 2.5248343E+002, 2.4699227E+002, 2.4378009E+002, 2.6087123E+002, 8.6523262E+001, 8.0578281E+001
 2.5931034E+000, 2.7110489E+002, 2.6735174E+002, 7.3507594E-001, 1.3245477E+000, 3.5801590E-001, 5.1594607E-001, 2.0626052E-004, 1.2025481E-003, 1.7448843E-001, 2.5686764E+002, 2.5359844E+002, 2.5213854E+002, 2.7895658E+002, 8.7796664E+001, 8.9842989E+001
 2.6948276E+000, 2.7944964E+002, 2.7923420E+002, 7.3507594E-001, 1.4446598E+000, 2.7367536E-001, 5.0420489E-001, 2.1553568E-004, 1.2566245E-003, 1.7300134E-001, 2.5686764E+002, 2.5359844E+002, 2.5213854E+002, 2.7895658E+002, 8.7796664E+001, 8.9842989E+001
 2.7965517E+000, 2.7944964E+002, 2.7923420E+002, 4.3208398E-001, 1.4446598E+000, 2.7367536E-001, 5.0420489E-001, 2.1553568E-004, 1.2566245E-003, 1.7300134E-001, 2.6267499E+002, 2.6259405E+002, 2.6365350E+002, 2.8741555E+002, 8.7796664E+001, 8.9842989E+001
 2.8982759E+000, 2.8817818E+002, 2.9090252E+002, 4.3208398E-001, 1.9052455E+000, 2.0532886E-001, 4.9036012E-001, 2.2631482E-004, 1.3194694E-003, 1.7127310E-001, 2.6775733E+002, 2.8034774E+002, 2.7735235E+002, 2.9393831E+002, 9.1429923E+001, 9.0554261E+001
 2.9983333E+000, 2.8817818E+002, 2.9090252E+002, 0.0000000E+000, 1.9052455E+000, 2.0532886E-001, 4.9036012E-001, 2.2631482E-004, 1.3194694E-003, 1.7127310E-001, 2.6775733E+002, 2.8034774E+002, 2.7735235E+002, 2.9393831E+002, 9.1429923E+001, 9.0554261E+001
