m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.6599603E+002, 6.0037011E+002, 1.8866373E-002, 2.0365186E+000, 3.1879753E+003, 5.4273558E-001, 3.7249958E-004, 2.1717615E-003, 1.4696104E-001, 1.0837862E+002, 1.1001045E+002, 1.2536749E+002, 1.0577526E+002, 4.3292255E+001, 4.4797782E+001
 1.5172414E-001, 6.6599603E+002, 6.0037011E+002, 9.4930943E-001, 2.0365186E+000, 3.1879753E+003, 5.4273558E-001, 3.7249958E-004, 2.1717615E-003, 1.4696104E-001, 1.0837862E+002, 1.1001045E+002, 1.2536749E+002, 1.0577526E+002, 4.3292255E+001, 4.4797782E+001
 2.5344828E-001, 5.5669172E+002, 4.6008068E+002, 1.3261818E+000, 2.1647067E+000, 1.3628669E+003, 6.2672604E-001, 2.8707042E-004, 1.6736891E-003, 1.6118820E-001, 1.2142521E+002, 1.1462897E+002, 1.3188756E+002, 1.0218814E+002, 4.5296225E+001, 4.7750176E+001
 3.5517241E-001, 4.4749731E+002, 3.4996674E+002, 1.3261818E+000, 2.2097586E+000, 5.2712047E+002, 6.8906900E-001, 2.2249706E-004, 1.2972110E-003, 1.7176764E-001, 1.3312574E+002, 1.0673009E+002, 1.4360523E+002, 9.4612130E+001, 4.5296225E+001, 4.7750176E+001
 4.5689655E-001, 4.4749731E+002, 3.4996674E+002, 1.3926362E+000, 2.2097586E+000, 5.2712047E+002, 6.8906900E-001, 2.2249706E-004, 1.2972110E-003, 1.7176764E-001, 1.3312574E+002, 1.0673009E+002, 1.4360523E+002, 9.4612130E+001, 4.5296225E+001, 4.7750176E+001
 5.5862069E-001, 3.6652750E+002, 2.8212614E+002, 1.3926362E+000, 2.1159708E+000, 1.9328408E+002, 7.2218002E-001, 1.8391481E-004, 1.0722673E-003, 1.7803196E-001, 1.4279605E+002, 9.9007115E+001, 1.5582500E+002, 9.6290016E+001, 4.6497016E+001, 4.8150183E+001
 6.6034483E-001, 3.6652750E+002, 2.8212614E+002, 1.3238741E+000, 2.1159708E+000, 1.9328408E+002, 7.2218002E-001, 1.8391481E-004, 1.0722673E-003, 1.7803196E-001, 1.4279605E+002, 9.9007115E+001, 1.5582500E+002, 9.6290016E+001, 4.6497016E+001, 4.8150183E+001
 7.6206897E-001, 3.1312608E+002, 2.4436810E+002, 1.2089874E+000, 1.9294015E+000, 7.2764961E+001, 7.3399577E-001, 1.6311643E-004, 9.5100776E-004, 1.8139188E-001, 1.4990227E+002, 1.1573887E+002, 1.6643170E+002, 9.7309897E+001, 4.7555869E+001, 4.8246367E+001
 8.6379310E-001, 2.7766080E+002, 2.2381637E+002, 1.2089874E+000, 1.7694135E+000, 3.0345678E+001, 7.3161440E-001, 1.5286649E-004, 8.9124816E-004, 1.8304356E-001, 1.5716699E+002, 1.4001914E+002, 1.7418964E+002, 1.1759894E+002, 4.7555869E+001, 4.8246367E+001
 9.6551724E-001, 2.7766080E+002, 2.2381637E+002, 1.1305921E+000, 1.7694135E+000, 3.0345678E+001, 7.3161440E-001, 1.5286649E-004, 8.9124816E-004, 1.8304356E-001, 1.5716699E+002, 1.4001914E+002, 1.7418964E+002, 1.1759894E+002, 4.7555869E+001, 4.8246367E+001
 1.0672414E+000, 2.5703884E+002, 2.1481283E+002, 1.1305921E+000, 1.6280971E+000, 1.4261050E+001, 7.2076032E-001, 1.4971904E-004, 8.7289777E-004, 1.8355125E-001, 1.6500394E+002, 1.5399413E+002, 1.8076886E+002, 1.4378648E+002, 4.9189195E+001, 4.9107015E+001
 1.1689655E+000, 2.4426574E+002, 2.1140923E+002, 1.0365651E+000, 1.5251550E+000, 7.5786908E+000, 7.0863614E-001, 1.4963988E-004, 8.7243624E-004, 1.8356522E-001, 1.6500394E+002, 1.5399413E+002, 1.8076886E+002, 1.4378648E+002, 4.9189195E+001, 4.9107015E+001
