,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:37:37.858+09:00, 0.154E+00,   0.15364, 0.26137E+01
       2,2026-06-16T11:37:37.942+09:00, 0.154E+00,   0.30728, 0.26963E+01
       3,2026-06-16T11:37:38.050+09:00, 0.154E+00,   0.46091, 0.28037E+01
       4,2026-06-16T11:37:38.134+09:00, 0.154E+00,   0.61455, 0.28877E+01
       5,2026-06-16T11:37:38.215+09:00, 0.154E+00,   0.76819, 0.29681E+01
       6,2026-06-16T11:37:38.327+09:00, 0.154E+00,   0.92183, 0.30785E+01
       7,2026-06-16T11:37:38.409+09:00, 0.154E+00,   1.07546, 0.31596E+01
       8,2026-06-16T11:37:38.526+09:00, 0.135E+00,   1.21086, 0.32762E+01
       9,2026-06-16T11:37:38.634+09:00, 0.135E+00,   1.34626, 0.33836E+01
      10,2026-06-16T11:37:38.717+09:00, 0.135E+00,   1.48166, 0.34653E+01
      20,2026-06-16T11:37:39.706+09:00, 0.122E+00,   2.71137, 0.44348E+01
      30,2026-06-16T11:37:40.677+09:00, 0.872E-01,   3.83428, 0.53987E+01
      40,2026-06-16T11:37:41.628+09:00, 0.523E-01,   4.47255, 0.63278E+01
      50,2026-06-16T11:37:42.534+09:00, 0.523E-01,   4.99518, 0.72266E+01
      60,2026-06-16T11:37:43.495+09:00, 0.462E-01,   5.49341, 0.81815E+01
      70,2026-06-16T11:37:44.439+09:00, 0.405E-01,   5.90936, 0.91195E+01
      80,2026-06-16T11:37:45.415+09:00, 0.405E-01,   6.31388, 0.10067E+02
      90,2026-06-16T11:37:46.334+09:00, 0.445E-01,   6.75481, 0.10980E+02
     100,2026-06-16T11:37:47.172+09:00, 0.445E-01,   7.19979, 0.11811E+02
     200,2026-06-16T11:37:56.190+09:00, 0.312E-01,  11.09435, 0.20724E+02
     300,2026-06-16T11:38:05.438+09:00, 0.235E-01,  13.88376, 0.29886E+02
     400,2026-06-16T11:38:14.716+09:00, 0.243E-01,  16.25124, 0.39050E+02
     500,2026-06-16T11:38:24.045+09:00, 0.203E-01,  18.39200, 0.48293E+02
     600,2026-06-16T11:38:33.037+09:00, 0.211E-01,  20.29325, 0.57202E+02
     700,2026-06-16T11:38:42.316+09:00, 0.196E-01,  22.12785, 0.66399E+02
     800,2026-06-16T11:38:51.732+09:00, 0.169E-01,  23.84308, 0.75752E+02
     900,2026-06-16T11:39:01.214+09:00, 0.176E-01,  25.57072, 0.85070E+02
    1000,2026-06-16T11:39:10.324+09:00, 0.162E-01,  27.22514, 0.94100E+02
    1100,2026-06-16T11:39:19.710+09:00, 0.149E-01,  28.89482, 0.10340E+03
    1200,2026-06-16T11:39:29.105+09:00, 0.172E-01,  30.49288, 0.11271E+03
    1300,2026-06-16T11:39:38.583+09:00, 0.153E-01,  32.02400, 0.12210E+03
    1400,2026-06-16T11:39:47.962+09:00, 0.173E-01,  33.75722, 0.13142E+03
    1500,2026-06-16T11:39:57.164+09:00, 0.158E-01,  35.43694, 0.14054E+03
    1600,2026-06-16T11:40:06.593+09:00, 0.179E-01,  37.13930, 0.14988E+03
    1700,2026-06-16T11:40:16.257+09:00, 0.171E-01,  38.93400, 0.15946E+03
    1800,2026-06-16T11:40:25.626+09:00, 0.198E-01,  40.84501, 0.16875E+03
    1900,2026-06-16T11:40:34.683+09:00, 0.214E-01,  42.72355, 0.17773E+03
    2000,2026-06-16T11:40:44.145+09:00, 0.195E-01,  44.76564, 0.18711E+03
    2100,2026-06-16T11:40:53.557+09:00, 0.183E-01,  46.79007, 0.19645E+03
    2200,2026-06-16T11:41:02.817+09:00, 0.208E-01,  48.72079, 0.20563E+03
    2300,2026-06-16T11:41:11.893+09:00, 0.218E-01,  50.74120, 0.21463E+03
    2400,2026-06-16T11:41:21.296+09:00, 0.195E-01,  52.68871, 0.22395E+03
    2500,2026-06-16T11:41:30.679+09:00, 0.221E-01,  54.73914, 0.23326E+03
    2600,2026-06-16T11:41:40.078+09:00, 0.160E-01,  56.69284, 0.24258E+03
    2700,2026-06-16T11:41:49.227+09:00, 0.209E-01,  58.61693, 0.25166E+03
    2800,2026-06-16T11:41:58.540+09:00, 0.187E-01,  60.59303, 0.26089E+03
    2900,2026-06-16T11:42:07.888+09:00, 0.235E-01,  62.78221, 0.27016E+03
    3000,2026-06-16T11:42:17.371+09:00, 0.203E-01,  64.86876, 0.27957E+03
    3100,2026-06-16T11:42:26.650+09:00, 0.208E-01,  66.95086, 0.28878E+03
    3200,2026-06-16T11:42:35.869+09:00, 0.191E-01,  69.08254, 0.29792E+03
    3300,2026-06-16T11:42:45.253+09:00, 0.213E-01,  71.13043, 0.30723E+03
    3400,2026-06-16T11:42:54.583+09:00, 0.207E-01,  73.16474, 0.31648E+03
    3500,2026-06-16T11:43:03.964+09:00, 0.227E-01,  75.34200, 0.32578E+03
    3600,2026-06-16T11:43:13.025+09:00, 0.155E-01,  77.25231, 0.33477E+03
    3700,2026-06-16T11:43:22.399+09:00, 0.190E-01,  79.14393, 0.34406E+03
    3800,2026-06-16T11:43:31.736+09:00, 0.194E-01,  81.05662, 0.35333E+03
    3900,2026-06-16T11:43:41.079+09:00, 0.199E-01,  83.03447, 0.36259E+03
    4000,2026-06-16T11:43:50.270+09:00, 0.137E-01,  84.88923, 0.37171E+03
    4100,2026-06-16T11:43:59.503+09:00, 0.218E-01,  86.69309, 0.38087E+03
    4200,2026-06-16T11:44:08.827+09:00, 0.171E-01,  88.38631, 0.39012E+03
    4300,2026-06-16T11:44:18.175+09:00, 0.209E-01,  90.54204, 0.39939E+03
    4400,2026-06-16T11:44:27.446+09:00, 0.172E-01,  92.46137, 0.40859E+03
    4500,2026-06-16T11:44:36.633+09:00, 0.225E-01,  94.54556, 0.41770E+03
    4600,2026-06-16T11:44:46.006+09:00, 0.225E-01,  96.61201, 0.42700E+03
    4700,2026-06-16T11:44:55.411+09:00, 0.220E-01,  98.65281, 0.43633E+03
    4800,2026-06-16T11:45:04.763+09:00, 0.223E-01, 100.74297, 0.44561E+03
    4900,2026-06-16T11:45:13.768+09:00, 0.205E-01, 102.73406, 0.45454E+03
    5000,2026-06-16T11:45:23.116+09:00, 0.196E-01, 104.82653, 0.46381E+03
    5100,2026-06-16T11:45:32.523+09:00, 0.222E-01, 106.84274, 0.47314E+03
    5200,2026-06-16T11:45:41.786+09:00, 0.203E-01, 108.88142, 0.48232E+03
    5300,2026-06-16T11:45:50.863+09:00, 0.221E-01, 111.01316, 0.49133E+03
    5400,2026-06-16T11:46:00.204+09:00, 0.195E-01, 113.11263, 0.50059E+03
    5500,2026-06-16T11:46:09.564+09:00, 0.236E-01, 115.20023, 0.50988E+03
    5600,2026-06-16T11:46:18.983+09:00, 0.213E-01, 117.24319, 0.51922E+03
    5700,2026-06-16T11:46:28.234+09:00, 0.217E-01, 118.98751, 0.52841E+03
    5800,2026-06-16T11:46:37.422+09:00, 0.169E-01, 120.93753, 0.53752E+03
    5900,2026-06-16T11:46:46.629+09:00, 0.162E-01, 122.81957, 0.54665E+03
    6000,2026-06-16T11:46:55.993+09:00, 0.214E-01, 124.75491, 0.55594E+03
    6100,2026-06-16T11:47:05.417+09:00, 0.215E-01, 126.89473, 0.56529E+03
    6200,2026-06-16T11:47:14.381+09:00, 0.187E-01, 129.06975, 0.57419E+03
    6300,2026-06-16T11:47:23.639+09:00, 0.222E-01, 131.06533, 0.58337E+03
    6400,2026-06-16T11:47:33.018+09:00, 0.195E-01, 133.24600, 0.59268E+03
    6500,2026-06-16T11:47:42.259+09:00, 0.227E-01, 135.45505, 0.60184E+03
    6600,2026-06-16T11:47:51.350+09:00, 0.210E-01, 137.72983, 0.61087E+03
    6700,2026-06-16T11:48:00.723+09:00, 0.155E-01, 139.55370, 0.62016E+03
    6800,2026-06-16T11:48:10.120+09:00, 0.136E-01, 141.61214, 0.62949E+03
    6900,2026-06-16T11:48:19.431+09:00, 0.205E-01, 143.48394, 0.63873E+03
    7000,2026-06-16T11:48:28.622+09:00, 0.214E-01, 145.62312, 0.64784E+03
    7100,2026-06-16T11:48:37.812+09:00, 0.210E-01, 147.88005, 0.65696E+03
    7200,2026-06-16T11:48:47.165+09:00, 0.238E-01, 150.15216, 0.66622E+03
    7300,2026-06-16T11:48:56.512+09:00, 0.182E-01, 152.28888, 0.67549E+03
    7400,2026-06-16T11:49:05.925+09:00, 0.239E-01, 154.27941, 0.68483E+03
    7500,2026-06-16T11:49:14.898+09:00, 0.249E-01, 156.46843, 0.69374E+03
    7600,2026-06-16T11:49:24.327+09:00, 0.224E-01, 158.66780, 0.70309E+03
    7700,2026-06-16T11:49:33.681+09:00, 0.263E-01, 160.90242, 0.71237E+03
    7800,2026-06-16T11:49:43.007+09:00, 0.229E-01, 163.22657, 0.72163E+03
    7900,2026-06-16T11:49:52.145+09:00, 0.201E-01, 165.24461, 0.73069E+03
    8000,2026-06-16T11:50:01.358+09:00, 0.200E-01, 167.42599, 0.73982E+03
    8100,2026-06-16T11:50:10.842+09:00, 0.202E-01, 169.80397, 0.74923E+03
    8200,2026-06-16T11:50:20.274+09:00, 0.263E-01, 172.01477, 0.75858E+03
    8300,2026-06-16T11:50:29.547+09:00, 0.226E-01, 174.10997, 0.76778E+03
    8400,2026-06-16T11:50:38.711+09:00, 0.210E-01, 176.26765, 0.77687E+03
    8500,2026-06-16T11:50:48.039+09:00, 0.172E-01, 178.32328, 0.78613E+03
    8600,2026-06-16T11:50:57.256+09:00, 0.215E-01, 180.40310, 0.79527E+03
    8700,2026-06-16T11:51:06.674+09:00, 0.221E-01, 182.65112, 0.80462E+03
    8800,2026-06-16T11:51:15.669+09:00, 0.264E-01, 185.01182, 0.81354E+03
    8900,2026-06-16T11:51:25.079+09:00, 0.234E-01, 187.27853, 0.82287E+03
    9000,2026-06-16T11:51:34.487+09:00, 0.197E-01, 189.45943, 0.83220E+03
    9100,2026-06-16T11:51:43.707+09:00, 0.188E-01, 191.60776, 0.84135E+03
    9200,2026-06-16T11:51:52.754+09:00, 0.224E-01, 193.74550, 0.85033E+03
    9300,2026-06-16T11:52:01.977+09:00, 0.236E-01, 195.88026, 0.85947E+03
    9400,2026-06-16T11:52:11.320+09:00, 0.210E-01, 198.02694, 0.86873E+03
    9500,2026-06-16T11:52:20.668+09:00, 0.206E-01, 200.23603, 0.87801E+03
    9600,2026-06-16T11:52:29.942+09:00, 0.164E-01, 202.59428, 0.88721E+03
    9700,2026-06-16T11:52:39.073+09:00, 0.237E-01, 204.78088, 0.89627E+03
    9800,2026-06-16T11:52:48.443+09:00, 0.218E-01, 207.01752, 0.90556E+03
    9900,2026-06-16T11:52:57.819+09:00, 0.218E-01, 209.11848, 0.91486E+03
   10000,2026-06-16T11:53:07.198+09:00, 0.171E-01, 211.22237, 0.92417E+03
   10100,2026-06-16T11:53:16.145+09:00, 0.216E-01, 213.47044, 0.93304E+03
   10200,2026-06-16T11:53:25.546+09:00, 0.234E-01, 215.75846, 0.94237E+03
   10300,2026-06-16T11:53:34.910+09:00, 0.232E-01, 217.96839, 0.95166E+03
   10400,2026-06-16T11:53:44.018+09:00, 0.212E-01, 220.17705, 0.96069E+03
   10500,2026-06-16T11:53:52.791+09:00, 0.245E-01, 222.54516, 0.96939E+03
   10600,2026-06-16T11:54:01.821+09:00, 0.247E-01, 224.90518, 0.97835E+03
   10700,2026-06-16T11:54:10.850+09:00, 0.205E-01, 227.17559, 0.98731E+03
   10800,2026-06-16T11:54:20.007+09:00, 0.227E-01, 229.41524, 0.99639E+03
   10900,2026-06-16T11:54:28.989+09:00, 0.205E-01, 231.79920, 0.10053E+04
   11000,2026-06-16T11:54:37.910+09:00, 0.274E-01, 234.12066, 0.10141E+04
   11100,2026-06-16T11:54:46.999+09:00, 0.252E-01, 236.38242, 0.10232E+04
   11200,2026-06-16T11:54:56.018+09:00, 0.248E-01, 238.78493, 0.10321E+04
   11300,2026-06-16T11:55:05.027+09:00, 0.250E-01, 241.10818, 0.10411E+04
   11400,2026-06-16T11:55:13.784+09:00, 0.255E-01, 243.40078, 0.10497E+04
   11500,2026-06-16T11:55:22.825+09:00, 0.241E-01, 245.58905, 0.10587E+04
   11600,2026-06-16T11:55:31.861+09:00, 0.232E-01, 247.96093, 0.10677E+04
   11700,2026-06-16T11:55:41.131+09:00, 0.205E-01, 250.23458, 0.10769E+04
   11800,2026-06-16T11:55:49.863+09:00, 0.255E-01, 252.54921, 0.10855E+04
   11900,2026-06-16T11:55:58.994+09:00, 0.235E-01, 255.02415, 0.10946E+04
   12000,2026-06-16T11:56:07.977+09:00, 0.200E-01, 257.15905, 0.11035E+04
   12100,2026-06-16T11:56:17.183+09:00, 0.231E-01, 259.27115, 0.11127E+04
   12200,2026-06-16T11:56:26.350+09:00, 0.249E-01, 261.68556, 0.11217E+04
   12300,2026-06-16T11:56:35.163+09:00, 0.229E-01, 264.09629, 0.11305E+04
   12400,2026-06-16T11:56:44.314+09:00, 0.212E-01, 266.59035, 0.11395E+04
   12500,2026-06-16T11:56:53.498+09:00, 0.226E-01, 268.64684, 0.11487E+04
   12600,2026-06-16T11:57:02.508+09:00, 0.208E-01, 270.76320, 0.11576E+04
   12700,2026-06-16T11:57:11.382+09:00, 0.271E-01, 272.92393, 0.11664E+04
   12800,2026-06-16T11:57:20.412+09:00, 0.245E-01, 275.16030, 0.11754E+04
   12900,2026-06-16T11:57:29.551+09:00, 0.275E-01, 277.62842, 0.11844E+04
   13000,2026-06-16T11:57:38.764+09:00, 0.243E-01, 280.07303, 0.11936E+04
   13100,2026-06-16T11:57:47.693+09:00, 0.261E-01, 282.54279, 0.12024E+04
   13200,2026-06-16T11:57:56.629+09:00, 0.232E-01, 284.91748, 0.12113E+04
   13300,2026-06-16T11:58:05.709+09:00, 0.279E-01, 287.17659, 0.12203E+04
   13400,2026-06-16T11:58:14.796+09:00, 0.236E-01, 289.56054, 0.12293E+04
   13500,2026-06-16T11:58:24.073+09:00, 0.257E-01, 291.84785, 0.12385E+04
   13600,2026-06-16T11:58:32.900+09:00, 0.236E-01, 294.04314, 0.12473E+04
   13700,2026-06-16T11:58:42.018+09:00, 0.247E-01, 296.51811, 0.12563E+04
   13800,2026-06-16T11:58:51.358+09:00, 0.262E-01, 298.90330, 0.12656E+04
   13842,2026-06-16T11:58:55.198+09:00, 0.227E-01, 300.00000, 0.12694E+04
