m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.5287082E+002, 5.8225331E+002, 1.8994206E-002, 2.0691133E+000, 3.0767460E+003, 5.5898633E-001, 3.6081752E-004, 2.1036523E-003, 1.4884018E-001, 1.0308785E+002, 5.5981542E+001, 1.1456347E+002, 6.3081405E+001, 4.1227331E+001, 4.1151805E+001
 1.5172414E-001, 6.5287082E+002, 5.8225331E+002, 8.5073994E-001, 2.0691133E+000, 3.0767460E+003, 5.5898633E-001, 3.6081752E-004, 2.1036523E-003, 1.4884018E-001, 1.0308785E+002, 5.5981542E+001, 1.1456347E+002, 6.3081405E+001, 4.1227331E+001, 4.1151805E+001
 2.5344828E-001, 5.3619235E+002, 4.3278017E+002, 1.2313501E+000, 2.1476442E+000, 1.2701441E+003, 6.5656469E-001, 2.7087150E-004, 1.5792455E-003, 1.6381095E-001, 1.1632912E+002, 7.0519835E+001, 1.2558413E+002, 6.4836979E+001, 4.3471012E+001, 4.3841579E+001
 3.5517241E-001, 4.2681106E+002, 3.2350364E+002, 1.2313501E+000, 2.1252619E+000, 4.6152798E+002, 7.2485678E-001, 2.0832859E-004, 1.2146055E-003, 1.7405497E-001, 1.2669631E+002, 6.3336490E+001, 1.4066978E+002, 7.0991975E+001, 4.3471012E+001, 4.3841579E+001
 4.5689655E-001, 4.2681106E+002, 3.2350364E+002, 1.2590937E+000, 2.1252619E+000, 4.6152798E+002, 7.2485678E-001, 2.0832859E-004, 1.2146055E-003, 1.7405497E-001, 1.2669631E+002, 6.3336490E+001, 1.4066978E+002, 7.0991975E+001, 4.3471012E+001, 4.3841579E+001
 5.5862069E-001, 3.5103456E+002, 2.6465547E+002, 1.2590937E+000, 2.0171332E+000, 1.6360883E+002, 7.4693701E-001, 1.7580258E-004, 1.0249710E-003, 1.7933845E-001, 1.3514138E+002, 8.5398742E+001, 1.5165421E+002, 1.0545512E+002, 4.5045165E+001, 4.5294778E+001
 6.6034483E-001, 3.5103456E+002, 2.6465547E+002, 1.1915606E+000, 2.0171332E+000, 1.6360883E+002, 7.4693701E-001, 1.7580258E-004, 1.0249710E-003, 1.7933845E-001, 1.3514138E+002, 8.5398742E+001, 1.5165421E+002, 1.0545512E+002, 4.5045165E+001, 4.5294778E+001
 7.6206897E-001, 3.0240455E+002, 2.3391236E+002, 1.1393710E+000, 1.8744805E+000, 6.3634663E+001, 7.4633818E-001, 1.6004487E-004, 9.3309984E-004, 1.8188623E-001, 1.4254888E+002, 1.2161027E+002, 1.5872373E+002, 1.2333466E+002, 4.6281930E+001, 4.6920391E+001
 8.6379310E-001, 2.7321008E+002, 2.1948618E+002, 1.1393710E+000, 1.7297219E+000, 2.8064984E+001, 7.3305821E-001, 1.5394522E-004, 8.9753739E-004, 1.8287115E-001, 1.4966375E+002, 1.4627586E+002, 1.6475698E+002, 1.2716572E+002, 4.6281930E+001, 4.6920391E+001
 9.6551724E-001, 2.7321008E+002, 2.1948618E+002, 1.0608533E+000, 1.7297219E+000, 2.8064984E+001, 7.3305821E-001, 1.5394522E-004, 8.9753739E-004, 1.8287115E-001, 1.4966375E+002, 1.4627586E+002, 1.6475698E+002, 1.2716572E+002, 4.6281930E+001, 4.6920391E+001
