m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 7.0387677E+002, 6.3326044E+002, 1.9748932E-002, 2.0141805E+000, 3.1752930E+003, 5.5632128E-001, 4.0273528E-004, 2.3480429E-003, 1.4204307E-001, 1.1215756E+002, 9.4299195E+001, 1.2549628E+002, 8.6547860E+001, 4.1506292E+001, 3.8801495E+001
 1.5172414E-001, 7.0387677E+002, 6.3326044E+002, 9.7103765E-001, 2.0141805E+000, 3.1752930E+003, 5.5632128E-001, 4.0273528E-004, 2.3480429E-003, 1.4204307E-001, 1.1215756E+002, 9.4299195E+001, 1.2549628E+002, 8.6547860E+001, 4.1506292E+001, 3.8801495E+001
 2.5344828E-001, 5.9613755E+002, 4.7957202E+002, 1.3613119E+000, 2.1820034E+000, 1.3703312E+003, 6.5866694E-001, 3.0915761E-004, 1.8024627E-003, 1.5761995E-001, 1.2408167E+002, 1.0175890E+002, 1.3591164E+002, 9.7645938E+001, 4.3481811E+001, 4.0460534E+001
 3.5517241E-001, 4.8994864E+002, 3.6725877E+002, 1.3613119E+000, 2.2335156E+000, 5.4550121E+002, 7.2287221E-001, 2.4350928E-004, 1.4197173E-003, 1.6838330E-001, 1.3496128E+002, 1.1483853E+002, 1.5056763E+002, 1.2693841E+002, 4.3481811E+001, 4.0460534E+001
 4.5689655E-001, 4.8994864E+002, 3.6725877E+002, 1.4581485E+000, 2.2335156E+000, 5.4550121E+002, 7.2287221E-001, 2.4350928E-004, 1.4197173E-003, 1.6838330E-001, 1.3496128E+002, 1.1483853E+002, 1.5056763E+002, 1.2693841E+002, 4.3481811E+001, 4.0460534E+001
 5.5862069E-001, 4.1274189E+002, 3.0710638E+002, 1.4581485E+000, 2.1825712E+000, 2.2843356E+002, 7.3558320E-001, 2.0844765E-004, 1.2152996E-003, 1.7408695E-001, 1.4246170E+002, 1.2458549E+002, 1.6323020E+002, 1.3723629E+002, 4.4784752E+001, 4.2472505E+001
 6.6034483E-001, 4.1274189E+002, 3.0710638E+002, 1.4778822E+000, 2.1825712E+000, 2.2843356E+002, 7.3558320E-001, 2.0844765E-004, 1.2152996E-003, 1.7408695E-001, 1.4246170E+002, 1.2458549E+002, 1.6323020E+002, 1.3723629E+002, 4.4784752E+001, 4.2472505E+001
 7.6206897E-001, 3.5867835E+002, 2.7230322E+002, 1.4503994E+000, 2.0804311E+000, 1.0142650E+002, 7.3204091E-001, 1.8857430E-004, 1.0994332E-003, 1.7730316E-001, 1.4909763E+002, 1.3473967E+002, 1.7089921E+002, 1.4638145E+002, 4.5770340E+001, 4.3600101E+001
 8.6379310E-001, 3.2151178E+002, 2.5173329E+002, 1.4503994E+000, 1.9528241E+000, 4.8730903E+001, 7.2245492E-001, 1.7749725E-004, 1.0348514E-003, 1.7909056E-001, 1.5519657E+002, 1.3806196E+002, 1.7717604E+002, 1.5049704E+002, 4.5770340E+001, 4.3600101E+001
 9.6551724E-001, 3.2151178E+002, 2.5173329E+002, 1.3801830E+000, 1.9528241E+000, 4.8730903E+001, 7.2245492E-001, 1.7749725E-004, 1.0348514E-003, 1.7909056E-001, 1.5519657E+002, 1.3806196E+002, 1.7717604E+002, 1.5049704E+002, 4.5770340E+001, 4.3600101E+001
 1.0672414E+000, 2.9291764E+002, 2.3765453E+002, 1.3801830E+000, 1.8701707E+000, 2.5061513E+001, 7.1421683E-001, 1.7068085E-004, 9.9511011E-004, 1.8018834E-001, 1.6238178E+002, 1.3603912E+002, 1.8306556E+002, 1.5158086E+002, 4.7101629E+001, 4.4899350E+001
 1.1689655E+000, 2.7491577E+002, 2.3044464E+002, 1.3263011E+000, 1.7870076E+000, 1.3867682E+001, 7.0365070E-001, 1.6799709E-004, 9.7946319E-004, 1.8062081E-001, 1.6238178E+002, 1.3603912E+002, 1.8306556E+002, 1.5158086E+002, 4.7101629E+001, 4.4899350E+001
 1.2706897E+000, 2.7491577E+002, 2.3044464E+002, 1.2895788E+000, 1.7870076E+000, 1.3867682E+001, 7.0365070E-001, 1.6799709E-004, 9.7946319E-004, 1.8062081E-001, 1.7169973E+002, 1.3603672E+002, 1.8717548E+002, 1.5730285E+002, 4.9253557E+001, 4.7727947E+001
 1.3724138E+000, 2.6280521E+002, 2.2643657E+002, 1.2895788E+000, 1.6989446E+000, 8.1004568E+000, 6.9359009E-001, 1.6731198E-004, 9.7546881E-004, 1.8073174E-001, 1.8257550E+002, 1.4170464E+002, 1.9060672E+002, 1.6728715E+002, 4.9253557E+001, 4.7727947E+001
 1.4741379E+000, 2.6280521E+002, 2.2643657E+002, 1.2420532E+000, 1.6989446E+000, 8.1004568E+000, 6.9359009E-001, 1.6731198E-004, 9.7546881E-004, 1.8073174E-001, 1.8257550E+002, 1.4170464E+002, 1.9060672E+002, 1.6728715E+002, 4.9253557E+001, 4.7727947E+001
 1.5758621E+000, 2.5400955E+002, 2.2418551E+002, 1.2420532E+000, 1.6333356E+000, 4.9873399E+000, 6.8502631E-001, 1.6748372E-004, 9.7647011E-004, 1.8070479E-001, 1.9384128E+002, 1.5167047E+002, 1.9453130E+002, 1.7573692E+002, 5.3052210E+001, 5.3115586E+001
 1.6775862E+000, 2.4816287E+002, 2.2370919E+002, 1.2355277E+000, 1.5727570E+000, 3.0841499E+000, 6.7619892E-001, 1.6858142E-004, 9.8286995E-004, 1.8052913E-001, 1.9384128E+002, 1.5167047E+002, 1.9453130E+002, 1.7573692E+002, 5.3052210E+001, 5.3115586E+001
 1.7793103E+000, 2.4816287E+002, 2.2370919E+002, 1.2314655E+000, 1.5727570E+000, 3.0841499E+000, 6.7619892E-001, 1.6858142E-004, 9.8286995E-004, 1.8052913E-001, 2.0370857E+002, 1.7313487E+002, 1.9874787E+002, 1.7957467E+002, 5.3052210E+001, 5.3115586E+001
 1.8810345E+000, 2.4427694E+002, 2.2409305E+002, 1.2314655E+000, 1.5254967E+000, 2.0061543E+000, 6.6807943E-001, 1.7003013E-004, 9.9131624E-004, 1.8029706E-001, 2.1052394E+002, 1.9319841E+002, 2.0285541E+002, 1.8402699E+002, 6.1075202E+001, 5.9710246E+001
 1.9827586E+000, 2.4427694E+002, 2.2409305E+002, 1.2077209E+000, 1.5254967E+000, 2.0061543E+000, 6.6807943E-001, 1.7003013E-004, 9.9131624E-004, 1.8029706E-001, 2.1052394E+002, 1.9319841E+002, 2.0285541E+002, 1.8402699E+002, 6.1075202E+001, 5.9710246E+001
 2.0844828E+000, 2.4121831E+002, 2.2495096E+002, 1.1907922E+000, 1.4734811E+000, 1.2701571E+000, 6.6182529E-001, 1.7133929E-004, 9.9894901E-004, 1.8008729E-001, 2.1440631E+002, 2.0393930E+002, 2.0606336E+002, 1.8262163E+002, 7.0435186E+001, 9.0697474E+001
 2.1862069E+000, 2.3931578E+002, 2.2659652E+002, 1.1907922E+000, 1.4250936E+000, 8.2876787E-001, 6.5659193E-001, 1.7277550E-004, 1.0073225E-003, 1.7985710E-001, 2.1440631E+002, 2.0393930E+002, 2.0606336E+002, 1.8262163E+002, 7.0435186E+001, 9.0697474E+001
 2.2879310E+000, 2.3931578E+002, 2.2659652E+002, 1.1200479E+000, 1.4250936E+000, 8.2876787E-001, 6.5659193E-001, 1.7277550E-004, 1.0073225E-003, 1.7985710E-001, 2.1671046E+002, 2.0908977E+002, 2.0940235E+002, 1.8846007E+002, 7.0435186E+001, 9.0697474E+001
 2.3896552E+000, 2.3900166E+002, 2.2924733E+002, 1.1200479E+000, 1.3620411E+000, 5.2960082E-001, 6.5092964E-001, 1.7475900E-004, 1.0188867E-003, 1.7953913E-001, 2.2001009E+002, 2.0667527E+002, 2.1421319E+002, 1.9377396E+002, 7.5880228E+001, 8.9077388E+001
 2.4913793E+000, 2.3900166E+002, 2.2924733E+002, 1.0048182E+000, 1.3620411E+000, 5.2960082E-001, 6.5092964E-001, 1.7475900E-004, 1.0188867E-003, 1.7953913E-001, 2.2001009E+002, 2.0667527E+002, 2.1421319E+002, 1.9377396E+002, 7.5880228E+001, 8.9077388E+001
 2.5931034E+000, 2.4173479E+002, 2.3492568E+002, 7.6517850E-001, 1.3107346E+000, 3.4198308E-001, 6.4260420E-001, 1.7872376E-004, 1.0420022E-003, 1.7890348E-001, 2.2373620E+002, 2.0695751E+002, 2.2093220E+002, 1.9710435E+002, 7.6739040E+001, 7.9818478E+001
 2.6948276E+000, 2.4954379E+002, 2.4603873E+002, 7.6517850E-001, 1.3768504E+000, 2.3545987E-001, 6.2714736E-001, 1.8704498E-004, 1.0905169E-003, 1.7756934E-001, 2.2373620E+002, 2.0695751E+002, 2.2093220E+002, 1.9710435E+002, 7.6739040E+001, 7.9818478E+001
 2.7965517E+000, 2.4954379E+002, 2.4603873E+002, 4.9292839E-001, 1.3768504E+000, 2.3545987E-001, 6.2714736E-001, 1.8704498E-004, 1.0905169E-003, 1.7756934E-001, 2.2904519E+002, 2.1113054E+002, 2.3112654E+002, 2.1205093E+002, 7.6739040E+001, 7.9818478E+001
 2.8982759E+000, 2.5826762E+002, 2.5867105E+002, 4.9292839E-001, 1.8272119E+000, 1.7214107E-001, 6.0581115E-001, 1.9831398E-004, 1.1562179E-003, 1.7576256E-001, 2.3385798E+002, 2.1482217E+002, 2.4420514E+002, 2.2263650E+002, 7.9320560E+001, 8.3882105E+001
 2.9983333E+000, 2.5826762E+002, 2.5867105E+002, 0.0000000E+000, 1.8272119E+000, 1.7214107E-001, 6.0581115E-001, 1.9831398E-004, 1.1562179E-003, 1.7576256E-001, 2.3385798E+002, 2.1482217E+002, 2.4420514E+002, 2.2263650E+002, 7.9320560E+001, 8.3882105E+001
