,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:53:41.581+09:00, 0.154E+00,   0.15364, 0.23293E+01
       2,2026-06-16T11:53:41.653+09:00, 0.154E+00,   0.30728, 0.24007E+01
       3,2026-06-16T11:53:41.741+09:00, 0.154E+00,   0.46091, 0.24888E+01
       4,2026-06-16T11:53:41.811+09:00, 0.154E+00,   0.61455, 0.25582E+01
       5,2026-06-16T11:53:41.879+09:00, 0.154E+00,   0.76819, 0.26248E+01
       6,2026-06-16T11:53:41.971+09:00, 0.154E+00,   0.92183, 0.27161E+01
       7,2026-06-16T11:53:42.039+09:00, 0.154E+00,   1.07546, 0.27834E+01
       8,2026-06-16T11:53:42.128+09:00, 0.135E+00,   1.21086, 0.28716E+01
       9,2026-06-16T11:53:42.216+09:00, 0.135E+00,   1.34626, 0.29589E+01
      10,2026-06-16T11:53:42.286+09:00, 0.135E+00,   1.48166, 0.30284E+01
      20,2026-06-16T11:53:43.104+09:00, 0.122E+00,   2.71137, 0.38290E+01
      30,2026-06-16T11:53:43.915+09:00, 0.872E-01,   3.83428, 0.46352E+01
      40,2026-06-16T11:53:44.781+09:00, 0.523E-01,   4.47255, 0.54823E+01
      50,2026-06-16T11:53:45.527+09:00, 0.523E-01,   4.99518, 0.62239E+01
      60,2026-06-16T11:53:46.323+09:00, 0.462E-01,   5.49341, 0.70155E+01
      70,2026-06-16T11:53:47.092+09:00, 0.405E-01,   5.90936, 0.77792E+01
      80,2026-06-16T11:53:47.902+09:00, 0.405E-01,   6.31388, 0.85673E+01
      90,2026-06-16T11:53:48.670+09:00, 0.445E-01,   6.75481, 0.93308E+01
     100,2026-06-16T11:53:49.423+09:00, 0.445E-01,   7.19979, 0.10079E+02
     200,2026-06-16T11:53:57.186+09:00, 0.312E-01,  11.09435, 0.17761E+02
     300,2026-06-16T11:54:04.903+09:00, 0.235E-01,  13.88375, 0.25416E+02
     400,2026-06-16T11:54:12.685+09:00, 0.243E-01,  16.25126, 0.33114E+02
     500,2026-06-16T11:54:20.472+09:00, 0.203E-01,  18.39211, 0.40840E+02
     600,2026-06-16T11:54:28.258+09:00, 0.211E-01,  20.29312, 0.48564E+02
     700,2026-06-16T11:54:36.045+09:00, 0.190E-01,  22.13351, 0.56293E+02
     800,2026-06-16T11:54:43.815+09:00, 0.158E-01,  23.82906, 0.64017E+02
     900,2026-06-16T11:54:51.625+09:00, 0.162E-01,  25.50517, 0.71769E+02
    1000,2026-06-16T11:54:59.451+09:00, 0.148E-01,  27.13192, 0.79537E+02
    1100,2026-06-16T11:55:07.300+09:00, 0.168E-01,  28.82546, 0.87325E+02
    1200,2026-06-16T11:55:15.145+09:00, 0.168E-01,  30.37907, 0.95107E+02
    1300,2026-06-16T11:55:22.978+09:00, 0.154E-01,  31.89732, 0.10290E+03
    1400,2026-06-16T11:55:30.794+09:00, 0.156E-01,  33.50762, 0.11065E+03
    1500,2026-06-16T11:55:38.634+09:00, 0.139E-01,  35.17113, 0.11844E+03
    1600,2026-06-16T11:55:46.484+09:00, 0.192E-01,  36.89838, 0.12623E+03
    1700,2026-06-16T11:55:54.401+09:00, 0.196E-01,  38.74106, 0.13408E+03
    1800,2026-06-16T11:56:02.328+09:00, 0.175E-01,  40.67895, 0.14195E+03
    1900,2026-06-16T11:56:10.157+09:00, 0.174E-01,  42.54629, 0.14972E+03
    2000,2026-06-16T11:56:17.956+09:00, 0.210E-01,  44.36648, 0.15747E+03
    2100,2026-06-16T11:56:25.812+09:00, 0.200E-01,  46.43572, 0.16527E+03
    2200,2026-06-16T11:56:33.619+09:00, 0.211E-01,  48.39689, 0.17302E+03
    2300,2026-06-16T11:56:41.435+09:00, 0.192E-01,  50.26133, 0.18078E+03
    2400,2026-06-16T11:56:49.302+09:00, 0.185E-01,  52.24057, 0.18859E+03
