m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.6547149E+002, 5.9759130E+002, 1.9197812E-002, 2.0581426E+000, 3.1074188E+003, 5.6194922E-001, 3.7363624E-004, 2.1783885E-003, 1.4675780E-001, 1.0280928E+002, 1.1255237E+002, 1.0438887E+002, 1.2873465E+002, 4.2078314E+001, 4.5196539E+001
 1.5172414E-001, 6.6547149E+002, 5.9759130E+002, 8.6723076E-001, 2.0581426E+000, 3.1074188E+003, 5.6194922E-001, 3.7363624E-004, 2.1783885E-003, 1.4675780E-001, 1.0280928E+002, 1.1255237E+002, 1.0438887E+002, 1.2873465E+002, 4.2078314E+001, 4.5196539E+001
 2.5344828E-001, 5.5061394E+002, 4.4738645E+002, 1.2099564E+000, 2.1367036E+000, 1.2829139E+003, 6.6362803E-001, 2.8260087E-004, 1.6476306E-003, 1.6191280E-001, 1.1800726E+002, 1.4390956E+002, 1.1308664E+002, 1.5400470E+002, 4.4077724E+001, 4.4804180E+001
 3.5517241E-001, 4.4411819E+002, 3.4115390E+002, 1.2099564E+000, 2.1426069E+000, 4.9519579E+002, 7.2178313E-001, 2.1958459E-004, 1.2802306E-003, 1.7223660E-001, 1.3092034E+002, 1.5770220E+002, 1.2590234E+002, 1.8416971E+002, 4.4077724E+001, 4.4804180E+001
 4.5689655E-001, 4.4411819E+002, 3.4115390E+002, 1.2588401E+000, 2.1426069E+000, 4.9519579E+002, 7.2178313E-001, 2.1958459E-004, 1.2802306E-003, 1.7223660E-001, 1.3092034E+002, 1.5770220E+002, 1.2590234E+002, 1.8416971E+002, 4.4077724E+001, 4.4804180E+001
 5.5862069E-001, 3.6407692E+002, 2.7608882E+002, 1.2588401E+000, 2.0209232E+000, 1.8588373E+002, 7.4680596E-001, 1.8240715E-004, 1.0634772E-003, 1.7827436E-001, 1.4074011E+002, 1.6722830E+002, 1.4017471E+002, 2.0134296E+002, 4.5479021E+001, 4.4642324E+001
 6.6034483E-001, 3.6407692E+002, 2.7608882E+002, 1.1878882E+000, 2.0209232E+000, 1.8588373E+002, 7.4680596E-001, 1.8240715E-004, 1.0634772E-003, 1.7827436E-001, 1.4074011E+002, 1.6722830E+002, 1.4017471E+002, 2.0134296E+002, 4.5479021E+001, 4.4642324E+001
 7.6206897E-001, 3.1065591E+002, 2.4052106E+002, 1.1110272E+000, 1.8915440E+000, 7.4081282E+001, 7.5184560E-001, 1.6370630E-004, 9.5444681E-004, 1.8129709E-001, 1.4859238E+002, 1.7539724E+002, 1.5162607E+002, 2.1005493E+002, 4.6803770E+001, 4.5437423E+001
 8.6379310E-001, 2.7674066E+002, 2.2176246E+002, 1.1110272E+000, 1.7671860E+000, 3.3197305E+001, 7.4254168E-001, 1.5491644E-004, 9.0319986E-004, 1.8271464E-001, 1.5586982E+002, 1.7499398E+002, 1.6245457E+002, 2.2042042E+002, 4.6803770E+001, 4.5437423E+001
