,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:53:41.674+09:00, 0.154E+00,   0.15364, 0.22565E+01
       2,2026-06-16T11:53:41.739+09:00, 0.154E+00,   0.30728, 0.23211E+01
       3,2026-06-16T11:53:41.822+09:00, 0.154E+00,   0.46091, 0.24028E+01
       4,2026-06-16T11:53:41.887+09:00, 0.154E+00,   0.61455, 0.24672E+01
       5,2026-06-16T11:53:41.950+09:00, 0.154E+00,   0.76819, 0.25299E+01
       6,2026-06-16T11:53:42.036+09:00, 0.154E+00,   0.92183, 0.26155E+01
       7,2026-06-16T11:53:42.099+09:00, 0.154E+00,   1.07546, 0.26776E+01
       8,2026-06-16T11:53:42.181+09:00, 0.135E+00,   1.21086, 0.27582E+01
       9,2026-06-16T11:53:42.261+09:00, 0.135E+00,   1.34626, 0.28381E+01
      10,2026-06-16T11:53:42.331+09:00, 0.135E+00,   1.48166, 0.29075E+01
      20,2026-06-16T11:53:43.089+09:00, 0.122E+00,   2.71137, 0.36468E+01
      30,2026-06-16T11:53:43.843+09:00, 0.872E-01,   3.83428, 0.43956E+01
      40,2026-06-16T11:53:44.636+09:00, 0.523E-01,   4.47255, 0.51710E+01
      50,2026-06-16T11:53:45.333+09:00, 0.523E-01,   4.99518, 0.58633E+01
      60,2026-06-16T11:53:46.073+09:00, 0.462E-01,   5.49341, 0.65972E+01
      70,2026-06-16T11:53:46.806+09:00, 0.405E-01,   5.90936, 0.73245E+01
      80,2026-06-16T11:53:47.553+09:00, 0.405E-01,   6.31388, 0.80497E+01
      90,2026-06-16T11:53:48.265+09:00, 0.445E-01,   6.75481, 0.87572E+01
     100,2026-06-16T11:53:48.955+09:00, 0.445E-01,   7.19979, 0.94424E+01
     200,2026-06-16T11:53:56.188+09:00, 0.312E-01,  11.09435, 0.16588E+02
     300,2026-06-16T11:54:03.392+09:00, 0.235E-01,  13.88375, 0.23717E+02
     400,2026-06-16T11:54:10.650+09:00, 0.243E-01,  16.25126, 0.30883E+02
     500,2026-06-16T11:54:17.913+09:00, 0.203E-01,  18.39208, 0.38078E+02
     600,2026-06-16T11:54:25.194+09:00, 0.211E-01,  20.29323, 0.45287E+02
     700,2026-06-16T11:54:32.427+09:00, 0.196E-01,  22.12871, 0.52453E+02
     800,2026-06-16T11:54:39.708+09:00, 0.159E-01,  23.83245, 0.59681E+02
     900,2026-06-16T11:54:47.028+09:00, 0.164E-01,  25.52360, 0.66932E+02
    1000,2026-06-16T11:54:54.336+09:00, 0.155E-01,  27.18617, 0.74169E+02
    1100,2026-06-16T11:55:01.705+09:00, 0.157E-01,  28.74500, 0.81464E+02
    1200,2026-06-16T11:55:09.055+09:00, 0.149E-01,  30.28355, 0.88745E+02
    1300,2026-06-16T11:55:16.336+09:00, 0.153E-01,  31.78167, 0.95971E+02
    1400,2026-06-16T11:55:23.666+09:00, 0.147E-01,  33.35177, 0.10323E+03
    1500,2026-06-16T11:55:31.009+09:00, 0.163E-01,  35.02383, 0.11050E+03
    1600,2026-06-16T11:55:38.350+09:00, 0.186E-01,  36.70677, 0.11778E+03
    1700,2026-06-16T11:55:45.689+09:00, 0.186E-01,  38.52526, 0.12505E+03
    1800,2026-06-16T11:55:53.058+09:00, 0.202E-01,  40.44795, 0.13235E+03
    1900,2026-06-16T11:56:00.407+09:00, 0.211E-01,  42.44046, 0.13963E+03
    2000,2026-06-16T11:56:07.725+09:00, 0.191E-01,  44.40003, 0.14689E+03
    2100,2026-06-16T11:56:15.057+09:00, 0.165E-01,  46.27451, 0.15415E+03
    2200,2026-06-16T11:56:22.290+09:00, 0.215E-01,  48.29781, 0.16132E+03
    2300,2026-06-16T11:56:29.506+09:00, 0.200E-01,  50.30802, 0.16848E+03
    2400,2026-06-16T11:56:36.788+09:00, 0.210E-01,  52.44317, 0.17569E+03
    2500,2026-06-16T11:56:44.146+09:00, 0.196E-01,  54.39484, 0.18298E+03
    2600,2026-06-16T11:56:51.370+09:00, 0.193E-01,  56.42197, 0.19014E+03
    2700,2026-06-16T11:56:58.631+09:00, 0.185E-01,  58.39225, 0.19735E+03
    2800,2026-06-16T11:57:05.931+09:00, 0.176E-01,  60.38980, 0.20458E+03
    2900,2026-06-16T11:57:13.289+09:00, 0.184E-01,  62.37870, 0.21188E+03
    3000,2026-06-16T11:57:20.632+09:00, 0.209E-01,  64.31630, 0.21916E+03
    3100,2026-06-16T11:57:27.907+09:00, 0.191E-01,  66.41657, 0.22638E+03
    3200,2026-06-16T11:57:35.138+09:00, 0.228E-01,  68.60905, 0.23355E+03
    3300,2026-06-16T11:57:42.467+09:00, 0.198E-01,  70.67515, 0.24082E+03
    3400,2026-06-16T11:57:49.747+09:00, 0.202E-01,  72.68009, 0.24804E+03
    3500,2026-06-16T11:57:57.069+09:00, 0.201E-01,  74.84020, 0.25530E+03
    3600,2026-06-16T11:58:04.313+09:00, 0.193E-01,  76.76675, 0.26249E+03
    3700,2026-06-16T11:58:11.565+09:00, 0.228E-01,  78.79695, 0.26968E+03
    3800,2026-06-16T11:58:18.814+09:00, 0.265E-01,  80.97221, 0.27688E+03
    3900,2026-06-16T11:58:26.162+09:00, 0.217E-01,  83.09004, 0.28417E+03
    4000,2026-06-16T11:58:33.486+09:00, 0.215E-01,  85.09347, 0.29143E+03
    4100,2026-06-16T11:58:40.791+09:00, 0.237E-01,  87.09701, 0.29868E+03
    4200,2026-06-16T11:58:48.081+09:00, 0.214E-01,  89.22469, 0.30592E+03
    4300,2026-06-16T11:58:55.271+09:00, 0.204E-01,  91.37611, 0.31305E+03
    4400,2026-06-16T11:59:02.522+09:00, 0.178E-01,  93.46716, 0.32025E+03
    4500,2026-06-16T11:59:09.785+09:00, 0.182E-01,  95.31224, 0.32746E+03
    4600,2026-06-16T11:59:17.006+09:00, 0.219E-01,  97.34757, 0.33462E+03
    4700,2026-06-16T11:59:24.275+09:00, 0.225E-01,  99.40288, 0.34184E+03
    4800,2026-06-16T11:59:31.616+09:00, 0.202E-01, 101.42624, 0.34912E+03
    4900,2026-06-16T11:59:38.875+09:00, 0.227E-01, 103.58902, 0.35632E+03
    5000,2026-06-16T11:59:46.170+09:00, 0.218E-01, 105.73434, 0.36357E+03
    5100,2026-06-16T11:59:53.516+09:00, 0.220E-01, 107.71891, 0.37086E+03
    5200,2026-06-16T12:00:00.816+09:00, 0.224E-01, 109.76644, 0.37810E+03
    5300,2026-06-16T12:00:08.046+09:00, 0.215E-01, 111.75232, 0.38528E+03
    5400,2026-06-16T12:00:15.380+09:00, 0.238E-01, 113.94261, 0.39255E+03
    5500,2026-06-16T12:00:22.697+09:00, 0.194E-01, 116.07357, 0.39980E+03
    5600,2026-06-16T12:00:29.974+09:00, 0.203E-01, 118.19633, 0.40703E+03
    5700,2026-06-16T12:00:37.294+09:00, 0.239E-01, 120.31233, 0.41429E+03
    5800,2026-06-16T12:00:44.594+09:00, 0.105E-01, 121.99788, 0.42154E+03
    5900,2026-06-16T12:00:51.781+09:00, 0.208E-01, 123.79026, 0.42867E+03
    6000,2026-06-16T12:00:59.079+09:00, 0.166E-01, 125.94572, 0.43592E+03
    6100,2026-06-16T12:01:06.320+09:00, 0.212E-01, 127.90497, 0.44310E+03
    6200,2026-06-16T12:01:13.651+09:00, 0.212E-01, 130.00886, 0.45037E+03
    6300,2026-06-16T12:01:20.919+09:00, 0.210E-01, 132.19805, 0.45759E+03
    6400,2026-06-16T12:01:28.116+09:00, 0.218E-01, 134.29928, 0.46473E+03
    6500,2026-06-16T12:01:35.474+09:00, 0.243E-01, 136.46681, 0.47203E+03
    6600,2026-06-16T12:01:42.760+09:00, 0.138E-01, 138.53674, 0.47926E+03
    6700,2026-06-16T12:01:49.944+09:00, 0.192E-01, 140.31385, 0.48639E+03
    6800,2026-06-16T12:01:57.121+09:00, 0.214E-01, 142.19922, 0.49351E+03
    6900,2026-06-16T12:02:04.380+09:00, 0.194E-01, 144.10200, 0.50072E+03
    7000,2026-06-16T12:02:11.644+09:00, 0.233E-01, 146.11999, 0.50792E+03
    7100,2026-06-16T12:02:18.911+09:00, 0.230E-01, 148.36759, 0.51514E+03
    7200,2026-06-16T12:02:26.174+09:00, 0.216E-01, 150.41418, 0.52235E+03
    7300,2026-06-16T12:02:33.400+09:00, 0.220E-01, 152.64746, 0.52952E+03
    7400,2026-06-16T12:02:40.638+09:00, 0.236E-01, 154.93006, 0.53670E+03
    7500,2026-06-16T12:02:47.860+09:00, 0.199E-01, 157.08261, 0.54387E+03
    7600,2026-06-16T12:02:55.081+09:00, 0.210E-01, 159.07573, 0.55104E+03
    7700,2026-06-16T12:03:02.317+09:00, 0.185E-01, 161.18982, 0.55821E+03
    7800,2026-06-16T12:03:09.637+09:00, 0.239E-01, 163.38731, 0.56548E+03
    7900,2026-06-16T12:03:16.901+09:00, 0.237E-01, 165.77713, 0.57269E+03
    8000,2026-06-16T12:03:24.189+09:00, 0.212E-01, 167.99676, 0.57992E+03
    8100,2026-06-16T12:03:31.566+09:00, 0.228E-01, 170.03460, 0.58724E+03
    8200,2026-06-16T12:03:38.816+09:00, 0.228E-01, 172.30963, 0.59443E+03
    8300,2026-06-16T12:03:46.019+09:00, 0.205E-01, 174.34425, 0.60158E+03
    8400,2026-06-16T12:03:53.335+09:00, 0.205E-01, 176.41824, 0.60884E+03
    8500,2026-06-16T12:04:00.545+09:00, 0.209E-01, 178.55538, 0.61600E+03
    8600,2026-06-16T12:04:07.775+09:00, 0.201E-01, 180.75506, 0.62318E+03
    8700,2026-06-16T12:04:15.071+09:00, 0.193E-01, 183.00120, 0.63042E+03
    8800,2026-06-16T12:04:22.340+09:00, 0.147E-01, 184.98173, 0.63763E+03
    8900,2026-06-16T12:04:29.491+09:00, 0.250E-01, 186.72104, 0.64473E+03
    9000,2026-06-16T12:04:36.787+09:00, 0.245E-01, 188.86832, 0.65197E+03
    9100,2026-06-16T12:04:44.081+09:00, 0.250E-01, 191.03812, 0.65921E+03
    9200,2026-06-16T12:04:51.398+09:00, 0.232E-01, 193.32792, 0.66647E+03
    9300,2026-06-16T12:04:58.640+09:00, 0.221E-01, 195.57440, 0.67366E+03
    9400,2026-06-16T12:05:05.891+09:00, 0.252E-01, 197.75633, 0.68085E+03
    9500,2026-06-16T12:05:13.138+09:00, 0.212E-01, 200.02565, 0.68804E+03
    9600,2026-06-16T12:05:20.357+09:00, 0.238E-01, 202.33521, 0.69520E+03
    9700,2026-06-16T12:05:27.633+09:00, 0.193E-01, 204.42309, 0.70242E+03
    9800,2026-06-16T12:05:34.939+09:00, 0.229E-01, 206.52658, 0.70968E+03
    9900,2026-06-16T12:05:42.161+09:00, 0.253E-01, 208.64074, 0.71684E+03
   10000,2026-06-16T12:05:49.400+09:00, 0.221E-01, 210.90783, 0.72402E+03
   10100,2026-06-16T12:05:56.626+09:00, 0.245E-01, 213.07975, 0.73119E+03
   10200,2026-06-16T12:06:03.919+09:00, 0.219E-01, 215.25145, 0.73843E+03
   10300,2026-06-16T12:06:11.178+09:00, 0.231E-01, 217.53855, 0.74564E+03
   10400,2026-06-16T12:06:18.374+09:00, 0.202E-01, 219.63577, 0.75278E+03
   10500,2026-06-16T12:06:25.653+09:00, 0.197E-01, 221.78833, 0.76000E+03
   10600,2026-06-16T12:06:32.887+09:00, 0.219E-01, 223.96355, 0.76718E+03
   10700,2026-06-16T12:06:40.171+09:00, 0.210E-01, 226.38490, 0.77440E+03
   10800,2026-06-16T12:06:47.377+09:00, 0.239E-01, 228.54813, 0.78155E+03
