m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 6.5911694E+002, 5.9943082E+002, 2.0597186E-002, 2.1074231E+000, 2.9738522E+003, 6.1074405E-001, 3.6623118E-004, 2.1352153E-003, 1.4788675E-001, 1.1785295E+002, 5.8302409E+001, 1.3737452E+002, 1.7814771E+002, 4.2043098E+001, 4.2694274E+001
 1.5172414E-001, 6.5911694E+002, 5.9943082E+002, 8.1991526E-001, 2.1074231E+000, 2.9738522E+003, 6.1074405E-001, 3.6623118E-004, 2.1352153E-003, 1.4788675E-001, 1.1785295E+002, 5.8302409E+001, 1.3737452E+002, 1.7814771E+002, 4.2043098E+001, 4.2694274E+001
 2.5344828E-001, 5.3467664E+002, 4.3672492E+002, 1.1577811E+000, 2.1359466E+000, 1.2190154E+003, 7.2366350E-001, 2.6958199E-004, 1.5717274E-003, 1.6400541E-001, 1.3021503E+002, 8.1020492E+001, 1.4342646E+002, 1.4356209E+002, 4.4068269E+001, 4.4167884E+001
 3.5517241E-001, 4.3494436E+002, 3.3554652E+002, 1.1577811E+000, 2.0673396E+000, 4.3064375E+002, 7.7478210E-001, 2.1359475E-004, 1.2453084E-003, 1.7320637E-001, 1.4169117E+002, 1.0041327E+002, 1.5305247E+002, 1.2973399E+002, 4.4068269E+001, 4.4167884E+001
 4.5689655E-001, 4.3494436E+002, 3.3554652E+002, 1.2543310E+000, 2.0673396E+000, 4.3064375E+002, 7.7478210E-001, 2.1359475E-004, 1.2453084E-003, 1.7320637E-001, 1.4169117E+002, 1.0041327E+002, 1.5305247E+002, 1.2973399E+002, 4.4068269E+001, 4.4167884E+001
 5.5862069E-001, 3.6661065E+002, 2.8220434E+002, 1.2543310E+000, 2.0234083E+000, 1.6239551E+002, 7.8526632E-001, 1.8619138E-004, 1.0855402E-003, 1.7766927E-001, 1.5112488E+002, 1.2480520E+002, 1.6368010E+002, 1.3322154E+002, 4.5228434E+001, 4.5631460E+001
 6.6034483E-001, 3.6661065E+002, 2.8220434E+002, 1.2801708E+000, 2.0234083E+000, 1.6239551E+002, 7.8526632E-001, 1.8619138E-004, 1.0855402E-003, 1.7766927E-001, 1.5112488E+002, 1.2480520E+002, 1.6368010E+002, 1.3322154E+002, 4.5228434E+001, 4.5631460E+001
 7.6206897E-001, 3.2428161E+002, 2.5512411E+002, 1.2523628E+000, 1.9050827E+000, 6.8365023E+001, 7.7462341E-001, 1.7355822E-004, 1.0118859E-003, 1.7971707E-001, 1.5703290E+002, 1.3738325E+002, 1.7373845E+002, 1.4852386E+002, 4.6197309E+001, 4.6236279E+001
 8.6379310E-001, 2.9600317E+002, 2.4048294E+002, 1.2523628E+000, 1.8067864E+000, 3.2422458E+001, 7.5784599E-001, 1.6831740E-004, 9.8133063E-004, 1.8056547E-001, 1.6304493E+002, 1.4726796E+002, 1.8032362E+002, 1.6157644E+002, 4.6197309E+001, 4.6236279E+001
