m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 7.0059866E+002, 7.4912039E+002, 2.2403447E-002, 1.8653644E+000, 2.7977254E+003, 5.3371284E-001, 4.7846083E-004, 2.7895409E-003, 1.2977201E-001, 1.6889915E+002, 1.5893093E+002, 3.8369986E+002, 2.4166383E+002, 4.5122709E+001, 4.3904210E+001
 1.5172414E-001, 7.0059866E+002, 7.4912039E+002, 2.1755725E+000, 1.8653644E+000, 2.7977254E+003, 5.3371284E-001, 4.7846083E-004, 2.7895409E-003, 1.2977201E-001, 1.6889915E+002, 1.5893093E+002, 3.8369986E+002, 2.4166383E+002, 4.5122709E+001, 4.3904210E+001
 2.5344828E-001, 5.9904172E+002, 6.8117330E+002, 3.6497029E+000, 3.6818666E+000, 3.3125849E+003, 5.6562803E-001, 4.2146163E-004, 2.4572220E-003, 1.3946849E-001, 1.9030198E+002, 1.6188129E+002, 2.8695224E+002, 2.1165222E+002, 4.5594791E+001, 4.5483494E+001
 3.5517241E-001, 4.8035709E+002, 6.5539995E+002, 3.6497029E+000, 3.9905113E+000, 1.2572715E+003, 5.5903168E-001, 4.1492295E-004, 2.4190999E-003, 1.4079316E-001, 1.6976817E+002, 1.5827642E+002, 2.6153547E+002, 2.1917797E+002, 4.5594791E+001, 4.5483494E+001
 4.5689655E-001, 4.8035709E+002, 6.5539995E+002, 4.1228969E+000, 3.9905113E+000, 1.2572715E+003, 5.5903168E-001, 4.1492295E-004, 2.4190999E-003, 1.4079316E-001, 1.6976817E+002, 1.5827642E+002, 2.6153547E+002, 2.1917797E+002, 4.5594791E+001, 4.5483494E+001
 5.5862069E-001, 4.0520934E+002, 5.5117080E+002, 4.1228969E+000, 4.6931022E+000, 6.5132087E+002, 5.6344018E-001, 3.6547042E-004, 2.1307798E-003, 1.4885769E-001, 1.5661704E+002, 1.5980019E+002, 2.5430214E+002, 2.3319197E+002, 4.5503744E+001, 4.5685698E+001
 6.6034483E-001, 4.0520934E+002, 5.5117080E+002, 4.9514187E+000, 4.6931022E+000, 6.5132087E+002, 5.6344018E-001, 3.6547042E-004, 2.1307798E-003, 1.4885769E-001, 1.5661704E+002, 1.5980019E+002, 2.5430214E+002, 2.3319197E+002, 4.5503744E+001, 4.5685698E+001
 7.6206897E-001, 3.6181349E+002, 5.7294470E+002, 4.4860331E+000, 4.7478352E+000, 4.1219967E+002, 5.4253538E-001, 3.8958289E-004, 2.2713613E-003, 1.4502515E-001, 1.5677678E+002, 1.6295266E+002, 2.3214360E+002, 2.1338207E+002, 4.6959547E+001, 4.6768253E+001
 8.6379310E-001, 3.2461801E+002, 5.0736127E+002, 4.4860331E+000, 3.8886828E+000, 1.6510238E+002, 5.6051499E-001, 3.4786128E-004, 2.0281144E-003, 1.5174248E-001, 1.6660176E+002, 1.7456635E+002, 2.0326801E+002, 1.8225154E+002, 4.6959547E+001, 4.6768253E+001
 9.6551724E-001, 3.2461801E+002, 5.0736127E+002, 2.8098503E+000, 3.8886828E+000, 1.6510238E+002, 5.6051499E-001, 3.4786128E-004, 2.0281144E-003, 1.5174248E-001, 1.6660176E+002, 1.7456635E+002, 2.0326801E+002, 1.8225154E+002, 4.6959547E+001, 4.6768253E+001
 1.0672414E+000, 3.0125621E+002, 2.9192396E+002, 2.8098503E+000, 2.5850639E+000, 3.6958964E+001, 6.8678974E-001, 2.0554211E-004, 1.1983596E-003, 1.7459363E-001, 1.8692399E+002, 1.9687100E+002, 1.9432225E+002, 1.8646803E+002, 4.8832699E+001, 4.8210171E+001
 1.1689655E+000, 2.8344597E+002, 1.9017049E+002, 1.6462255E+000, 2.1355318E+000, 1.1236695E+000, 8.0016313E-001, 1.4465300E-004, 8.4336157E-004, 1.8436595E-001, 1.8692399E+002, 1.9687100E+002, 1.9432225E+002, 1.8646803E+002, 4.8832699E+001, 4.8210171E+001
 1.2706897E+000, 2.8344597E+002, 1.9017049E+002, 1.5880592E+000, 2.1355318E+000, 1.1236695E+000, 8.0016313E-001, 1.4465300E-004, 8.4336157E-004, 1.8436595E-001, 2.1391185E+002, 2.1030937E+002, 2.1206117E+002, 2.0135378E+002, 4.9715281E+001, 4.9168160E+001
 1.3724138E+000, 2.7433511E+002, 1.9717695E+002, 1.5880592E+000, 2.1673469E+000, 3.2763065E-001, 7.8065571E-001, 1.5051161E-004, 8.7751863E-004, 1.8342680E-001, 2.3002679E+002, 2.1709224E+002, 2.1539836E+002, 2.0955512E+002, 4.9715281E+001, 4.9168160E+001
 1.4741379E+000, 2.7433511E+002, 1.9717695E+002, 1.9159003E+000, 2.1673469E+000, 3.2763065E-001, 7.8065571E-001, 1.5051161E-004, 8.7751863E-004, 1.8342680E-001, 2.3002679E+002, 2.1709224E+002, 2.1539836E+002, 2.0955512E+002, 4.9715281E+001, 4.9168160E+001
 1.5758621E+000, 2.6677667E+002, 2.2256004E+002, 1.9159003E+000, 2.4748774E+000, 4.5148790E-001, 7.4130319E-001, 1.6705778E-004, 9.7398673E-004, 1.8077388E-001, 2.2379271E+002, 2.1615455E+002, 2.0806451E+002, 2.1073694E+002, 5.0441873E+001, 5.0202862E+001
 1.6775862E+000, 2.6344126E+002, 2.4954121E+002, 2.5635314E+000, 2.8104983E+000, 6.8865270E-001, 7.0858248E-001, 1.8428705E-004, 1.0744375E-003, 1.7801139E-001, 2.2379271E+002, 2.1615455E+002, 2.0806451E+002, 2.1073694E+002, 5.0441873E+001, 5.0202862E+001
 1.7793103E+000, 2.6344126E+002, 2.4954121E+002, 2.5366193E+000, 2.8104983E+000, 6.8865270E-001, 7.0858248E-001, 1.8428705E-004, 1.0744375E-003, 1.7801139E-001, 2.0579025E+002, 2.1170767E+002, 2.0754629E+002, 2.1119933E+002, 5.0441873E+001, 5.0202862E+001
 1.8810345E+000, 2.6049380E+002, 2.6722966E+002, 2.5366193E+000, 2.7453770E+000, 8.7508015E-001, 6.8391350E-001, 1.9739812E-004, 1.1508782E-003, 1.7590920E-001, 2.0495716E+002, 2.3076207E+002, 2.0593062E+002, 2.1168085E+002, 5.6756142E+001, 5.5050157E+001
 1.9827586E+000, 2.6049380E+002, 2.6722966E+002, 2.6437684E+000, 2.7453770E+000, 8.7508015E-001, 6.8391350E-001, 1.9739812E-004, 1.1508782E-003, 1.7590920E-001, 2.0495716E+002, 2.3076207E+002, 2.0593062E+002, 2.1168085E+002, 5.6756142E+001, 5.5050157E+001
 2.0844828E+000, 2.5803570E+002, 2.7559461E+002, 3.5210197E+000, 3.1139848E+000, 9.9917103E-001, 6.6763317E-001, 2.0534433E-004, 1.1972065E-003, 1.7463518E-001, 2.3229925E+002, 2.4478183E+002, 2.0128412E+002, 2.1319691E+002, 8.2914462E+001, 6.9038621E+001
 2.1862069E+000, 2.5779391E+002, 2.8285781E+002, 3.5210197E+000, 3.3594588E+000, 1.0094994E+000, 6.5149696E-001, 2.1321809E-004, 1.2431124E-003, 1.7337281E-001, 2.3229925E+002, 2.4478183E+002, 2.0128412E+002, 2.1319691E+002, 8.2914462E+001, 6.9038621E+001
 2.2879310E+000, 2.5779391E+002, 2.8285781E+002, 3.0697483E+000, 3.3594588E+000, 1.0094994E+000, 6.5149696E-001, 2.1321809E-004, 1.2431124E-003, 1.7337281E-001, 2.4168565E+002, 2.4797410E+002, 2.0404751E+002, 2.1868170E+002, 8.2914462E+001, 6.9038621E+001
