m,C,C,m/s,m/s,kW/m3,m,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C
Height,line_thermocouple,line_temperature,line_w_velocity,line_velocity,line_hrrpuv,line_visibility,line_volume_fraction_carbon_monoxide,line_volume_fraction_soot,line_volume_fraction_oxygen,gridconv_T_center,gridconv_T_center_avg,gridconv_T_center_05m,gridconv_T_center_05m_avg,gridconv_T_edge,gridconv_T_edge_avg
 5.0000000E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9065004E+001, 0.0000000E+000, 9.9081227E+001, 0.0000000E+000, 3.9002201E+001
 1.5172414E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9065004E+001, 0.0000000E+000, 9.9081227E+001, 0.0000000E+000, 3.9002201E+001
 2.5344828E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1206494E+002, 0.0000000E+000, 1.0841093E+002, 0.0000000E+000, 4.0758673E+001
 3.5517241E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4191802E+002, 0.0000000E+000, 1.3960742E+002, 0.0000000E+000, 4.0758673E+001
 4.5689655E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4191802E+002, 0.0000000E+000, 1.3960742E+002, 0.0000000E+000, 4.0758673E+001
 5.5862069E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6334281E+002, 0.0000000E+000, 1.6317790E+002, 0.0000000E+000, 4.1297629E+001
 6.6034483E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6334281E+002, 0.0000000E+000, 1.6317790E+002, 0.0000000E+000, 4.1297629E+001
 7.6206897E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7182993E+002, 0.0000000E+000, 1.6949028E+002, 0.0000000E+000, 4.3631714E+001
 8.6379310E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7825728E+002, 0.0000000E+000, 1.7430859E+002, 0.0000000E+000, 4.3631714E+001
 9.6551724E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7825728E+002, 0.0000000E+000, 1.7430859E+002, 0.0000000E+000, 4.3631714E+001
 1.0672414E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8364764E+002, 0.0000000E+000, 1.8510739E+002, 0.0000000E+000, 4.4670961E+001
 1.1689655E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8364764E+002, 0.0000000E+000, 1.8510739E+002, 0.0000000E+000, 4.4670961E+001
 1.2706897E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9652252E+002, 0.0000000E+000, 1.9897308E+002, 0.0000000E+000, 4.6774518E+001
 1.3724138E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1986977E+002, 0.0000000E+000, 2.0893534E+002, 0.0000000E+000, 4.6774518E+001
 1.4741379E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1986977E+002, 0.0000000E+000, 2.0893534E+002, 0.0000000E+000, 4.6774518E+001
 1.5758621E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2819774E+002, 0.0000000E+000, 2.1189941E+002, 0.0000000E+000, 4.9982435E+001
 1.6775862E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2819774E+002, 0.0000000E+000, 2.1189941E+002, 0.0000000E+000, 4.9982435E+001
 1.7793103E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2064028E+002, 0.0000000E+000, 2.1071614E+002, 0.0000000E+000, 4.9982435E+001
 1.8810345E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2354173E+002, 0.0000000E+000, 2.1763401E+002, 0.0000000E+000, 5.2605842E+001
 1.9827586E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2354173E+002, 0.0000000E+000, 2.1763401E+002, 0.0000000E+000, 5.2605842E+001
 2.0844828E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3145344E+002, 0.0000000E+000, 2.1975577E+002, 0.0000000E+000, 6.7263419E+001
 2.1862069E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3145344E+002, 0.0000000E+000, 2.1975577E+002, 0.0000000E+000, 6.7263419E+001
 2.2879310E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3948456E+002, 0.0000000E+000, 2.1692576E+002, 0.0000000E+000, 6.7263419E+001
 2.3896552E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4917554E+002, 0.0000000E+000, 2.2424652E+002, 0.0000000E+000, 8.2331884E+001
 2.4913793E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4917554E+002, 0.0000000E+000, 2.2424652E+002, 0.0000000E+000, 8.2331884E+001
 2.5931034E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5264180E+002, 0.0000000E+000, 2.3626563E+002, 0.0000000E+000, 8.0355495E+001
 2.6948276E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5264180E+002, 0.0000000E+000, 2.3626563E+002, 0.0000000E+000, 8.0355495E+001
 2.7965517E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5362740E+002, 0.0000000E+000, 2.5454748E+002, 0.0000000E+000, 8.0355495E+001
 2.8982759E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5783514E+002, 0.0000000E+000, 2.7395857E+002, 0.0000000E+000, 8.8953925E+001
 2.9983333E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5783514E+002, 0.0000000E+000, 2.7395857E+002, 0.0000000E+000, 8.8953925E+001
