,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-06-16T11:59:43.528+09:00, 0.154E+00,   0.15364, 0.25689E+01
       2,2026-06-16T11:59:43.609+09:00, 0.154E+00,   0.30728, 0.26495E+01
       3,2026-06-16T11:59:43.711+09:00, 0.154E+00,   0.46091, 0.27511E+01
       4,2026-06-16T11:59:43.793+09:00, 0.154E+00,   0.61455, 0.28313E+01
       5,2026-06-16T11:59:43.868+09:00, 0.154E+00,   0.76819, 0.29062E+01
       6,2026-06-16T11:59:43.974+09:00, 0.154E+00,   0.92183, 0.30118E+01
       7,2026-06-16T11:59:44.057+09:00, 0.154E+00,   1.07546, 0.30934E+01
       8,2026-06-16T11:59:44.167+09:00, 0.135E+00,   1.21086, 0.32025E+01
       9,2026-06-16T11:59:44.271+09:00, 0.135E+00,   1.34626, 0.33059E+01
      10,2026-06-16T11:59:44.351+09:00, 0.135E+00,   1.48166, 0.33854E+01
      20,2026-06-16T11:59:45.272+09:00, 0.122E+00,   2.71137, 0.42842E+01
      30,2026-06-16T11:59:46.212+09:00, 0.872E-01,   3.83428, 0.52179E+01
      40,2026-06-16T11:59:47.183+09:00, 0.523E-01,   4.47255, 0.61686E+01
      50,2026-06-16T11:59:48.077+09:00, 0.523E-01,   4.99518, 0.70550E+01
      60,2026-06-16T11:59:48.993+09:00, 0.462E-01,   5.49341, 0.79620E+01
      70,2026-06-16T11:59:49.863+09:00, 0.405E-01,   5.90936, 0.88249E+01
      80,2026-06-16T11:59:50.790+09:00, 0.405E-01,   6.31388, 0.97259E+01
      90,2026-06-16T11:59:51.690+09:00, 0.445E-01,   6.75481, 0.10620E+02
     100,2026-06-16T11:59:52.558+09:00, 0.445E-01,   7.19979, 0.11481E+02
     200,2026-06-16T12:00:01.483+09:00, 0.312E-01,  11.09435, 0.20303E+02
     300,2026-06-16T12:00:10.442+09:00, 0.235E-01,  13.88375, 0.29167E+02
     400,2026-06-16T12:00:19.499+09:00, 0.243E-01,  16.25126, 0.38053E+02
     500,2026-06-16T12:00:28.471+09:00, 0.203E-01,  18.39208, 0.46949E+02
     600,2026-06-16T12:00:37.478+09:00, 0.211E-01,  20.29323, 0.55876E+02
     700,2026-06-16T12:00:46.410+09:00, 0.196E-01,  22.12871, 0.64731E+02
     800,2026-06-16T12:00:55.401+09:00, 0.159E-01,  23.83245, 0.73664E+02
     900,2026-06-16T12:01:04.436+09:00, 0.164E-01,  25.52355, 0.82615E+02
    1000,2026-06-16T12:01:13.402+09:00, 0.155E-01,  27.18615, 0.91504E+02
    1100,2026-06-16T12:01:22.474+09:00, 0.157E-01,  28.74501, 0.10050E+03
    1200,2026-06-16T12:01:31.531+09:00, 0.149E-01,  30.28326, 0.10948E+03
    1300,2026-06-16T12:01:40.477+09:00, 0.154E-01,  31.78359, 0.11836E+03
    1400,2026-06-16T12:01:49.511+09:00, 0.158E-01,  33.36210, 0.12731E+03
    1500,2026-06-16T12:01:58.560+09:00, 0.161E-01,  35.03214, 0.13629E+03
    1600,2026-06-16T12:02:07.610+09:00, 0.197E-01,  36.76559, 0.14526E+03
    1700,2026-06-16T12:02:16.703+09:00, 0.205E-01,  38.67707, 0.15428E+03
    1800,2026-06-16T12:02:25.737+09:00, 0.185E-01,  40.62924, 0.16324E+03
