"# fire1_p10_v20_M5 (exposed_steel_ceiling) : engine-top steady T(z), avg 240-300 s"
"# engine footprint x=[3.5,10] y=[5.2,9]; y-avg from PBX=6.75, x-avg from PBY=7.1"
z_m,T_yavg_C,T_yavg_std_C,T_xavg_C,T_xavg_std_C
2.0000,67.162,0.593,69.188,0.379
2.0250,67.162,0.593,69.188,0.379
2.1000,68.499,0.560,70.611,0.313
2.1750,71.145,0.724,73.065,0.390
2.2500,73.651,0.946,75.022,0.481
2.3250,75.753,1.035,76.666,0.503
2.4000,77.519,1.081,78.066,0.558
2.4750,79.444,1.267,79.566,0.867
2.5500,82.007,1.613,81.621,1.268
2.6250,85.523,2.002,84.694,1.495
2.7000,90.135,2.399,88.806,1.564
2.7750,95.775,2.912,93.539,1.584
2.8500,101.783,3.588,98.427,1.986
2.9250,107.564,4.656,102.760,3.085
3.0000,107.564,4.656,102.760,3.085
