"# fire1_p10_v20_ins_M5 (adiabatic_ceiling) : engine-top steady T(z), avg 240-300 s"
"# engine footprint x=[3.5,10] y=[5.2,9]; y-avg from PBX=6.75, x-avg from PBY=7.1"
z_m,T_yavg_C,T_yavg_std_C,T_xavg_C,T_xavg_std_C
2.0000,104.178,1.645,106.827,0.927
2.0250,104.178,1.645,106.827,0.927
2.1000,108.305,1.613,110.598,0.959
2.1750,115.282,1.395,116.927,0.998
2.2500,120.214,1.174,121.490,0.921
2.3250,123.818,1.213,125.087,0.931
2.4000,126.801,1.333,128.193,1.050
2.4750,129.751,1.576,131.122,1.260
2.5500,132.912,1.869,134.001,1.352
2.6250,136.743,1.971,137.164,1.379
2.7000,141.584,2.111,140.968,1.655
2.7750,146.891,2.659,145.276,1.970
2.8500,151.828,3.293,149.775,2.216
2.9250,156.547,3.847,154.449,2.990
3.0000,156.547,3.847,154.449,2.990
