C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.2144381E+002, 8.1968646E+002, 6.8231236E+002, 3.6610618E+002, 2.2431157E+002, 1.1427960E+002, 5.1797476E+001, 4.7258364E+001, 4.5221111E+001, 4.3438879E+001, 4.2764423E+001, 4.1801709E+001, 4.1450627E+001, 4.1111618E+001, 4.0115015E+001, 2.0000000E+001, 0.0000000E+000
 3.1122465E+002, 2.4202598E+002, 1.8789422E+002, 1.1714323E+002, 9.1985332E+001, 7.2959734E+001, 5.5491136E+001, 5.1743177E+001, 4.9450517E+001, 4.6831604E+001, 4.5957172E+001, 4.4629855E+001, 4.4034153E+001, 4.3242940E+001, 4.0955706E+001, 6.9241549E+001, 0.0000000E+000
 2.2239095E+002, 1.8302928E+002, 1.5466633E+002, 1.1184489E+002, 9.2114439E+001, 7.7922153E+001, 6.2773355E+001, 5.8329228E+001, 5.4952024E+001, 5.0537624E+001, 4.9104914E+001, 4.6947973E+001, 4.5928654E+001, 4.4700467E+001, 4.1596644E+001, 7.1633791E+001, 0.0000000E+000
 1.9158107E+002, 1.6574043E+002, 1.4800265E+002, 1.1427759E+002, 1.0026146E+002, 8.9707022E+001, 7.5308220E+001, 6.9700658E+001, 6.4679098E+001, 5.6912663E+001, 5.4400940E+001, 5.0721593E+001, 4.9005648E+001, 4.6972169E+001, 4.2370512E+001, 7.3970437E+001, 0.0000000E+000
 1.7520197E+002, 1.5973276E+002, 1.4615789E+002, 1.2315850E+002, 1.1553551E+002, 1.0947522E+002, 9.9949760E+001, 9.5002767E+001, 8.9675036E+001, 7.7872493E+001, 7.2347581E+001, 6.3443494E+001, 5.9374899E+001, 5.4769131E+001, 4.5015224E+001, 7.5801882E+001, 0.0000000E+000
 1.7326109E+002, 1.5993101E+002, 1.4624322E+002, 1.2767544E+002, 1.2148332E+002, 1.1639257E+002, 1.0812643E+002, 1.0385033E+002, 9.9178317E+001, 8.8510037E+001, 8.2876836E+001, 7.1944326E+001, 6.6516988E+001, 6.0325927E+001, 4.7073250E+001, 7.9040392E+001, 0.0000000E+000
 1.7280147E+002, 1.5989267E+002, 1.4723123E+002, 1.3214020E+002, 1.2686905E+002, 1.2252138E+002, 1.1523779E+002, 1.1127016E+002, 1.0697031E+002, 9.8199121E+001, 9.3338768E+001, 8.1841574E+001, 7.5168221E+001, 6.7344615E+001, 4.9753439E+001, 8.1996933E+001, 0.0000000E+000
 1.7208725E+002, 1.6223342E+002, 1.5323008E+002, 1.4196964E+002, 1.3747438E+002, 1.3366541E+002, 1.2667533E+002, 1.2356029E+002, 1.2044045E+002, 1.1398092E+002, 1.1048684E+002, 1.0183223E+002, 9.5766081E+001, 8.7036575E+001, 6.0625052E+001, 9.3139972E+001, 0.0000000E+000
 1.7266170E+002, 1.6469155E+002, 1.5721636E+002, 1.4681053E+002, 1.4273365E+002, 1.3917451E+002, 1.3214098E+002, 1.2908796E+002, 1.2654053E+002, 1.2114772E+002, 1.1806777E+002, 1.1126964E+002, 1.0617014E+002, 9.8368849E+001, 7.1252686E+001, 9.9140211E+001, 0.0000000E+000
 1.7379085E+002, 1.6684954E+002, 1.6036721E+002, 1.5083463E+002, 1.4725379E+002, 1.4413326E+002, 1.3766360E+002, 1.3465012E+002, 1.3228776E+002, 1.2772950E+002, 1.2510589E+002, 1.1964803E+002, 1.1548210E+002, 1.0893411E+002, 8.4866560E+001, 1.0433065E+002, 0.0000000E+000
 1.7597669E+002, 1.7110401E+002, 1.6604714E+002, 1.5835846E+002, 1.5597923E+002, 1.5342187E+002, 1.4876308E+002, 1.4655437E+002, 1.4455440E+002, 1.4120967E+002, 1.3966564E+002, 1.3769378E+002, 1.3757408E+002, 1.3669332E+002, 1.2504155E+002, 1.0886333E+002, 0.0000000E+000
 1.7745358E+002, 1.7352063E+002, 1.6912259E+002, 1.6251431E+002, 1.6038605E+002, 1.5807654E+002, 1.5392284E+002, 1.5224027E+002, 1.5071059E+002, 1.4760476E+002, 1.4645696E+002, 1.4665733E+002, 1.4810530E+002, 1.4949718E+002, 1.4912516E+002,NaN,NaN
 1.7919853E+002, 1.7592559E+002, 1.7212777E+002, 1.6628000E+002, 1.6458313E+002, 1.6298061E+002, 1.5961272E+002, 1.5818852E+002, 1.5696284E+002, 1.5477735E+002, 1.5401179E+002, 1.5524351E+002, 1.5699214E+002, 1.5964502E+002, 1.6676608E+002,NaN,NaN
 1.8366990E+002, 1.8104504E+002, 1.7822019E+002, 1.7415161E+002, 1.7238793E+002, 1.7124861E+002, 1.6971297E+002, 1.6936316E+002, 1.6866297E+002, 1.6771152E+002, 1.6756578E+002, 1.6856089E+002, 1.6963620E+002, 1.7292878E+002, 1.8051631E+002,NaN,NaN
 1.8576069E+002, 1.8315549E+002, 1.8070949E+002, 1.7725696E+002, 1.7594464E+002, 1.7495016E+002, 1.7333298E+002, 1.7300151E+002, 1.7244753E+002, 1.7208905E+002, 1.7187883E+002, 1.7283607E+002, 1.7296471E+002, 1.7642852E+002, 1.8236309E+002,NaN,NaN
 1.8759686E+002, 1.8520169E+002, 1.8309243E+002, 1.7981919E+002, 1.7867510E+002, 1.7770617E+002, 1.7649046E+002, 1.7612840E+002, 1.7566929E+002, 1.7557083E+002, 1.7568669E+002, 1.7672959E+002, 1.7642047E+002, 1.8029790E+002, 1.8536815E+002,NaN,NaN
 1.9101410E+002, 1.8884403E+002, 1.8659054E+002, 1.8370175E+002, 1.8300754E+002, 1.8209015E+002, 1.8159666E+002, 1.8172622E+002, 1.8174563E+002, 1.8220267E+002, 1.8321506E+002, 1.8500178E+002, 1.8466087E+002, 1.8994264E+002, 1.9720843E+002,NaN,NaN
 1.9272891E+002, 1.9049568E+002, 1.8794589E+002, 1.8531660E+002, 1.8480303E+002, 1.8405392E+002, 1.8385937E+002, 1.8415026E+002, 1.8410092E+002, 1.8503799E+002, 1.8655979E+002, 1.8944163E+002, 1.8954647E+002, 1.9608579E+002, 2.0523562E+002,NaN,NaN
