C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 8.7387251E+002, 7.3640759E+002, 5.6414997E+002, 2.2120716E+002, 9.7109452E+001, 4.4678521E+001, 4.0779485E+001, 3.9979281E+001, 3.9368511E+001, 3.8568802E+001, 3.8328534E+001, 3.8027979E+001, 3.7934698E+001, 3.7790441E+001, 3.7116175E+001, 2.0000000E+001, 0.0000000E+000
 2.1405275E+002, 1.5406155E+002, 1.1358341E+002, 6.6354140E+001, 5.4269257E+001, 4.8787584E+001, 4.4104890E+001, 4.2794252E+001, 4.1919965E+001, 4.1185528E+001, 4.1116614E+001, 4.0884955E+001, 4.0540214E+001, 3.9910326E+001, 3.7657641E+001, 6.0658950E+001, 0.0000000E+000
 1.4159267E+002, 1.1418215E+002, 9.6205770E+001, 7.0992830E+001, 6.3140510E+001, 5.7948797E+001, 5.0164798E+001, 4.7195960E+001, 4.5060403E+001, 4.3272529E+001, 4.3124963E+001, 4.2865631E+001, 4.2338728E+001, 4.1354302E+001, 3.8340269E+001, 6.2870636E+001, 0.0000000E+000
 1.2767277E+002, 1.1289546E+002, 1.0171235E+002, 8.3126160E+001, 7.7386447E+001, 7.2128019E+001, 6.1717719E+001, 5.6778263E+001, 5.2564965E+001, 4.7406603E+001, 4.6329713E+001, 4.5334892E+001, 4.4524954E+001, 4.3145047E+001, 3.9022839E+001, 6.5124747E+001, 0.0000000E+000
 1.3227047E+002, 1.2268213E+002, 1.1345426E+002, 1.0300045E+002, 9.9392592E+001, 9.5990919E+001, 8.8796972E+001, 8.4002758E+001, 7.8300267E+001, 6.6235564E+001, 6.1135602E+001, 5.3777308E+001, 5.1032215E+001, 4.8013734E+001, 4.0799738E+001, 6.6920697E+001, 0.0000000E+000
 1.3434882E+002, 1.2523041E+002, 1.1788959E+002, 1.0965464E+002, 1.0646873E+002, 1.0344890E+002, 9.7236507E+001, 9.3679237E+001, 8.9347620E+001, 7.8166780E+001, 7.2031196E+001, 6.0888223E+001, 5.6099375E+001, 5.1404662E+001, 4.1971548E+001, 6.9978697E+001, 0.0000000E+000
 1.3551383E+002, 1.2799132E+002, 1.2251069E+002, 1.1557310E+002, 1.1275483E+002, 1.0998568E+002, 1.0372390E+002, 1.0060699E+002, 9.7172512E+001, 8.8661453E+001, 8.3077084E+001, 7.0665736E+001, 6.4059163E+001, 5.7200161E+001, 4.3942085E+001, 7.2471218E+001, 0.0000000E+000
 1.3979619E+002, 1.3496751E+002, 1.3133906E+002, 1.2526588E+002, 1.2255672E+002, 1.2014530E+002, 1.1458989E+002, 1.1161460E+002, 1.0843647E+002, 1.0181756E+002, 9.8206074E+001, 8.9594673E+001, 8.3407844E+001, 7.5237525E+001, 5.3539566E+001, 8.1598752E+001, 0.0000000E+000
 1.4314822E+002, 1.3866856E+002, 1.3517964E+002, 1.2924234E+002, 1.2662405E+002, 1.2428728E+002, 1.1947224E+002, 1.1686163E+002, 1.1401240E+002, 1.0780677E+002, 1.0440063E+002, 9.7307558E+001, 9.2282237E+001, 8.4586932E+001, 6.2487387E+001, 8.7455229E+001, 0.0000000E+000
 1.4603436E+002, 1.4201113E+002, 1.3844135E+002, 1.3275197E+002, 1.3029739E+002, 1.2813686E+002, 1.2384567E+002, 1.2161435E+002, 1.1916137E+002, 1.1382475E+002, 1.1088385E+002, 1.0491377E+002, 1.0109682E+002, 9.4894667E+001, 7.4074394E+001, 9.2681947E+001, 0.0000000E+000
 1.5109472E+002, 1.4798162E+002, 1.4484461E+002, 1.4026363E+002, 1.3807425E+002, 1.3611811E+002, 1.3239339E+002, 1.3059598E+002, 1.2885247E+002, 1.2503682E+002, 1.2309656E+002, 1.1972097E+002, 1.1835138E+002, 1.1669660E+002, 1.0600764E+002, 9.7354483E+001, 0.0000000E+000
 1.5354491E+002, 1.5060042E+002, 1.4779940E+002, 1.4354516E+002, 1.4201232E+002, 1.4063601E+002, 1.3727779E+002, 1.3569427E+002, 1.3421595E+002, 1.3112047E+002, 1.2961917E+002, 1.2725780E+002, 1.2695082E+002, 1.2726782E+002, 1.2684303E+002,NaN,NaN
 1.5548352E+002, 1.5298847E+002, 1.5069858E+002, 1.4723885E+002, 1.4617287E+002, 1.4501452E+002, 1.4268971E+002, 1.4128725E+002, 1.3999840E+002, 1.3758642E+002, 1.3633269E+002, 1.3428989E+002, 1.3463431E+002, 1.3647484E+002, 1.4413492E+002,NaN,NaN
 1.5887301E+002, 1.5688865E+002, 1.5559763E+002, 1.5339259E+002, 1.5282827E+002, 1.5201272E+002, 1.5036305E+002, 1.4968777E+002, 1.4907241E+002, 1.4818212E+002, 1.4798873E+002, 1.4666168E+002, 1.4640942E+002, 1.4898974E+002, 1.5651626E+002,NaN,NaN
 1.6070554E+002, 1.5896042E+002, 1.5760922E+002, 1.5564325E+002, 1.5527187E+002, 1.5453177E+002, 1.5326043E+002, 1.5288285E+002, 1.5249609E+002, 1.5200978E+002, 1.5182833E+002, 1.5098039E+002, 1.5038390E+002, 1.5301893E+002, 1.5817416E+002,NaN,NaN
 1.6232944E+002, 1.6085625E+002, 1.5967728E+002, 1.5786738E+002, 1.5747553E+002, 1.5663865E+002, 1.5578320E+002, 1.5576990E+002, 1.5556132E+002, 1.5543339E+002, 1.5556922E+002, 1.5529925E+002, 1.5436359E+002, 1.5693826E+002, 1.6089299E+002,NaN,NaN
 1.6549882E+002, 1.6416340E+002, 1.6313420E+002, 1.6142759E+002, 1.6101984E+002, 1.6041042E+002, 1.6026401E+002, 1.6067629E+002, 1.6047231E+002, 1.6090012E+002, 1.6176873E+002, 1.6271431E+002, 1.6238873E+002, 1.6600652E+002, 1.7183825E+002,NaN,NaN
 1.6713532E+002, 1.6575142E+002, 1.6463306E+002, 1.6297184E+002, 1.6282017E+002, 1.6237651E+002, 1.6231336E+002, 1.6284828E+002, 1.6275774E+002, 1.6356485E+002, 1.6460392E+002, 1.6643750E+002, 1.6649296E+002, 1.7166106E+002, 1.7989049E+002,NaN,NaN
 1.6868487E+002, 1.6725334E+002, 1.6600085E+002, 1.6462356E+002, 1.6458094E+002, 1.6420601E+002, 1.6406602E+002, 1.6472797E+002, 1.6485299E+002, 1.6605741E+002, 1.6719959E+002, 1.7019324E+002, 1.7100803E+002, 1.7775603E+002, 1.8723120E+002,NaN,NaN
 1.7196131E+002, 1.7052731E+002, 1.6924645E+002, 1.6788454E+002, 1.6773210E+002, 1.6746679E+002, 1.6764814E+002, 1.6822932E+002, 1.6886915E+002, 1.7063446E+002, 1.7191854E+002, 1.7710557E+002, 1.8094358E+002, 1.8861858E+002, 1.9585722E+002,NaN,NaN
 1.7342296E+002, 1.7206969E+002, 1.7086558E+002, 1.6930322E+002, 1.6918308E+002, 1.6908401E+002, 1.6945100E+002, 1.7003462E+002, 1.7087123E+002, 1.7282664E+002, 1.7420384E+002, 1.8008174E+002, 1.8512620E+002, 1.9228096E+002, 1.9938908E+002,NaN,NaN
 1.7480395E+002, 1.7351465E+002, 1.7232849E+002, 1.7082389E+002, 1.7079428E+002, 1.7086307E+002, 1.7131804E+002, 1.7190974E+002, 1.7276868E+002, 1.7474975E+002, 1.7629036E+002, 1.8244290E+002, 1.8806667E+002, 1.9459288E+002, 2.0116029E+002,NaN,NaN
 1.7770094E+002, 1.7661272E+002, 1.7538318E+002, 1.7399123E+002, 1.7375211E+002, 1.7386136E+002, 1.7453947E+002, 1.7518478E+002, 1.7590877E+002, 1.7797369E+002, 1.7990937E+002, 1.8619929E+002, 1.9138053E+002, 1.9725514E+002, 2.0329103E+002,NaN,NaN
 1.7928395E+002, 1.7802150E+002, 1.7702179E+002, 1.7579458E+002, 1.7550889E+002, 1.7551456E+002, 1.7606176E+002, 1.7666250E+002, 1.7740053E+002, 1.7952748E+002, 1.8142493E+002, 1.8768567E+002, 1.9254133E+002, 1.9827555E+002, 2.0424289E+002,NaN,NaN
 1.8134474E+002, 1.8000915E+002, 1.7906135E+002, 1.7781174E+002, 1.7769047E+002, 1.7774496E+002, 1.7794704E+002, 1.7843899E+002, 1.7911373E+002, 1.8127341E+002, 1.8301848E+002, 1.8912510E+002, 1.9394786E+002, 1.9955718E+002, 2.0511565E+002,NaN,NaN
 1.8927844E+002, 1.8781527E+002, 1.8650961E+002, 1.8501480E+002, 1.8481152E+002, 1.8487696E+002, 1.8453700E+002, 1.8459476E+002, 1.8488543E+002, 1.8630812E+002, 1.8773663E+002, 1.9313022E+002, 1.9726397E+002, 2.0210101E+002, 2.0653605E+002,NaN,NaN
