Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 1.350E+02, 9.814E+03, 4.128E+03, 7.294E+03, 2.664E+03, 2.133E+03, 5.197E+03, 1.940E-01, 3.365E+03, 2.472E+02, 3.791E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    1, 1.043E+02, 9.523E+03, 4.731E+03, 7.249E+03, 2.794E+03, 2.359E+03, 5.113E+03, 1.378E-01, 3.237E+03, 2.319E+02, 3.426E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    2, 1.911E+02, 8.868E+03, 3.971E+03, 5.974E+03, 2.683E+03, 1.511E+03, 5.259E+03, 1.482E-01, 2.693E+03, 3.730E+02, 7.245E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    3, 1.940E+02, 9.124E+03, 4.288E+03, 6.678E+03, 2.554E+03, 1.376E+03, 5.234E+03, 1.280E-01, 2.789E+03, 2.209E+02, 6.309E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    4, 1.054E+02, 9.171E+03, 4.827E+03, 7.356E+03, 2.743E+03, 2.587E+03, 4.942E+03, 1.385E-01, 3.331E+03, 2.639E+02, 3.441E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    5, 3.987E+01, 7.275E+03, 4.519E+03, 8.102E+03, 2.088E+03, 3.282E+03, 4.856E+03, 1.723E-01, 4.403E+03, 2.987E+02, 3.905E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    6, 1.094E+02, 9.418E+03, 4.364E+03, 6.105E+03, 2.062E+03, 2.084E+03, 4.945E+03, 1.502E-01, 2.999E+03, 2.015E+02, 6.481E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    7, 9.683E+01, 9.693E+03, 4.727E+03, 7.240E+03, 2.874E+03, 2.230E+03, 4.819E+03, 1.625E-01, 3.456E+03, 2.275E+02, 3.405E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    8, 7.651E+01, 8.548E+03, 5.188E+03, 7.960E+03, 1.950E+03, 2.812E+03, 4.432E+03, 1.650E-01, 3.778E+03, 2.752E+02, 3.749E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
    9, 1.914E+02, 7.803E+03, 5.257E+03, 1.101E+04, 1.346E+03, 1.842E+03, 4.921E+03, 1.853E-01, 3.800E+03, 4.488E+02, 2.146E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   10, 3.220E+02, 7.850E+03, 4.820E+03, 1.102E+04, 9.864E+02, 1.177E+03, 5.195E+03, 2.192E-01, 3.328E+03, 4.569E+02, 3.616E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   11, 1.393E+02, 9.290E+03, 4.281E+03, 7.013E+03, 2.060E+03, 1.519E+03, 4.879E+03, 1.490E-01, 2.835E+03, 2.021E+02, 6.549E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   12, 9.689E+01, 8.941E+03, 5.231E+03, 8.273E+03, 1.910E+03, 2.409E+03, 4.478E+03, 1.742E-01, 3.830E+03, 2.733E+02, 3.326E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   13, 1.872E+02, 8.735E+03, 5.023E+03, 9.032E+03, 1.717E+03, 1.855E+03, 4.976E+03, 1.858E-01, 3.383E+03, 3.512E+02, 3.508E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   14, 2.676E+02, 8.738E+03, 4.649E+03, 9.427E+03, 1.645E+03, 1.345E+03, 5.197E+03, 1.626E-01, 3.178E+03, 3.503E+02, 3.971E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   15, 1.621E+02, 9.487E+03, 4.496E+03, 7.184E+03, 1.847E+03, 1.325E+03, 5.047E+03, 1.779E-01, 2.915E+03, 1.938E+02, 6.110E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   16, 1.331E+02, 9.769E+03, 5.026E+03, 7.387E+03, 2.670E+03, 2.111E+03, 4.900E+03, 1.590E-01, 3.501E+03, 2.429E+02, 3.029E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   17, 1.021E+02, 9.551E+03, 4.690E+03, 7.292E+03, 2.862E+03, 2.301E+03, 4.955E+03, 1.585E-01, 3.408E+03, 2.465E+02, 3.360E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   18, 1.546E+02, 8.635E+03, 3.866E+03, 6.142E+03, 2.727E+03, 1.462E+03, 5.016E+03, 1.388E-01, 2.645E+03, 3.530E+02, 7.768E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   19, 1.808E+02, 9.031E+03, 4.286E+03, 6.685E+03, 2.563E+03, 1.353E+03, 4.955E+03, 1.347E-01, 2.708E+03, 2.420E+02, 6.763E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   20, 9.836E+01, 9.254E+03, 4.849E+03, 7.456E+03, 2.753E+03, 2.533E+03, 4.574E+03, 1.907E-01, 3.443E+03, 2.635E+02, 3.545E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   21, 6.664E+01, 8.641E+03, 4.871E+03, 7.141E+03, 2.953E+03, 2.935E+03, 4.692E+03, 1.670E-01, 3.781E+03, 2.505E+02, 3.438E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   22, 9.901E+01, 9.532E+03, 4.411E+03, 6.364E+03, 2.964E+03, 2.041E+03, 4.774E+03, 1.401E-01, 3.226E+03, 2.139E+02, 5.142E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
   23, 9.292E+01, 9.709E+03, 4.599E+03, 7.197E+03, 2.898E+03, 2.164E+03, 4.807E+03, 1.498E-01, 3.345E+03, 2.234E+02, 3.734E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.877E+04
