Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,CHEM,Total T_USED (s)
    0, 6.903E+02, 1.713E+03, 1.439E+03, 1.241E+03, 6.321E+02, 3.544E+02, 6.298E+03, 8.941E-02, 4.591E+02, 3.906E+01, 2.630E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    1, 1.175E+02, 9.407E+03, 4.700E+03, 7.288E+03, 2.817E+03, 2.355E+03, 5.613E+03, 1.608E-01, 3.209E+03, 2.332E+02, 3.430E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    2, 2.067E+02, 8.776E+03, 3.901E+03, 5.995E+03, 2.694E+03, 1.502E+03, 5.750E+03, 1.395E-01, 2.713E+03, 3.984E+02, 7.234E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    3, 2.045E+02, 9.035E+03, 4.219E+03, 6.652E+03, 2.564E+03, 1.383E+03, 5.736E+03, 1.185E-01, 2.742E+03, 2.384E+02, 6.397E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    4, 1.130E+02, 8.946E+03, 4.801E+03, 7.435E+03, 2.780E+03, 2.607E+03, 5.449E+03, 1.752E-01, 3.399E+03, 2.632E+02, 3.377E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    5, 4.567E+01, 7.200E+03, 4.639E+03, 8.162E+03, 2.100E+03, 3.286E+03, 5.366E+03, 1.865E-01, 4.337E+03, 3.004E+02, 3.733E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    6, 1.266E+02, 9.280E+03, 4.310E+03, 6.094E+03, 2.073E+03, 2.120E+03, 5.363E+03, 1.413E-01, 2.964E+03, 2.071E+02, 6.633E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    7, 1.113E+02, 9.693E+03, 4.706E+03, 7.234E+03, 2.895E+03, 2.221E+03, 5.292E+03, 1.547E-01, 3.285E+03, 2.289E+02, 3.505E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    8, 8.449E+01, 8.329E+03, 5.120E+03, 8.031E+03, 1.943E+03, 2.808E+03, 4.871E+03, 1.626E-01, 3.852E+03, 2.778E+02, 3.855E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
    9, 1.941E+02, 7.599E+03, 5.167E+03, 1.108E+04, 1.398E+03, 1.834E+03, 5.393E+03, 1.867E-01, 3.782E+03, 4.483E+02, 2.272E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
   10, 3.200E+02, 7.814E+03, 4.814E+03, 1.106E+04, 1.027E+03, 1.171E+03, 5.648E+03, 2.085E-01, 3.325E+03, 4.596E+02, 3.530E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
   11, 1.515E+02, 9.242E+03, 4.255E+03, 7.015E+03, 2.074E+03, 1.534E+03, 5.354E+03, 1.520E-01, 2.752E+03, 1.999E+02, 6.594E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
   12, 1.053E+02, 8.975E+03, 5.179E+03, 8.195E+03, 1.909E+03, 2.366E+03, 4.886E+03, 1.722E-01, 3.738E+03, 2.685E+02, 3.548E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.917E+04
