C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.1430440E+002, 7.8466124E+002, 6.0617462E+002, 2.3916283E+002, 1.0575935E+002, 4.7888416E+001, 4.0593352E+001, 3.9458201E+001, 3.8698851E+001, 3.7687401E+001, 3.7417594E+001, 3.7055727E+001, 3.6979976E+001, 3.6958214E+001, 3.6618895E+001, 2.0000000E+001, 0.0000000E+000
 2.3256102E+002, 1.7315189E+002, 1.3512404E+002, 7.6215988E+001, 6.0127863E+001, 5.1058467E+001, 4.3970554E+001, 4.2181288E+001, 4.0886303E+001, 3.9214135E+001, 3.8921353E+001, 3.8671089E+001, 3.8502041E+001, 3.8238313E+001, 3.6998587E+001, 6.1208294E+001, 0.0000000E+000
 1.5908754E+002, 1.3245419E+002, 1.1506874E+002, 7.8005388E+001, 6.6581238E+001, 5.9373778E+001, 4.9873203E+001, 4.6683567E+001, 4.4162255E+001, 4.0915218E+001, 4.0298810E+001, 3.9830221E+001, 3.9483965E+001, 3.8952827E+001, 3.7499514E+001, 6.2845154E+001, 0.0000000E+000
 1.4621468E+002, 1.3058741E+002, 1.1907255E+002, 9.0075818E+001, 8.1277913E+001, 7.4136617E+001, 6.1989545E+001, 5.6960358E+001, 5.2324914E+001, 4.5209316E+001, 4.3265894E+001, 4.1581919E+001, 4.0976769E+001, 4.0099597E+001, 3.7984085E+001, 6.4685513E+001, 0.0000000E+000
 1.4651792E+002, 1.3870590E+002, 1.2929048E+002, 1.1146858E+002, 1.0547038E+002, 1.0041403E+002, 9.1837855E+001, 8.6499465E+001, 8.0331890E+001, 6.6527689E+001, 5.9759295E+001, 4.9774642E+001, 4.6520127E+001, 4.3917354E+001, 3.9322046E+001, 6.6544028E+001, 0.0000000E+000
 1.4872276E+002, 1.4105067E+002, 1.3228425E+002, 1.1759072E+002, 1.1232398E+002, 1.0818271E+002, 1.0180302E+002, 9.8046547E+001, 9.3322757E+001, 8.0645878E+001, 7.3072805E+001, 5.8580228E+001, 5.2756311E+001, 4.7844354E+001, 4.0413213E+001, 6.9915210E+001, 0.0000000E+000
 1.5111747E+002, 1.4309566E+002, 1.3525076E+002, 1.2288028E+002, 1.1836634E+002, 1.1461915E+002, 1.0879624E+002, 1.0591084E+002, 1.0277682E+002, 9.2707098E+001, 8.6021666E+001, 7.0242218E+001, 6.2070311E+001, 5.4438310E+001, 4.2169528E+001, 7.2366479E+001, 0.0000000E+000
 1.5430016E+002, 1.4732907E+002, 1.4147994E+002, 1.3158227E+002, 1.2802978E+002, 1.2509949E+002, 1.1930124E+002, 1.1617337E+002, 1.1344478E+002, 1.0759738E+002, 1.0365002E+002, 9.2029969E+001, 8.4376154E+001, 7.5324979E+001, 5.3171597E+001, 8.1369869E+001, 0.0000000E+000
 1.5532947E+002, 1.4907135E+002, 1.4383327E+002, 1.3498299E+002, 1.3178301E+002, 1.2903212E+002, 1.2415677E+002, 1.2110489E+002, 1.1783856E+002, 1.1198848E+002, 1.0932921E+002, 1.0035490E+002, 9.4295664E+001, 8.7612122E+001, 6.4920230E+001, 8.7859765E+001, 0.0000000E+000
 1.5669681E+002, 1.5115325E+002, 1.4624151E+002, 1.3786159E+002, 1.3492829E+002, 1.3250087E+002, 1.2862139E+002, 1.2582807E+002, 1.2274290E+002, 1.1627405E+002, 1.1393718E+002, 1.0810564E+002, 1.0357902E+002, 9.8544828E+001, 8.1053382E+001, 9.3597585E+001, 0.0000000E+000
 1.6067667E+002, 1.5623580E+002, 1.5221034E+002, 1.4464674E+002, 1.4213502E+002, 1.4025600E+002, 1.3725257E+002, 1.3573425E+002, 1.3391005E+002, 1.2934568E+002, 1.2743136E+002, 1.2379831E+002, 1.2223925E+002, 1.2039414E+002, 1.1505959E+002, 9.8624321E+001, 0.0000000E+000
 1.6246663E+002, 1.5852043E+002, 1.5505323E+002, 1.4774886E+002, 1.4554358E+002, 1.4405243E+002, 1.4178303E+002, 1.4069066E+002, 1.3960706E+002, 1.3642559E+002, 1.3505219E+002, 1.3198855E+002, 1.3161513E+002, 1.3115161E+002, 1.3257524E+002,NaN,NaN
 1.6438820E+002, 1.6121231E+002, 1.5800470E+002, 1.5133480E+002, 1.4940342E+002, 1.4814830E+002, 1.4672116E+002, 1.4595227E+002, 1.4497522E+002, 1.4303602E+002, 1.4196942E+002, 1.3988496E+002, 1.3955290E+002, 1.3945275E+002, 1.4453002E+002,NaN,NaN
 1.6912066E+002, 1.6732755E+002, 1.6443808E+002, 1.5856465E+002, 1.5662997E+002, 1.5577312E+002, 1.5549866E+002, 1.5524101E+002, 1.5400669E+002, 1.5269394E+002, 1.5218426E+002, 1.5131175E+002, 1.5087449E+002, 1.5245706E+002, 1.5743213E+002,NaN,NaN
 1.7170632E+002, 1.7013667E+002, 1.6745598E+002, 1.6186708E+002, 1.5987002E+002, 1.5900596E+002, 1.5894211E+002, 1.5891299E+002, 1.5795977E+002, 1.5687648E+002, 1.5687978E+002, 1.5631677E+002, 1.5541778E+002, 1.5766673E+002, 1.6098566E+002,NaN,NaN
 1.7386684E+002, 1.7222814E+002, 1.6993718E+002, 1.6437631E+002, 1.6282582E+002, 1.6192944E+002, 1.6176284E+002, 1.6187910E+002, 1.6101852E+002, 1.6027864E+002, 1.6079987E+002, 1.6078676E+002, 1.6004322E+002, 1.6228722E+002, 1.6554693E+002,NaN,NaN
 1.7737328E+002, 1.7505348E+002, 1.7287118E+002, 1.6871883E+002, 1.6766389E+002, 1.6679027E+002, 1.6700233E+002, 1.6743337E+002, 1.6697050E+002, 1.6717937E+002, 1.6783716E+002, 1.6898666E+002, 1.6898100E+002, 1.7286923E+002, 1.7952448E+002,NaN,NaN
 1.7889540E+002, 1.7647801E+002, 1.7416719E+002, 1.7058068E+002, 1.6965190E+002, 1.6889033E+002, 1.6894681E+002, 1.6926492E+002, 1.6909718E+002, 1.6977623E+002, 1.7061538E+002, 1.7285866E+002, 1.7326482E+002, 1.7898668E+002, 1.8835068E+002,NaN,NaN
 1.8008219E+002, 1.7750804E+002, 1.7539355E+002, 1.7238790E+002, 1.7153776E+002, 1.7058787E+002, 1.7039023E+002, 1.7078674E+002, 1.7095982E+002, 1.7231850E+002, 1.7338486E+002, 1.7639086E+002, 1.7764506E+002, 1.8534947E+002, 1.9663545E+002,NaN,NaN
 1.8162560E+002, 1.7924112E+002, 1.7792441E+002, 1.7602861E+002, 1.7504149E+002, 1.7409564E+002, 1.7331256E+002, 1.7380287E+002, 1.7444339E+002, 1.7633550E+002, 1.7782433E+002, 1.8352219E+002, 1.8809803E+002, 1.9807150E+002, 2.0731887E+002,NaN,NaN
 1.8293865E+002, 1.8069518E+002, 1.7929721E+002, 1.7747228E+002, 1.7661670E+002, 1.7568997E+002, 1.7488785E+002, 1.7536566E+002, 1.7610985E+002, 1.7833086E+002, 1.8011890E+002, 1.8719769E+002, 1.9342113E+002, 2.0268360E+002, 2.1170775E+002,NaN,NaN
 1.8433874E+002, 1.8239338E+002, 1.8090342E+002, 1.7882404E+002, 1.7820069E+002, 1.7744469E+002, 1.7664725E+002, 1.7716191E+002, 1.7793397E+002, 1.8073200E+002, 1.8285612E+002, 1.9012301E+002, 1.9706974E+002, 2.0544701E+002, 2.1366285E+002,NaN,NaN
 1.8703257E+002, 1.8504152E+002, 1.8384686E+002, 1.8216503E+002, 1.8176889E+002, 1.8164691E+002, 1.8125741E+002, 1.8165254E+002, 1.8228764E+002, 1.8502207E+002, 1.8713472E+002, 1.9447894E+002, 2.0099247E+002, 2.0891239E+002, 2.1588939E+002,NaN,NaN
 1.8927765E+002, 1.8724311E+002, 1.8587043E+002, 1.8415976E+002, 1.8389713E+002, 1.8392724E+002, 1.8378675E+002, 1.8418621E+002, 1.8479767E+002, 1.8704652E+002, 1.8921100E+002, 1.9670574E+002, 2.0304088E+002, 2.1028296E+002, 2.1690135E+002,NaN,NaN
 1.9267097E+002, 1.9077064E+002, 1.8926010E+002, 1.8708411E+002, 1.8669855E+002, 1.8681001E+002, 1.8667978E+002, 1.8701543E+002, 1.8752622E+002, 1.8958872E+002, 1.9145720E+002, 1.9884331E+002, 2.0505846E+002, 2.1183043E+002, 2.1783338E+002,NaN,NaN
 2.0219294E+002, 2.0030045E+002, 1.9881602E+002, 1.9745214E+002, 1.9683277E+002, 1.9608829E+002, 1.9523127E+002, 1.9532626E+002, 1.9576870E+002, 1.9737333E+002, 1.9887176E+002, 2.0472941E+002, 2.0915445E+002, 2.1481165E+002, 2.1943327E+002,NaN,NaN
