C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m3
gridconv_T_dy00,gridconv_T_dy01,gridconv_T_dy02,gridconv_T_dy03,gridconv_T_dy04,gridconv_T_dy05,gridconv_T_dy06,gridconv_T_dy07,gridconv_T_dy08,gridconv_T_dy09,gridconv_T_dy10,gridconv_T_dy11,gridconv_T_dy12,gridconv_T_dy13,gridconv_T_dy14,main_eng_temperature,main_eng_hrrpuv
 9.0305143E+002, 7.6473091E+002, 5.8255795E+002, 2.2074257E+002, 9.6096366E+001, 4.4113829E+001, 4.0337594E+001, 3.9797379E+001, 3.9366010E+001, 3.8774590E+001, 3.8468366E+001, 3.8054943E+001, 3.7901480E+001, 3.7731572E+001, 3.7049739E+001, 2.0000000E+001, 0.0000000E+000
 1.8802823E+002, 1.3660086E+002, 9.8875262E+001, 5.8834803E+001, 5.1959367E+001, 4.8588656E+001, 4.4367980E+001, 4.2833704E+001, 4.1745709E+001, 4.0604756E+001, 4.0385328E+001, 4.0262817E+001, 4.0138810E+001, 3.9772916E+001, 3.7699049E+001, 6.1787650E+001, 0.0000000E+000
 1.3211047E+002, 1.0587816E+002, 8.7845567E+001, 6.7640319E+001, 6.2768668E+001, 5.8509103E+001, 5.0622784E+001, 4.7512204E+001, 4.5088756E+001, 4.2189886E+001, 4.1586056E+001, 4.1215905E+001, 4.1001266E+001, 4.0624892E+001, 3.8422650E+001, 6.3040403E+001, 0.0000000E+000
 1.2483511E+002, 1.0772736E+002, 9.6424867E+001, 8.2200138E+001, 7.7530754E+001, 7.2602746E+001, 6.1518362E+001, 5.6363837E+001, 5.1890981E+001, 4.5548569E+001, 4.3835659E+001, 4.2348846E+001, 4.1767416E+001, 4.1120266E+001, 3.8868655E+001, 6.4830371E+001, 0.0000000E+000
 1.2885807E+002, 1.1840793E+002, 1.1136870E+002, 1.0331612E+002, 9.9389639E+001, 9.5484547E+001, 8.7067124E+001, 8.2288951E+001, 7.6874186E+001, 6.4356513E+001, 5.8000677E+001, 4.9565397E+001, 4.6892248E+001, 4.4448094E+001, 3.9661633E+001, 6.6672690E+001, 0.0000000E+000
 1.3089056E+002, 1.2198158E+002, 1.1640182E+002, 1.0968891E+002, 1.0612576E+002, 1.0292787E+002, 9.5695570E+001, 9.1967795E+001, 8.7640499E+001, 7.6583509E+001, 6.9959420E+001, 5.7149864E+001, 5.2149920E+001, 4.7725724E+001, 4.0516528E+001, 7.0057077E+001, 0.0000000E+000
 1.3327388E+002, 1.2614793E+002, 1.2144734E+002, 1.1460938E+002, 1.1152694E+002, 1.0851492E+002, 1.0191599E+002, 9.8741324E+001, 9.5383614E+001, 8.6740023E+001, 8.1031495E+001, 6.7117898E+001, 5.9778281E+001, 5.2774711E+001, 4.1961571E+001, 7.2611375E+001, 0.0000000E+000
 1.4101329E+002, 1.3609230E+002, 1.3201654E+002, 1.2630003E+002, 1.2335384E+002, 1.1985976E+002, 1.1235651E+002, 1.0861044E+002, 1.0501188E+002, 9.8498453E+001, 9.5317059E+001, 8.6957139E+001, 8.0465224E+001, 7.1731313E+001, 5.0987917E+001, 8.3635157E+001, 0.0000000E+000
 1.4475705E+002, 1.3997032E+002, 1.3626525E+002, 1.3123199E+002, 1.2855858E+002, 1.2576841E+002, 1.1885778E+002, 1.1513700E+002, 1.1120105E+002, 1.0391331E+002, 1.0073264E+002, 9.4164745E+001, 8.9373324E+001, 8.2800608E+001, 6.1018361E+001, 8.9815864E+001, 0.0000000E+000
