t_s,q_net_kW_m2
0,0
0.5,0.0025
1,0.005
1.5,0.0075
2,0.01
2.5,0.0125
3,0.015
3.5,0.0175
4,0.02
4.5,0.0225
5,0.025
5.5,0.0275
6,0.03
6.5,0.0325
7,0.035
7.5,0.0375
8,0.04
8.5,0.0425
9,0.045
9.5,0.0475
10,0.05
10.5,0.0525
11,0.055
11.5,0.0575
12,0.06
12.5,0.0625
13,0.065
13.5,0.0675
14,0.07
14.5,0.0725
15,0.075
15.5,0.0775
16,0.08
16.5,0.0825
17,0.085
17.5,0.0875
18,0.09
18.5,0.0925
19,0.095
19.5,0.0975
20,0.1
20.5,0.1025
21,0.105
21.5,0.1075
22,0.11
22.5,0.1125
23,0.115
23.5,0.1175
24,0.12
24.5,0.1225
25,0.125
25.5,0.1275
26,0.13
26.5,0.1325
27,0.135
27.5,0.1375
28,0.14
28.5,0.1425
29,0.145
29.5,0.1475
30,0.15
30.5,0.1525
31,0.155
31.5,0.1575
32,0.16
32.5,0.1625
33,0.165
33.5,0.1675
34,0.17
34.5,0.1725
35,0.175
35.5,0.1775
36,0.18
36.5,0.1825
37,0.185
37.5,0.1875
38,0.19
38.5,0.1925
39,0.195
39.5,0.1975
40,0.2
40.5,0.2025
41,0.205
41.5,0.2075
42,0.21
42.5,0.2125
43,0.215
43.5,0.2175
44,0.22
44.5,0.2225
45,0.225
45.5,0.2275
46,0.23
46.5,0.2325
47,0.235
47.5,0.2375
48,0.24
48.5,0.2425
49,0.245
49.5,0.2475
50,0.25
50.5,0.2525
51,0.255
51.5,0.2575
52,0.26
52.5,0.2625
53,0.265
53.5,0.2675
54,0.27
54.5,0.2725
55,0.275
55.5,0.2775
56,0.28
56.5,0.2825
57,0.285
57.5,0.2875
58,0.29
58.5,0.2925
59,0.295
59.5,0.2975
60,0.3
60.5,0.3025
61,0.305
61.5,0.3075
62,0.31
62.5,0.3125
63,0.315
63.5,0.3175
64,0.32
64.5,0.3225
65,0.325
65.5,0.3275
66,0.33
66.5,0.3325
67,0.335
67.5,0.3375
68,0.34
68.5,0.3425
69,0.345
69.5,0.3475
70,0.35
70.5,0.3525
71,0.355
71.5,0.3575
72,0.36
72.5,0.3625
73,0.365
73.5,0.3675
74,0.37
74.5,0.3725
75,0.375
75.5,0.3775
76,0.38
76.5,0.3825
77,0.385
77.5,0.3875
78,0.39
78.5,0.3925
79,0.395
79.5,0.3975
80,0.4
80.5,0.4025
81,0.405
81.5,0.4075
82,0.41
82.5,0.4125
83,0.415
83.5,0.4175
84,0.42
84.5,0.4225
85,0.425
85.5,0.4275
86,0.43
86.5,0.4325
87,0.435
87.5,0.4375
88,0.44
88.5,0.4425
89,0.445
89.5,0.4475
90,0.45
90.5,0.4525
91,0.455
91.5,0.4575
92,0.46
92.5,0.4625
93,0.465
93.5,0.4675
94,0.47
94.5,0.4725
95,0.475
95.5,0.4775
96,0.48
96.5,0.4825
97,0.485
97.5,0.4875
98,0.49
98.5,0.4925
99,0.495
99.5,0.4975
100,0.5
100.5,0.5025
101,0.505
101.5,0.5075
102,0.51
102.5,0.5125
103,0.515
103.5,0.5175
104,0.52
104.5,0.5225
105,0.525
105.5,0.5275
106,0.53
106.5,0.5325
107,0.535
107.5,0.5375
108,0.54
108.5,0.5425
109,0.545
109.5,0.5475
110,0.55
110.5,0.5525
111,0.555
111.5,0.5575
112,0.56
112.5,0.5625
113,0.565
113.5,0.5675
114,0.57
114.5,0.5725
115,0.575
115.5,0.5775
116,0.58
116.5,0.5825
117,0.585
117.5,0.5875
118,0.59
118.5,0.5925
119,0.595
119.5,0.5975
120,0.6
120.5,0.6025
121,0.605
121.5,0.6075
122,0.61
122.5,0.6125
123,0.615
123.5,0.6175
124,0.62
124.5,0.6225
125,0.625
125.5,0.6275
126,0.63
126.5,0.6325
127,0.635
127.5,0.6375
128,0.64
128.5,0.6425
129,0.645
129.5,0.6475
130,0.65
130.5,0.6525
131,0.655
131.5,0.6575
132,0.66
132.5,0.6625
133,0.665
133.5,0.6675
134,0.67
134.5,0.6725
135,0.675
135.5,0.6775
136,0.68
136.5,0.6825
137,0.685
137.5,0.6875
138,0.69
138.5,0.6925
139,0.695
139.5,0.6975
140,0.7
140.5,0.7025
141,0.705
141.5,0.7075
142,0.71
142.5,0.7125
143,0.715
143.5,0.7175
144,0.72
144.5,0.7225
145,0.725
145.5,0.7275
146,0.73
146.5,0.7325
147,0.735
147.5,0.7375
148,0.74
148.5,0.7425
149,0.745
149.5,0.7475
150,0.75
150.5,0.7525
151,0.755
151.5,0.7575
152,0.76
152.5,0.7625
153,0.765
153.5,0.7675
154,0.77
154.5,0.7725
155,0.775
155.5,0.7775
156,0.78
156.5,0.7825
157,0.785
157.5,0.7875
158,0.79
158.5,0.7925
159,0.795
159.5,0.7975
160,0.8
160.5,0.8025
161,0.805
161.5,0.8075
162,0.81
162.5,0.8125
163,0.815
163.5,0.8175
164,0.82
164.5,0.8225
165,0.825
165.5,0.8275
166,0.83
166.5,0.8325
167,0.835
167.5,0.8375
168,0.84
168.5,0.8425
169,0.845
169.5,0.8475
170,0.85
170.5,0.8525
171,0.855
171.5,0.8575
172,0.86
172.5,0.8625
173,0.865
173.5,0.8675
174,0.87
174.5,0.8725
175,0.875
175.5,0.8775
176,0.88
176.5,0.8825
177,0.885
177.5,0.8875
178,0.89
178.5,0.8925
179,0.895
179.5,0.8975
180,0.9
180.5,0.9025
181,0.905
181.5,0.9075
182,0.91
182.5,0.9125
183,0.915
183.5,0.9175
184,0.92
184.5,0.9225
185,0.925
185.5,0.9275
186,0.93
186.5,0.9325
187,0.935
187.5,0.9375
188,0.94
188.5,0.9425
189,0.945
189.5,0.9475
190,0.95
190.5,0.9525
191,0.955
191.5,0.9575
192,0.96
192.5,0.9625
193,0.965
193.5,0.9675
194,0.97
194.5,0.9725
195,0.975
195.5,0.9775
196,0.98
196.5,0.9825
197,0.985
197.5,0.9875
198,0.99
198.5,0.9925
199,0.995
199.5,0.9975
200,1
200.5,1.0025
201,1.005
201.5,1.0075
202,1.01
202.5,1.0125
203,1.015
203.5,1.0175
204,1.02
204.5,1.0225
205,1.025
205.5,1.0275
206,1.03
206.5,1.0325
207,1.035
207.5,1.0375
208,1.04
208.5,1.0425
209,1.045
209.5,1.0475
210,1.05
210.5,1.0525
211,1.055
211.5,1.0575
212,1.06
212.5,1.0625
213,1.065
213.5,1.0675
214,1.07
214.5,1.0725
215,1.075
215.5,1.0775
216,1.08
216.5,1.0825
217,1.085
217.5,1.0875
218,1.09
218.5,1.0925
219,1.095
219.5,1.0975
220,1.1
220.5,1.1025
221,1.105
221.5,1.1075
222,1.11
222.5,1.1125
223,1.115
223.5,1.1175
224,1.12
224.5,1.1225
225,1.125
225.5,1.1275
226,1.13
226.5,1.1325
227,1.135
227.5,1.1375
228,1.14
228.5,1.1425
229,1.145
229.5,1.1475
230,1.15
230.5,1.1525
231,1.155
231.5,1.1575
232,1.16
232.5,1.1625
233,1.165
233.5,1.1675
234,1.17
234.5,1.1725
235,1.175
235.5,1.1775
236,1.18
236.5,1.1825
237,1.185
237.5,1.1875
238,1.19
238.5,1.1925
239,1.195
239.5,1.1975
240,1.2
240.5,1.2025
241,1.205
241.5,1.2075
242,1.21
242.5,1.2125
243,1.215
243.5,1.2175
244,1.22
244.5,1.2225
245,1.225
245.5,1.2275
246,1.23
246.5,1.2325
247,1.235
247.5,1.2375
248,1.24
248.5,1.2425
249,1.245
249.5,1.2475
250,1.25
250.5,1.2525
251,1.255
251.5,1.2575
252,1.26
252.5,1.2625
253,1.265
253.5,1.2675
254,1.27
254.5,1.2725
255,1.275
255.5,1.2775
256,1.28
256.5,1.2825
257,1.285
257.5,1.2875
258,1.29
258.5,1.2925
259,1.295
259.5,1.2975
260,1.3
260.5,1.3025
261,1.305
261.5,1.3075
262,1.31
262.5,1.3125
263,1.315
263.5,1.3175
264,1.32
264.5,1.3225
265,1.325
265.5,1.3275
266,1.33
266.5,1.3325
267,1.335
267.5,1.3375
268,1.34
268.5,1.3425
269,1.345
269.5,1.3475
270,1.35
270.5,1.3525
271,1.355
271.5,1.3575
272,1.36
272.5,1.3625
273,1.365
273.5,1.3675
274,1.37
274.5,1.3725
275,1.375
275.5,1.3775
276,1.38
276.5,1.3825
277,1.385
277.5,1.3875
278,1.39
278.5,1.3925
279,1.395
279.5,1.3975
280,1.4
280.5,1.4025
281,1.405
281.5,1.4075
282,1.41
282.5,1.4125
283,1.415
283.5,1.4175
284,1.42
284.5,1.4225
285,1.425
285.5,1.4275
286,1.43
286.5,1.4325
287,1.435
287.5,1.4375
288,1.44
288.5,1.4425
289,1.445
289.5,1.4475
290,1.45
290.5,1.4525
291,1.455
291.5,1.4575
292,1.46
292.5,1.4625
293,1.465
293.5,1.4675
294,1.47
294.5,1.4725
295,1.475
295.5,1.4775
296,1.48
296.5,1.4825
297,1.485
297.5,1.4875
298,1.49
298.5,1.4925
299,1.495
299.5,1.4975
300,1.5
300.5,1.50417
301,1.50833
301.5,1.5125
302,1.51667
302.5,1.52083
303,1.525
303.5,1.52917
304,1.53333
304.5,1.5375
305,1.54167
305.5,1.54583
306,1.55
306.5,1.55417
307,1.55833
307.5,1.5625
308,1.56667
308.5,1.57083
309,1.575
309.5,1.57917
310,1.58333
310.5,1.5875
311,1.59167
311.5,1.59583
312,1.6
312.5,1.60417
313,1.60833
313.5,1.6125
314,1.61667
314.5,1.62083
315,1.625
315.5,1.62917
316,1.63333
316.5,1.6375
317,1.64167
317.5,1.64583
318,1.65
318.5,1.65417
319,1.65833
319.5,1.6625
320,1.66667
320.5,1.67083
321,1.675
321.5,1.67917
322,1.68333
322.5,1.6875
323,1.69167
323.5,1.69583
324,1.7
324.5,1.70417
325,1.70833
325.5,1.7125
326,1.71667
326.5,1.72083
327,1.725
327.5,1.72917
328,1.73333
328.5,1.7375
329,1.74167
329.5,1.74583
330,1.75
330.5,1.75417
331,1.75833
331.5,1.7625
332,1.76667
332.5,1.77083
333,1.775
333.5,1.77917
334,1.78333
334.5,1.7875
335,1.79167
335.5,1.79583
336,1.8
