t_s,THR_MJ
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,0
57,0
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,0.0342335
61,0.1027
61.5,0.205401
62,0.342335
62.5,0.513502
63,0.718903
63.5,0.958538
64,1.23241
64.5,1.54051
65,1.88284
65.5,2.22518
66,2.56751
66.5,2.90985
67,3.25218
67.5,3.59452
68,3.93685
68.5,4.27919
69,4.62152
69.5,4.96386
70,5.30619
70.5,5.64853
71,5.99086
71.5,6.3332
72,6.67553
72.5,7.01787
73,7.3602
73.5,7.70254
74,8.04487
74.5,8.38721
75,8.72954
75.5,9.07187
76,9.41421
76.5,9.75654
77,10.0989
77.5,10.4412
78,10.7835
78.5,11.1259
79,11.4682
79.5,11.8106
80,12.1529
80.5,12.4952
81,12.8376
81.5,13.1799
82,13.5222
82.5,13.8646
83,14.2069
83.5,14.5492
84,14.8916
84.5,15.2339
85,15.5762
85.5,15.9186
86,16.2609
86.5,16.6032
87,16.9456
87.5,17.2879
88,17.6302
88.5,17.9726
89,18.3149
89.5,18.6573
90,18.9996
90.5,19.3419
91,19.6843
91.5,20.0266
92,20.3689
92.5,20.7113
93,21.0536
93.5,21.3959
94,21.7383
94.5,22.0806
95,22.4229
95.5,22.7653
96,23.1076
96.5,23.4499
97,23.7923
97.5,24.1346
98,24.4769
98.5,24.8193
99,25.1616
99.5,25.504
100,25.8463
100.5,26.1886
101,26.531
101.5,26.8733
102,27.2156
102.5,27.558
103,27.9003
103.5,28.2426
104,28.585
104.5,28.9273
105,29.2696
105.5,29.612
106,29.9543
106.5,30.2966
107,30.639
107.5,30.9813
108,31.3236
108.5,31.666
109,32.0083
109.5,32.3506
110,32.693
110.5,33.0353
111,33.3777
111.5,33.72
112,34.0623
112.5,34.4047
113,34.747
113.5,35.0893
114,35.4317
114.5,35.774
115,36.1163
115.5,36.4587
116,36.801
116.5,37.1433
117,37.4857
117.5,37.828
118,38.1703
118.5,38.5127
119,38.855
119.5,39.1973
120,39.5397
120.5,39.882
121,40.2244
121.5,40.5667
122,40.909
122.5,41.2514
123,41.5937
123.5,41.936
124,42.2784
124.5,42.6207
125,42.963
125.5,43.3054
126,43.6477
126.5,43.99
127,44.3324
127.5,44.6747
128,45.017
128.5,45.3594
129,45.7017
129.5,46.044
130,46.3864
130.5,46.7287
131,47.071
131.5,47.4134
132,47.7557
132.5,48.0981
133,48.4404
133.5,48.7827
134,49.1251
134.5,49.4674
135,49.8097
135.5,50.1521
136,50.4944
136.5,50.8367
137,51.1791
137.5,51.5214
138,51.8637
138.5,52.2061
139,52.5484
139.5,52.8907
140,53.2331
140.5,53.5754
141,53.9177
141.5,54.2601
142,54.6024
142.5,54.9448
143,55.2871
143.5,55.6294
