t_s,mdot_kg_s,T_vent_K,Y_H2,Y_CO,Y_CO2,Y_CH4,Y_C2H4,Y_HF
0,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
0.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
1,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
1.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
2,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
2.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
3,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
3.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
4,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
4.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
5.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
6,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
6.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
7,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
7.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
8,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
8.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
9,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
9.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
10,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
10.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
11,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
11.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
12,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
12.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
13,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
13.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
14,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
14.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
15,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
15.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
16,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
16.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
17,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
17.5,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
18,0,293.15,0.0236193,0.269563,0.515618,0.0805537,0.105647,0.005
